  
       XFOIL         Version 6.99
  
 Calculated polar for: MUE 139                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3644   0.03674   0.02665  -0.0717   0.6222   0.2783
   0.250   0.4036   0.03603   0.02574  -0.0719   0.6139   0.2986
   0.500   0.4174   0.03702   0.02684  -0.0709   0.6012   0.3147
   0.750   0.4564   0.03615   0.02597  -0.0710   0.5937   0.3530
   1.000   0.4649   0.03733   0.02748  -0.0697   0.5820   0.3869
   1.250   0.5434   0.03507   0.02656  -0.0765   0.5728   1.0000
   1.500   0.5506   0.03701   0.02834  -0.0748   0.5633   1.0000
   1.750   0.5844   0.03706   0.02799  -0.0741   0.5574   1.0000
   2.000   0.5714   0.04056   0.03157  -0.0718   0.5475   1.0000
   2.250   0.5970   0.04126   0.03203  -0.0709   0.5412   1.0000
   2.500   0.5948   0.04427   0.03501  -0.0693   0.5351   1.0000
   2.750   0.5685   0.04904   0.03984  -0.0674   0.5287   1.0000
   3.000   0.5898   0.05026   0.04089  -0.0665   0.5232   1.0000
   3.250   0.5965   0.05273   0.04326  -0.0654   0.5183   1.0000
   3.500   0.5453   0.05926   0.04985  -0.0634   0.5172   1.0000
   3.750   0.5282   0.06357   0.05413  -0.0627   0.5175   1.0000
   4.000   0.5201   0.06730   0.05781  -0.0624   0.5178   1.0000
   4.250   0.5206   0.07064   0.06109  -0.0623   0.5187   1.0000
   4.250   0.5095   0.07131   0.06180  -0.0625   0.5221   1.0000
   4.350   0.5187   0.07222   0.06266  -0.0625   0.5212   1.0000
   4.450   0.5296   0.07312   0.06351  -0.0626   0.5203   1.0000
   5.250   0.4048   0.08993   0.08063  -0.0667   0.6379   1.0000
   5.250   0.4048   0.08993   0.08063  -0.0667   0.6379   1.0000
   5.350   0.4181   0.09132   0.08196  -0.0672   0.6351   1.0000
   5.450   0.4367   0.09338   0.08396  -0.0683   0.6329   1.0000
   5.750   0.4315   0.09448   0.08499  -0.0662   0.6186   1.0000
   6.000   0.4582   0.09821   0.08860  -0.0671   0.6119   1.0000
   6.250   0.4601   0.09929   0.08963  -0.0658   0.5985   1.0000
   6.500   0.4726   0.10214   0.09240  -0.0658   0.5912   1.0000
   6.500   0.4726   0.10214   0.09240  -0.0658   0.5912   1.0000
   6.600   0.4702   0.10230   0.09256  -0.0650   0.5844   1.0000
   6.700   0.4811   0.10350   0.09372  -0.0653   0.5802   1.0000
   7.000   0.4896   0.10623   0.09639  -0.0647   0.5679   1.0000
   7.250   0.5191   0.10976   0.09985  -0.0654   0.5588   1.0000
   7.500   0.5126   0.11110   0.10116  -0.0642   0.5473   1.0000
   7.750   0.5528   0.11584   0.10583  -0.0656   0.5391   1.0000
   8.000   0.5370   0.11618   0.10616  -0.0640   0.5265   1.0000
   8.250   0.5791   0.12165   0.11157  -0.0654   0.5203   1.0000
   8.500   0.5592   0.12145   0.11136  -0.0638   0.5072   1.0000
   8.750   0.5899   0.12626   0.11613  -0.0647   0.5010   1.0000
   9.000   0.5815   0.12682   0.11669  -0.0637   0.4880   1.0000
   9.250   0.6130   0.13207   0.12189  -0.0646   0.4828   1.0000
   9.500   0.5979   0.13211   0.12194  -0.0637   0.4706   1.0000
   9.750   0.6392   0.13825   0.12805  -0.0648   0.4647   1.0000
  10.000   0.6155   0.13749   0.12729  -0.0639   0.4528   1.0000
  10.250   0.6493   0.14268   0.13247  -0.0645   0.4472   1.0000
  10.500   0.6305   0.14306   0.13285  -0.0643   0.4381   1.0000
  10.750   0.6539   0.14679   0.13657  -0.0646   0.4303   1.0000
  11.000   0.6532   0.14929   0.13907  -0.0650   0.4243   1.0000
