  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA-0009 9.0% smoothed                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.01692   0.00646   0.0000   1.0000   1.0000
   0.250   0.0100   0.01695   0.00649   0.0026   1.0000   1.0000
   0.500   0.0199   0.01703   0.00658   0.0052   1.0000   1.0000
   0.750   0.0298   0.01717   0.00673   0.0077   1.0000   1.0000
   1.000   0.0393   0.01737   0.00694   0.0102   1.0000   1.0000
   1.250   0.0486   0.01764   0.00723   0.0126   1.0000   1.0000
   1.500   0.0575   0.01798   0.00760   0.0149   1.0000   1.0000
   1.750   0.0663   0.01841   0.00806   0.0170   1.0000   1.0000
   2.000   0.0749   0.01893   0.00861   0.0188   1.0000   1.0000
   2.250   0.0834   0.01955   0.00930   0.0203   1.0000   1.0000
   2.500   0.0917   0.02029   0.01009   0.0215   1.0000   1.0000
   2.750   0.1853   0.02161   0.01181   0.0068   0.9642   1.0000
   3.000   0.3007   0.02193   0.01274  -0.0096   0.9150   1.0000
   3.250   0.4257   0.02034   0.01194  -0.0234   0.8476   1.0000
   3.500   0.4803   0.01908   0.01087  -0.0230   0.7688   1.0000
   3.750   0.5021   0.01889   0.01056  -0.0183   0.6865   1.0000
   4.000   0.5176   0.01916   0.01046  -0.0133   0.5942   1.0000
   4.250   0.5290   0.01999   0.01065  -0.0083   0.4804   1.0000
   4.500   0.5413   0.02154   0.01135  -0.0044   0.3600   1.0000
   4.750   0.5612   0.02328   0.01256  -0.0023   0.2893   1.0000
   5.000   0.5827   0.02479   0.01381  -0.0008   0.2487   1.0000
   5.250   0.6073   0.02647   0.01548   0.0003   0.2245   1.0000
   5.500   0.6304   0.02818   0.01717   0.0015   0.2059   1.0000
   5.750   0.6522   0.02992   0.01906   0.0028   0.1905   1.0000
   6.000   0.6751   0.03201   0.02133   0.0040   0.1810   1.0000
   6.250   0.6942   0.03441   0.02419   0.0057   0.1731   1.0000
   6.500   0.7130   0.03663   0.02657   0.0071   0.1632   1.0000
   6.750   0.7276   0.03960   0.03012   0.0091   0.1588   1.0000
   7.000   0.7411   0.04288   0.03384   0.0110   0.1559   1.0000
   7.250   0.7563   0.04597   0.03703   0.0124   0.1503   1.0000
   7.500   0.7586   0.04987   0.04156   0.0146   0.1477   1.0000
   7.750   0.7610   0.05439   0.04650   0.0162   0.1482   1.0000
   8.000   0.7638   0.05919   0.05157   0.0173   0.1499   1.0000
   8.250   0.7649   0.06416   0.05679   0.0182   0.1519   1.0000
   8.250   0.7649   0.06416   0.05679   0.0182   0.1519   1.0000
   8.750   0.5887   0.09958   0.09228  -0.0171   0.3792   1.0000
   8.750   0.5887   0.09958   0.09229  -0.0171   0.3792   1.0000
   8.850   0.5663   0.09916   0.09173  -0.0171   0.3715   1.0000
   8.950   0.5705   0.10079   0.09337  -0.0171   0.3685   1.0000
   9.250   0.5698   0.10492   0.09747  -0.0173   0.3576   1.0000
