  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2414                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0005   0.02958   0.02018  -0.0289   0.9444   1.0000
   0.250   0.0418   0.03033   0.02078  -0.0327   0.9290   1.0000
   0.500   0.0807   0.03104   0.02137  -0.0359   0.9137   1.0000
   0.750   0.1183   0.03174   0.02195  -0.0387   0.8986   1.0000
   1.000   0.1559   0.03242   0.02254  -0.0414   0.8838   1.0000
   1.250   0.1960   0.03305   0.02310  -0.0443   0.8696   1.0000
   1.500   0.2392   0.03361   0.02360  -0.0474   0.8557   1.0000
   1.750   0.2664   0.03424   0.02419  -0.0480   0.8402   1.0000
   2.000   0.2940   0.03490   0.02482  -0.0486   0.8249   1.0000
   2.250   0.3225   0.03556   0.02546  -0.0493   0.8101   1.0000
   2.500   0.3544   0.03616   0.02605  -0.0503   0.7957   1.0000
   2.750   0.3957   0.03651   0.02641  -0.0524   0.7825   1.0000
   3.000   0.4353   0.03677   0.02671  -0.0540   0.7687   1.0000
   3.250   0.4566   0.03751   0.02746  -0.0533   0.7530   1.0000
   3.500   0.4803   0.03820   0.02817  -0.0528   0.7377   1.0000
   3.750   0.5071   0.03879   0.02879  -0.0526   0.7227   1.0000
   4.000   0.5406   0.03906   0.02912  -0.0529   0.7084   1.0000
   4.250   0.6002   0.03793   0.02809  -0.0552   0.6972   1.0000
   4.500   0.6210   0.03856   0.02876  -0.0539   0.6810   1.0000
   4.750   0.6438   0.03908   0.02934  -0.0527   0.6648   1.0000
   5.000   0.6683   0.03949   0.02982  -0.0515   0.6486   1.0000
   5.250   0.6954   0.03969   0.03009  -0.0504   0.6324   1.0000
   5.500   0.7248   0.03970   0.03018  -0.0494   0.6160   1.0000
   5.750   0.7562   0.03951   0.03007  -0.0483   0.5993   1.0000
   6.000   0.7893   0.03912   0.02975  -0.0472   0.5820   1.0000
   6.250   0.8231   0.03862   0.02934  -0.0461   0.5639   1.0000
   6.500   0.8583   0.03798   0.02874  -0.0450   0.5448   1.0000
   6.750   0.8963   0.03709   0.02787  -0.0441   0.5247   1.0000
   7.000   0.9378   0.03600   0.02672  -0.0435   0.5035   1.0000
   7.250   0.9508   0.03677   0.02759  -0.0408   0.4807   1.0000
   7.500   0.9782   0.03656   0.02735  -0.0391   0.4568   1.0000
   7.750   1.0099   0.03610   0.02678  -0.0378   0.4322   1.0000
   8.000   1.0254   0.03667   0.02739  -0.0352   0.4073   1.0000
   8.250   1.0546   0.03642   0.02695  -0.0338   0.3814   1.0000
   8.500   1.0670   0.03725   0.02783  -0.0311   0.3566   1.0000
   8.750   1.0928   0.03744   0.02775  -0.0296   0.3314   1.0000
   9.000   1.1025   0.03871   0.02909  -0.0268   0.3090   1.0000
   9.250   1.1207   0.03964   0.02990  -0.0249   0.2871   1.0000
   9.500   1.1437   0.04066   0.03065  -0.0237   0.2666   1.0000
   9.750   1.1563   0.04232   0.03233  -0.0216   0.2497   1.0000
  10.000   1.1714   0.04399   0.03396  -0.0199   0.2341   1.0000
  10.250   1.1778   0.04608   0.03626  -0.0173   0.2216   1.0000
  10.500   1.1808   0.04855   0.03895  -0.0146   0.2113   1.0000
  10.750   1.1964   0.05067   0.04104  -0.0133   0.2007   1.0000
  11.000   1.1938   0.05338   0.04403  -0.0103   0.1932   1.0000
  11.250   1.2035   0.05597   0.04667  -0.0087   0.1856   1.0000
  11.500   1.1817   0.05967   0.05076  -0.0047   0.1825   1.0000
  11.750   1.1590   0.06335   0.05469  -0.0010   0.1798   1.0000
  12.000   1.1843   0.06543   0.05668  -0.0008   0.1717   1.0000
  12.250   1.1485   0.07014   0.06168   0.0025   0.1715   1.0000
  12.500   1.1087   0.07609   0.06785   0.0039   0.1718   1.0000
  12.750   1.0658   0.08364   0.07557   0.0032   0.1726   1.0000
  12.750   1.0658   0.08364   0.07557   0.0032   0.1726   1.0000
  13.000   0.7687   0.14538   0.13714  -0.0356   0.2358   1.0000
  13.100   0.7748   0.14722   0.13901  -0.0356   0.2351   1.0000
  13.500   0.7292   0.16834   0.16012  -0.0500   0.3156   1.0000
  13.750   0.7082   0.16915   0.16088  -0.0519   0.3094   1.0000
  14.000   0.7407   0.17541   0.16724  -0.0515   0.3000   1.0000
  14.250   0.7221   0.17639   0.16815  -0.0537   0.2950   1.0000
  14.500   0.7347   0.18006   0.17186  -0.0542   0.2860   1.0000
  14.750   0.7442   0.18472   0.17653  -0.0553   0.2816   1.0000
  14.750   0.7442   0.18472   0.17653  -0.0553   0.2816   1.0000
  14.850   0.7366   0.18458   0.17637  -0.0564   0.2781   1.0000
  14.950   0.7385   0.18561   0.17740  -0.0568   0.2740   1.0000
  15.250   0.7698   0.19364   0.18552  -0.0566   0.2665   1.0000
  15.500   0.7532   0.19313   0.18496  -0.0595   0.2598   1.0000
  15.750   0.7738   0.19817   0.19006  -0.0594   0.2522   1.0000
  16.000   0.7717   0.20066   0.19252  -0.0616   0.2478   1.0000
  16.250   0.7771   0.20317   0.19504  -0.0631   0.2395   1.0000
  16.500   0.8087   0.21217   0.20412  -0.0622   0.2346   1.0000
  16.750   0.7899   0.20989   0.20178  -0.0662   0.2295   1.0000
  17.000   0.8026   0.21353   0.20545  -0.0669   0.2219   1.0000
  17.250   0.8206   0.22016   0.21211  -0.0672   0.2183   1.0000
  17.500   0.8120   0.21946   0.21137  -0.0708   0.2125   1.0000
  17.750   0.8248   0.22329   0.21524  -0.0715   0.2063   1.0000
  17.850   0.8371   0.22694   0.21893  -0.0709   0.2043   1.0000
  17.950   0.8472   0.23116   0.22317  -0.0708   0.2031   1.0000
