  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64(2)-415 [NACA 6a series from Theory of Wi
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  35.8994   0.43947   0.07281*********   0.5541   0.5417
   0.250  38.9046   0.44071   0.07423*********   0.5501   0.5480
   0.500  41.9106   0.44113   0.07590*********   0.5456   0.5556
   0.750  44.8860   0.44659   0.07862*********   0.5369   0.5605
   1.000  47.8800   0.44896   0.08066*********   0.5311   0.5656
   1.250  50.8532   0.45407   0.08398*********   0.5220   0.5720
   1.500  53.8419   0.45681   0.08678*********   0.5168   0.5765
   1.500  53.8419   0.45681   0.08678*********   0.5168   0.5765
   1.600  55.0312   0.45823   0.08792*********   0.5148   0.5778
   1.700  56.2106   0.46112   0.08942*********   0.5111   0.5789
   2.000  59.7707   0.46786   0.09421*********   0.4994   0.5859
   2.250  62.7234   0.47527   0.09920*********   0.4893   0.5911
   2.500  65.6768   0.48167   0.10367*********   0.4799   0.5951
   2.750  68.6048   0.49158   0.10989*********   0.4652   0.6008
   3.000  71.4906   0.50697   0.11838*********   0.4436   0.6066
   3.000  71.4906   0.50697   0.11841*********   0.4436   0.6066
   3.100  72.6249   0.51584   0.12269*********   0.4304   0.6085
   3.200  73.6869   0.53435   0.13048*********   0.4051   0.6103
   3.500  76.9263   0.58214   0.15479*********   0.3466   0.6162
   3.750  79.6443   0.61863   0.17528*********   0.3031   0.6226
   4.000  82.2833   0.66424   0.19912*********   0.2501   0.6276
   4.250  84.8758   0.71380   0.22644*********   0.1966   0.6329
   4.500  87.4749   0.76080   0.25364*********   0.1480   0.6396
   4.750  90.1464   0.79628   0.27586*********   0.1170   0.6448
   5.000  92.8292   0.82854   0.29791*********   0.0934   0.6506
   5.250  95.5585   0.85444   0.31766*********   0.0770   0.6575
   5.500  98.2333   0.88487   0.33985*********   0.0610   0.6627
   5.750 100.9264   0.91187   0.36181*********   0.0482   0.6704
   6.000 103.6081   0.93860   0.38404*********   0.0388   0.6774
   6.250 106.3025   0.96267   0.40504*********   0.0328   0.6840
   6.500 109.0088   0.98456   0.42593*********   0.0288   0.6919
   6.750 111.6998   1.00662   0.44635*********   0.0264   0.6974
   7.000 114.3950   1.02711   0.46704*********   0.0242   0.7054
   7.250 117.0760   1.04787   0.48770*********   0.0227   0.7121
   7.500 119.7052   1.07269   0.51141*********   0.0205   0.7186
   7.750 122.3648   1.09278   0.53254*********   0.0196   0.7262
   8.000 124.9504   1.11830   0.55692*********   0.0180   0.7317
   8.250 127.5354   1.14288   0.58218*********   0.0164   0.7400
   8.500 130.0932   1.16895   0.60772*********   0.0152   0.7467
   8.750 132.5968   1.19847   0.63702*********   0.0135   0.7540
   9.000 135.1214   1.22453   0.66421*********   0.0128   0.7621
   9.250 137.5788   1.25468   0.69450*********   0.0120   0.7698
   9.500 139.9727   1.28794   0.72880*********   0.0110   0.7786
   9.750 142.3993   1.31635   0.75897*********   0.0107   0.7861
  10.000 144.7884   1.34555   0.79007*********   0.0105   0.7948
  10.250 147.1150   1.37751   0.82313*********   0.0102   0.8020
  10.500 149.3910   1.41074   0.85833*********   0.0099   0.8109
  10.750 151.5642   1.44897   0.89802*********   0.0095   0.8189
  11.000 153.6814   1.48848   0.93997*********   0.0091   0.8288
  11.250 155.6817   1.53210   0.98680*********   0.0088   0.8386
  11.500 157.6326   1.57578   1.03379*********   0.0086   0.8489
  11.750 159.4989   1.61450   1.07669*********   0.0085   0.8620
  12.000 161.0687   1.65740   1.12402*********   0.0085   0.8753
  12.250 162.6593   1.69976   1.17096*********   0.0084   0.8911
  12.500 163.9997   1.74835   1.22525*********   0.0083   0.9091
  12.750 165.4370   1.80204   1.28523*********   0.0082   0.9316
  13.000 166.8324   1.86541   1.35563*********   0.0081   0.9561
  13.000 166.8324   1.86541   1.35563*********   0.0081   0.9561
  13.100 167.3595   1.88941   1.38369*********   0.0080   0.9700
   0.000  35.8994   0.43947   0.07280*********   0.5541   0.5416
