  
       XFOIL         Version 6.99
  
 Calculated polar for: N-9                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1849   0.02269   0.01214  -0.0315   1.0000   1.0000
   0.250   0.2443   0.02373   0.01312  -0.0390   0.9832   1.0000
   0.500   0.3005   0.02454   0.01394  -0.0456   0.9625   1.0000
   0.750   0.3570   0.02524   0.01466  -0.0519   0.9415   1.0000
   1.000   0.4135   0.02575   0.01526  -0.0577   0.9192   1.0000
   1.250   0.4644   0.02617   0.01578  -0.0621   0.8953   1.0000
   1.500   0.5252   0.02625   0.01602  -0.0676   0.8726   1.0000
   1.750   0.5691   0.02637   0.01630  -0.0699   0.8466   1.0000
   2.000   0.6086   0.02642   0.01650  -0.0710   0.8200   1.0000
   2.250   0.6472   0.02634   0.01654  -0.0715   0.7941   1.0000
   2.500   0.6857   0.02591   0.01627  -0.0712   0.7683   1.0000
   2.750   0.7215   0.02525   0.01569  -0.0698   0.7413   1.0000
   3.000   0.7521   0.02480   0.01527  -0.0677   0.7127   1.0000
   3.250   0.7785   0.02466   0.01518  -0.0653   0.6830   1.0000
   3.500   0.8032   0.02466   0.01519  -0.0630   0.6530   1.0000
   3.750   0.8259   0.02468   0.01523  -0.0605   0.6209   1.0000
   4.000   0.8488   0.02478   0.01541  -0.0583   0.5903   1.0000
   4.250   0.8711   0.02490   0.01559  -0.0561   0.5581   1.0000
   4.500   0.8934   0.02478   0.01543  -0.0535   0.5207   1.0000
   4.750   0.9130   0.02484   0.01537  -0.0506   0.4725   1.0000
   5.000   0.9306   0.02557   0.01575  -0.0474   0.4077   1.0000
   5.250   0.9489   0.02718   0.01684  -0.0450   0.3457   1.0000
   5.500   0.9699   0.02891   0.01840  -0.0436   0.3070   1.0000
   5.750   0.9930   0.03052   0.01993  -0.0426   0.2815   1.0000
   6.000   1.0147   0.03202   0.02153  -0.0415   0.2599   1.0000
   6.250   1.0380   0.03370   0.02332  -0.0407   0.2434   1.0000
   6.500   1.0605   0.03527   0.02489  -0.0397   0.2270   1.0000
   6.750   1.0823   0.03717   0.02691  -0.0388   0.2125   1.0000
   7.000   1.1013   0.03914   0.02908  -0.0375   0.1971   1.0000
   7.250   1.1184   0.04145   0.03162  -0.0360   0.1822   1.0000
   7.500   1.1325   0.04389   0.03435  -0.0343   0.1665   1.0000
   7.750   1.1451   0.04671   0.03740  -0.0326   0.1521   1.0000
   8.000   1.1564   0.05005   0.04093  -0.0309   0.1400   1.0000
   8.250   1.1730   0.05392   0.04475  -0.0299   0.1295   1.0000
   8.500   1.1636   0.05838   0.05003  -0.0268   0.1263   1.0000
   8.750   1.1538   0.06303   0.05521  -0.0244   0.1232   1.0000
   9.000   1.1437   0.06763   0.06016  -0.0225   0.1207   1.0000
   9.250   1.1214   0.07297   0.06584  -0.0207   0.1213   1.0000
   9.500   1.0879   0.07870   0.07182  -0.0194   0.1242   1.0000
   9.750   1.0591   0.08491   0.07815  -0.0200   0.1266   1.0000
  10.000   1.0357   0.09177   0.08508  -0.0222   0.1283   1.0000
  10.250   1.0178   0.09910   0.09243  -0.0249   0.1294   1.0000
  10.250   1.0155   0.09940   0.09276  -0.0253   0.1300   1.0000
  11.250   0.6432   0.14727   0.14029  -0.0505   0.3100   1.0000
  11.000   0.6736   0.14817   0.14123  -0.0505   0.3136   1.0000
  11.100   0.6616   0.14801   0.14105  -0.0506   0.3129   1.0000
  11.200   0.6489   0.14751   0.14054  -0.0506   0.3115   1.0000
  11.500   0.6636   0.15315   0.14626  -0.0506   0.2984   1.0000
  11.250   0.6432   0.14727   0.14029  -0.0505   0.3100   1.0000
  11.350   0.6397   0.14766   0.14070  -0.0504   0.3050   1.0000
  11.450   0.6704   0.15356   0.14667  -0.0506   0.2987   1.0000
  11.750   0.6376   0.15188   0.14496  -0.0505   0.2926   1.0000
