  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2408                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0697   0.01743   0.00693  -0.0275   1.0000   1.0000
   0.250   0.0907   0.01780   0.00720  -0.0271   1.0000   1.0000
   0.500   0.1114   0.01822   0.00755  -0.0269   1.0000   1.0000
   0.750   0.1317   0.01870   0.00797  -0.0267   1.0000   1.0000
   1.000   0.1515   0.01925   0.00848  -0.0267   1.0000   1.0000
   1.250   0.1709   0.01988   0.00908  -0.0267   1.0000   1.0000
   1.500   0.1898   0.02059   0.00978  -0.0268   1.0000   1.0000
   1.750   0.2082   0.02138   0.01058  -0.0270   1.0000   1.0000
   2.000   0.2262   0.02227   0.01149  -0.0273   1.0000   1.0000
   2.250   0.2732   0.02341   0.01270  -0.0331   0.9867   1.0000
   2.500   0.3319   0.02453   0.01394  -0.0406   0.9656   1.0000
   2.750   0.3891   0.02548   0.01506  -0.0473   0.9439   1.0000
   3.000   0.4384   0.02623   0.01600  -0.0522   0.9205   1.0000
   3.250   0.4965   0.02676   0.01681  -0.0581   0.8985   1.0000
   3.500   0.5396   0.02718   0.01746  -0.0609   0.8733   1.0000
   3.750   0.5876   0.02734   0.01791  -0.0639   0.8483   1.0000
   4.000   0.6357   0.02712   0.01804  -0.0658   0.8231   1.0000
   4.250   0.6801   0.02657   0.01781  -0.0661   0.7959   1.0000
   4.500   0.7155   0.02579   0.01731  -0.0640   0.7623   1.0000
   4.750   0.7498   0.02368   0.01540  -0.0587   0.7141   1.0000
   5.000   0.7720   0.02211   0.01379  -0.0522   0.6546   1.0000
   5.250   0.7891   0.02154   0.01316  -0.0470   0.5902   1.0000
   5.500   0.8009   0.02141   0.01277  -0.0414   0.4936   1.0000
   5.750   0.7956   0.02385   0.01339  -0.0344   0.2568   1.0000
   6.000   0.8123   0.02682   0.01558  -0.0322   0.1871   1.0000
   6.250   0.8383   0.02901   0.01753  -0.0312   0.1625   1.0000
   6.500   0.8655   0.03105   0.01957  -0.0305   0.1454   1.0000
   6.750   0.8956   0.03361   0.02206  -0.0302   0.1364   1.0000
   7.000   0.9221   0.03607   0.02494  -0.0292   0.1296   1.0000
   7.250   0.9464   0.03890   0.02790  -0.0286   0.1222   1.0000
   7.500   0.9676   0.04205   0.03165  -0.0272   0.1195   1.0000
   7.750   0.9859   0.04565   0.03581  -0.0258   0.1183   1.0000
   8.000   1.0001   0.04932   0.03999  -0.0242   0.1161   1.0000
   8.250   1.0123   0.05304   0.04411  -0.0228   0.1137   1.0000
   8.500   1.0166   0.05776   0.04942  -0.0211   0.1150   1.0000
   8.750   1.0143   0.06312   0.05533  -0.0196   0.1182   1.0000
   9.000   1.0143   0.06849   0.06100  -0.0187   0.1213   1.0000
   9.250   1.0013   0.07421   0.06715  -0.0181   0.1262   1.0000
   9.500   0.9653   0.08119   0.07445  -0.0191   0.1318   1.0000
   9.750   0.9644   0.08718   0.08053  -0.0194   0.1384   1.0000
  10.000   0.8931   0.09857   0.09192  -0.0297   0.1460   1.0000
  10.250   0.7725   0.09623   0.08981  -0.0177   0.1507   1.0000
  10.500   0.7968   0.13310   0.12612  -0.0652   0.3100   1.0000
  10.750   0.8187   0.13928   0.13237  -0.0649   0.3065   1.0000
  11.000   0.7980   0.14139   0.13437  -0.0667   0.2967   1.0000
  11.250   0.8034   0.14588   0.13886  -0.0671   0.2893   1.0000
  11.500   0.8222   0.15114   0.14416  -0.0662   0.2774   1.0000
  11.750   0.8095   0.15327   0.14624  -0.0678   0.2673   1.0000
  12.000   0.8111   0.15732   0.15027  -0.0687   0.2598   1.0000
  12.250   0.8258   0.16213   0.15511  -0.0684   0.2508   1.0000
  12.500   0.8167   0.16492   0.15784  -0.0705   0.2441   1.0000
  12.750   0.8469   0.17224   0.16528  -0.0688   0.2352   1.0000
  13.000   0.8245   0.17246   0.16539  -0.0723   0.2289   1.0000
  13.250   0.8437   0.17847   0.17144  -0.0717   0.2204   1.0000
  13.500   0.8358   0.17992   0.17285  -0.0739   0.2117   1.0000
  13.750   0.8451   0.18462   0.17755  -0.0745   0.2050   1.0000
  14.000   0.8485   0.18755   0.18047  -0.0757   0.1963   1.0000
  14.250   0.8591   0.19281   0.18574  -0.0764   0.1917   1.0000
  14.500   0.8560   0.19453   0.18742  -0.0789   0.1845   1.0000
  14.750   0.8813   0.20289   0.19585  -0.0775   0.1787   1.0000
  15.000   0.8678   0.20208   0.19495  -0.0818   0.1744   1.0000
  15.250   0.8796   0.20646   0.19936  -0.0821   0.1672   1.0000
  15.500   0.8859   0.21074   0.20362  -0.0837   0.1635   1.0000
  15.500   0.8859   0.21074   0.20362  -0.0837   0.1635   1.0000
  15.600   0.8835   0.21084   0.20370  -0.0853   0.1612   1.0000
  15.700   0.8850   0.21185   0.20471  -0.0861   0.1582   1.0000
  16.000   0.9083   0.22080   0.21375  -0.0851   0.1508   1.0000
  16.250   0.9006   0.21996   0.21284  -0.0895   0.1472   1.0000
  16.500   0.9082   0.22331   0.21620  -0.0910   0.1413   1.0000
  16.750   0.9317   0.23326   0.22621  -0.0894   0.1372   1.0000
  17.000   0.9236   0.23132   0.22420  -0.0943   0.1351   1.0000
  17.250   0.9280   0.23360   0.22647  -0.0969   0.1302   1.0000
  17.500   0.9400   0.23838   0.23129  -0.0974   0.1256   1.0000
  17.750   0.9534   0.24549   0.23841  -0.0978   0.1232   1.0000
  18.000   0.9511   0.24453   0.23740  -0.1024   0.1203   1.0000
  18.250   0.9580   0.24736   0.24023  -0.1046   0.1155   1.0000
  18.500   0.9843   0.26081   0.25380  -0.1014   0.1100   1.0000
  18.750   0.9790   0.25749   0.25041  -0.1065   0.1092   1.0000
