  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2.5411                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0696   0.02390   0.01429  -0.0148   1.0000   1.0000
   0.250  -0.0237   0.02513   0.01531  -0.0200   0.9875   1.0000
   0.500   0.0263   0.02640   0.01639  -0.0256   0.9725   1.0000
   0.750   0.0743   0.02754   0.01738  -0.0307   0.9573   1.0000
   1.000   0.1180   0.02853   0.01825  -0.0349   0.9422   1.0000
   1.250   0.1600   0.02944   0.01907  -0.0385   0.9268   1.0000
   1.500   0.1995   0.03026   0.01982  -0.0416   0.9115   1.0000
   1.750   0.2361   0.03102   0.02054  -0.0441   0.8963   1.0000
   2.000   0.2716   0.03176   0.02124  -0.0463   0.8810   1.0000
   2.250   0.3054   0.03248   0.02195  -0.0480   0.8658   1.0000
   2.500   0.3381   0.03318   0.02265  -0.0495   0.8508   1.0000
   2.750   0.3698   0.03387   0.02336  -0.0507   0.8357   1.0000
   3.000   0.4013   0.03455   0.02407  -0.0518   0.8206   1.0000
   3.250   0.4318   0.03523   0.02479  -0.0526   0.8056   1.0000
   3.500   0.4625   0.03589   0.02550  -0.0534   0.7904   1.0000
   3.750   0.4935   0.03650   0.02618  -0.0540   0.7751   1.0000
   4.000   0.5246   0.03707   0.02683  -0.0546   0.7597   1.0000
   4.250   0.5560   0.03759   0.02744  -0.0550   0.7442   1.0000
   4.500   0.5888   0.03798   0.02796  -0.0554   0.7283   1.0000
   4.750   0.6252   0.03812   0.02823  -0.0559   0.7120   1.0000
   5.000   0.6650   0.03801   0.02830  -0.0565   0.6957   1.0000
   5.250   0.7093   0.03750   0.02797  -0.0572   0.6788   1.0000
   5.500   0.7569   0.03655   0.02722  -0.0577   0.6613   1.0000
   5.750   0.8062   0.03528   0.02616  -0.0580   0.6424   1.0000
   6.000   0.8275   0.03543   0.02644  -0.0556   0.6195   1.0000
   6.250   0.8886   0.03296   0.02415  -0.0561   0.5950   1.0000
   6.500   0.9220   0.03203   0.02331  -0.0542   0.5663   1.0000
   6.750   0.9571   0.03091   0.02222  -0.0523   0.5337   1.0000
   7.000   0.9812   0.03039   0.02169  -0.0494   0.4981   1.0000
   7.250   1.0023   0.02998   0.02121  -0.0462   0.4578   1.0000
   7.500   1.0181   0.02988   0.02095  -0.0425   0.4129   1.0000
   7.750   1.0299   0.03006   0.02086  -0.0385   0.3635   1.0000
   8.000   1.0391   0.03083   0.02117  -0.0345   0.3140   1.0000
   8.250   1.0472   0.03225   0.02227  -0.0309   0.2707   1.0000
   8.500   1.0595   0.03402   0.02376  -0.0283   0.2358   1.0000
   8.750   1.0772   0.03599   0.02543  -0.0266   0.2081   1.0000
   9.000   1.0924   0.03815   0.02771  -0.0247   0.1879   1.0000
   9.250   1.1110   0.04047   0.03005  -0.0233   0.1716   1.0000
   9.500   1.1288   0.04297   0.03264  -0.0220   0.1590   1.0000
   9.750   1.1494   0.04574   0.03541  -0.0211   0.1489   1.0000
  10.000   1.1569   0.04840   0.03846  -0.0186   0.1417   1.0000
  10.250   1.1738   0.05160   0.04173  -0.0176   0.1351   1.0000
  10.500   1.1696   0.05490   0.04555  -0.0142   0.1324   1.0000
  10.750   1.1641   0.05826   0.04931  -0.0111   0.1298   1.0000
  11.000   1.1618   0.06150   0.05278  -0.0085   0.1267   1.0000
  11.250   1.1795   0.06532   0.05653  -0.0083   0.1222   1.0000
  11.500   1.1630   0.06912   0.06066  -0.0050   0.1220   1.0000
  11.750   1.1426   0.07295   0.06474  -0.0018   0.1221   1.0000
  12.000   1.1217   0.07717   0.06916   0.0006   0.1224   1.0000
  12.250   1.0016   0.08730   0.07978  -0.0007   0.1333   1.0000
  12.500   0.9705   0.09543   0.08796  -0.0040   0.1352   1.0000
  12.750   0.9498   0.10346   0.09602  -0.0073   0.1363   1.0000
  12.750   0.9498   0.10346   0.09602  -0.0073   0.1363   1.0000
  13.000   0.8113   0.13933   0.13157  -0.0338   0.1774   1.0000
  13.100   0.8145   0.14148   0.13373  -0.0342   0.1783   1.0000
  13.200   0.8217   0.14345   0.13573  -0.0340   0.1791   1.0000
  13.500   0.5833   0.15255   0.14538  -0.0416   0.2908   1.0000
  13.750   0.6028   0.15803   0.15093  -0.0418   0.2832   1.0000
  14.000   0.5878   0.15808   0.15099  -0.0432   0.2760   1.0000
  14.250   0.6103   0.16417   0.15713  -0.0432   0.2683   1.0000
  14.500   0.5936   0.16360   0.15657  -0.0449   0.2611   1.0000
  14.750   0.6194   0.17043   0.16345  -0.0447   0.2534   1.0000
  15.000   0.6002   0.16926   0.16228  -0.0467   0.2477   1.0000
  15.250   0.6170   0.17403   0.16711  -0.0468   0.2398   1.0000
  15.500   0.6097   0.17537   0.16845  -0.0485   0.2353   1.0000
  15.750   0.6172   0.17833   0.17145  -0.0491   0.2263   1.0000
  16.000   0.6231   0.18219   0.17534  -0.0501   0.2223   1.0000
  16.250   0.6185   0.18322   0.17640  -0.0518   0.2154   1.0000
  16.500   0.6406   0.18980   0.18304  -0.0515   0.2093   1.0000
  16.750   0.6287   0.18965   0.18288  -0.0539   0.2058   1.0000
  17.000   0.6328   0.19212   0.18538  -0.0549   0.1979   1.0000
  17.250   0.6488   0.19817   0.19146  -0.0551   0.1936   1.0000
  17.500   0.6383   0.19777   0.19107  -0.0576   0.1886   1.0000
  17.750   0.6455   0.20103   0.19437  -0.0584   0.1827   1.0000
  18.000   0.6630   0.20795   0.20133  -0.0585   0.1791   1.0000
  18.250   0.6510   0.20689   0.20029  -0.0613   0.1753   1.0000
  18.500   0.6563   0.20975   0.20318  -0.0624   0.1690   1.0000
  18.750   0.6750   0.21708   0.21055  -0.0622   0.1647   1.0000
