  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA CYH                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2985   0.03033   0.02011  -0.0567   0.8565   1.0000
   0.250   0.3406   0.03076   0.02047  -0.0593   0.8405   1.0000
   0.500   0.3767   0.03118   0.02084  -0.0607   0.8239   1.0000
   0.750   0.4097   0.03161   0.02123  -0.0614   0.8070   1.0000
   1.000   0.4402   0.03205   0.02165  -0.0616   0.7900   1.0000
   1.250   0.4687   0.03251   0.02208  -0.0614   0.7730   1.0000
   1.500   0.4957   0.03298   0.02253  -0.0609   0.7560   1.0000
   1.750   0.5210   0.03349   0.02304  -0.0601   0.7393   1.0000
   2.000   0.5449   0.03405   0.02358  -0.0591   0.7230   1.0000
   2.250   0.5674   0.03467   0.02420  -0.0579   0.7073   1.0000
   2.500   0.5891   0.03535   0.02490  -0.0568   0.6924   1.0000
   2.750   0.6131   0.03591   0.02546  -0.0557   0.6787   1.0000
   3.000   0.6431   0.03610   0.02566  -0.0551   0.6668   1.0000
   3.250   0.6557   0.03735   0.02693  -0.0534   0.6523   1.0000
   3.500   0.6668   0.03876   0.02838  -0.0517   0.6385   1.0000
   3.750   0.6784   0.04020   0.02985  -0.0502   0.6254   1.0000
   4.000   0.6978   0.04119   0.03088  -0.0491   0.6144   1.0000
   4.250   0.7278   0.04133   0.03108  -0.0484   0.6043   1.0000
   4.500   0.7312   0.04348   0.03328  -0.0467   0.5911   1.0000
   4.750   0.7380   0.04544   0.03529  -0.0453   0.5786   1.0000
   5.000   0.7605   0.04613   0.03604  -0.0442   0.5678   1.0000
   5.250   0.7959   0.04560   0.03562  -0.0434   0.5575   1.0000
   5.500   0.7942   0.04833   0.03841  -0.0417   0.5441   1.0000
   5.750   0.7958   0.05086   0.04100  -0.0403   0.5313   1.0000
   6.000   0.8112   0.05210   0.04233  -0.0390   0.5191   1.0000
   6.250   0.8681   0.04913   0.03952  -0.0378   0.5081   1.0000
   6.500   0.9075   0.04762   0.03812  -0.0364   0.4945   1.0000
   6.750   0.9362   0.04699   0.03760  -0.0348   0.4792   1.0000
   7.000   0.9835   0.04445   0.03516  -0.0335   0.4629   1.0000
   7.250   0.9992   0.04505   0.03586  -0.0315   0.4456   1.0000
   7.500   1.0154   0.04563   0.03656  -0.0296   0.4280   1.0000
