  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA M12                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0139   0.02614   0.01661  -0.0140   0.9777   1.0000
   0.250   0.0336   0.02698   0.01730  -0.0191   0.9629   1.0000
   0.500   0.0789   0.02777   0.01796  -0.0237   0.9479   1.0000
   0.750   0.1226   0.02853   0.01862  -0.0279   0.9330   1.0000
   1.000   0.1658   0.02925   0.01926  -0.0318   0.9182   1.0000
   1.250   0.2105   0.02993   0.01989  -0.0357   0.9037   1.0000
   1.500   0.2517   0.03056   0.02049  -0.0390   0.8889   1.0000
   1.750   0.2846   0.03120   0.02111  -0.0406   0.8733   1.0000
   2.000   0.3157   0.03187   0.02176  -0.0419   0.8580   1.0000
   2.250   0.3469   0.03253   0.02242  -0.0431   0.8427   1.0000
   2.500   0.3779   0.03319   0.02311  -0.0442   0.8278   1.0000
   2.750   0.4106   0.03382   0.02376  -0.0454   0.8131   1.0000
   3.000   0.4462   0.03436   0.02435  -0.0470   0.7987   1.0000
   3.250   0.4864   0.03470   0.02476  -0.0488   0.7849   1.0000
   3.500   0.5232   0.03499   0.02512  -0.0499   0.7708   1.0000
   3.750   0.5454   0.03565   0.02584  -0.0490   0.7551   1.0000
   4.000   0.5683   0.03628   0.02653  -0.0481   0.7394   1.0000
   4.250   0.5919   0.03686   0.02718  -0.0471   0.7236   1.0000
   4.500   0.6167   0.03735   0.02774  -0.0462   0.7076   1.0000
   4.750   0.6428   0.03771   0.02820  -0.0452   0.6914   1.0000
   5.000   0.6697   0.03795   0.02854  -0.0441   0.6750   1.0000
   5.250   0.6971   0.03809   0.02878  -0.0429   0.6584   1.0000
   5.500   0.7250   0.03812   0.02893  -0.0415   0.6415   1.0000
   5.750   0.7536   0.03802   0.02895  -0.0401   0.6244   1.0000
   6.000   0.7842   0.03771   0.02876  -0.0386   0.6068   1.0000
   6.250   0.8180   0.03705   0.02823  -0.0371   0.5888   1.0000
   6.500   0.8531   0.03616   0.02742  -0.0355   0.5695   1.0000
   6.750   0.8680   0.03670   0.02810  -0.0328   0.5462   1.0000
   7.000   0.9149   0.03425   0.02563  -0.0311   0.5206   1.0000
   7.250   0.9403   0.03322   0.02459  -0.0282   0.4892   1.0000
   7.500   0.9666   0.03212   0.02340  -0.0254   0.4555   1.0000
   7.750   0.9862   0.03169   0.02288  -0.0224   0.4198   1.0000
   8.000   1.0004   0.03167   0.02278  -0.0189   0.3799   1.0000
   8.250   1.0129   0.03187   0.02271  -0.0153   0.3348   1.0000
   8.500   1.0215   0.03276   0.02322  -0.0116   0.2879   1.0000
   8.750   1.0314   0.03425   0.02434  -0.0085   0.2481   1.0000
   9.000   1.0441   0.03612   0.02601  -0.0062   0.2188   1.0000
   9.250   1.0642   0.03819   0.02783  -0.0050   0.1975   1.0000
   9.500   1.0821   0.04036   0.02998  -0.0036   0.1817   1.0000
   9.750   1.1020   0.04267   0.03234  -0.0026   0.1697   1.0000
  10.000   1.1124   0.04531   0.03534  -0.0006   0.1611   1.0000
  10.250   1.1340   0.04796   0.03792   0.0000   0.1527   1.0000
  10.500   1.1348   0.05109   0.04158   0.0028   0.1485   1.0000
  10.750   1.1427   0.05394   0.04466   0.0046   0.1431   1.0000
  11.000   1.1567   0.05720   0.04794   0.0055   0.1380   1.0000
  11.250   1.1441   0.06091   0.05212   0.0088   0.1367   1.0000
  11.500   1.1270   0.06488   0.05647   0.0118   0.1360   1.0000
  11.750   1.1034   0.06891   0.06078   0.0148   0.1359   1.0000
  12.000   1.0758   0.07344   0.06554   0.0170   0.1363   1.0000
  12.250   1.0460   0.07885   0.07114   0.0175   0.1371   1.0000
  12.500   1.0162   0.08522   0.07764   0.0166   0.1380   1.0000
  12.750   0.9897   0.09237   0.08489   0.0145   0.1388   1.0000
  13.000   0.8234   0.12981   0.12222  -0.0111   0.1684   1.0000
  13.000   0.8234   0.12982   0.12222  -0.0111   0.1684   1.0000
  13.750   0.7185   0.16701   0.15918  -0.0388   0.2838   1.0000
  14.000   0.7529   0.17449   0.16676  -0.0383   0.2767   1.0000
  14.250   0.7293   0.17450   0.16668  -0.0408   0.2716   1.0000
  14.500   0.7484   0.17926   0.17150  -0.0408   0.2626   1.0000
  14.750   0.7477   0.18273   0.17495  -0.0425   0.2591   1.0000
  15.000   0.7471   0.18495   0.17716  -0.0441   0.2510   1.0000
  15.250   0.7710   0.19173   0.18399  -0.0438   0.2449   1.0000
  15.500   0.7584   0.19182   0.18403  -0.0466   0.2377   1.0000
  15.750   0.7828   0.19817   0.19047  -0.0461   0.2306   1.0000
  16.000   0.7757   0.19971   0.19195  -0.0488   0.2271   1.0000
  16.250   0.7800   0.20227   0.19451  -0.0504   0.2193   1.0000
  16.500   0.8032   0.20967   0.20196  -0.0500   0.2139   1.0000
  16.750   0.7922   0.20895   0.20119  -0.0535   0.2078   1.0000
  17.000   0.8074   0.21351   0.20580  -0.0538   0.2010   1.0000
  17.250   0.8189   0.21901   0.21130  -0.0549   0.1981   1.0000
  17.500   0.8134   0.21901   0.21126  -0.0582   0.1922   1.0000
  17.750   0.8281   0.22356   0.21587  -0.0585   0.1858   1.0000
  18.000   0.8370   0.22825   0.22055  -0.0600   0.1825   1.0000
  18.250   0.8357   0.22882   0.22109  -0.0631   0.1762   1.0000
  18.500   0.8491   0.23324   0.22556  -0.0637   0.1708   1.0000
  18.750   0.8665   0.24099   0.23333  -0.0639   0.1681   1.0000
  19.000   0.8590   0.23906   0.23135  -0.0684   0.1642   1.0000
  19.250   0.8671   0.24200   0.23430  -0.0701   0.1584   1.0000
  19.500   0.8970   0.25456   0.24696  -0.0679   0.1535   1.0000
  19.750   0.8851   0.24990   0.24223  -0.0732   0.1516   1.0000
  20.000   0.8890   0.25145   0.24377  -0.0761   0.1461   1.0000
