  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA M2                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.01599   0.00518   0.0000   1.0000   1.0000
   0.250   0.0149   0.01601   0.00521   0.0020   1.0000   1.0000
   0.500   0.0300   0.01606   0.00528   0.0039   1.0000   1.0000
   0.750   0.0454   0.01616   0.00540   0.0057   1.0000   1.0000
   1.000   0.0613   0.01629   0.00557   0.0074   1.0000   1.0000
   1.250   0.0777   0.01647   0.00580   0.0090   1.0000   1.0000
   1.500   0.0944   0.01670   0.00609   0.0103   1.0000   1.0000
   1.750   0.1115   0.01697   0.00646   0.0115   1.0000   1.0000
   2.000   0.1287   0.01731   0.00689   0.0126   1.0000   1.0000
   2.250   0.1459   0.01771   0.00740   0.0134   1.0000   1.0000
   2.500   0.1629   0.01819   0.00801   0.0141   1.0000   1.0000
   2.750   0.1797   0.01877   0.00873   0.0145   1.0000   1.0000
   3.000   0.1959   0.01946   0.00962   0.0147   1.0000   1.0000
   3.250   0.2113   0.02031   0.01064   0.0146   1.0000   1.0000
   3.500   0.4222   0.01833   0.01018  -0.0123   0.8447   1.0000
   3.750   0.4476   0.01757   0.00910  -0.0046   0.6407   1.0000
   4.000   0.4468   0.02111   0.00982   0.0031   0.2594   1.0000
   4.250   0.4722   0.02319   0.01147   0.0041   0.2032   1.0000
   4.500   0.4987   0.02481   0.01294   0.0049   0.1777   1.0000
   4.750   0.5266   0.02660   0.01470   0.0056   0.1650   1.0000
   5.000   0.5544   0.02848   0.01674   0.0063   0.1568   1.0000
   5.250   0.5806   0.03059   0.01914   0.0071   0.1497   1.0000
   5.500   0.6056   0.03267   0.02143   0.0078   0.1421   1.0000
   5.750   0.6304   0.03554   0.02450   0.0084   0.1396   1.0000
   6.000   0.6537   0.03864   0.02806   0.0093   0.1390   1.0000
   6.250   0.6738   0.04179   0.03188   0.0103   0.1375   1.0000
   6.500   0.6917   0.04543   0.03609   0.0111   0.1370   1.0000
   6.750   0.7109   0.04978   0.04066   0.0116   0.1393   1.0000
   7.000   0.7197   0.05555   0.04741   0.0116   0.1518   1.0000
   7.250   0.7312   0.06209   0.05441   0.0106   0.1684   1.0000
   7.250   0.7309   0.06213   0.05441   0.0107   0.1675   1.0000
   7.750   0.6272   0.09368   0.08668  -0.0342   0.4129   1.0000
   8.000   0.6239   0.09632   0.08929  -0.0331   0.3903   1.0000
   8.000   0.6239   0.09632   0.08929  -0.0331   0.3903   1.0000
   8.100   0.6422   0.09893   0.09195  -0.0324   0.3846   1.0000
   8.200   0.6292   0.09912   0.09208  -0.0324   0.3752   1.0000
   8.350   0.6322   0.10147   0.09441  -0.0321   0.3668   1.0000
   8.450   0.6350   0.10279   0.09573  -0.0319   0.3598   1.0000
   8.600   0.6355   0.10502   0.09793  -0.0318   0.3517   1.0000
   8.700   0.6395   0.10642   0.09934  -0.0315   0.3451   1.0000
   9.000   0.6536   0.11145   0.10438  -0.0306   0.3282   1.0000
   9.250   0.6693   0.11623   0.10917  -0.0294   0.3122   1.0000
