  
       XFOIL         Version 6.99
  
 Calculated polar for: NLF(1)-0115                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0443   0.04046   0.03057  -0.0018   1.0000   1.0000
   0.250  -0.0397   0.04050   0.03056   0.0003   1.0000   1.0000
   0.500  -0.0353   0.04054   0.03054   0.0024   1.0000   1.0000
   0.750  -0.0313   0.04057   0.03052   0.0046   1.0000   1.0000
   1.000  -0.0275   0.04059   0.03051   0.0067   1.0000   1.0000
   1.250  -0.0241   0.04061   0.03049   0.0089   1.0000   1.0000
   1.500  -0.0212   0.04061   0.03047   0.0112   1.0000   1.0000
   1.750  -0.0189   0.04058   0.03042   0.0135   1.0000   1.0000
   2.000  -0.0172   0.04053   0.03035   0.0159   1.0000   1.0000
   2.250  -0.0163   0.04045   0.03026   0.0183   1.0000   1.0000
   2.500  -0.0160   0.04033   0.03014   0.0208   1.0000   1.0000
   2.750  -0.0163   0.04018   0.02999   0.0233   1.0000   1.0000
   3.000  -0.0162   0.04004   0.02984   0.0256   1.0000   1.0000
   3.250  -0.0150   0.03999   0.02979   0.0277   1.0000   1.0000
   3.500  -0.0101   0.04017   0.02996   0.0290   1.0000   1.0000
   3.750  -0.0013   0.04065   0.03042   0.0295   1.0000   1.0000
   4.000   0.0102   0.04137   0.03114   0.0294   1.0000   1.0000
   4.250   0.2548   0.04822   0.03811  -0.0058   0.8413   1.0000
   4.500   0.2825   0.04866   0.03860  -0.0064   0.8166   1.0000
   4.750   0.3295   0.04917   0.03917  -0.0094   0.7912   1.0000
   5.000   0.3514   0.04942   0.03947  -0.0090   0.7663   1.0000
   5.250   0.4100   0.04940   0.03957  -0.0125   0.7416   1.0000
   5.500   0.4285   0.04956   0.03979  -0.0113   0.7155   1.0000
   5.750   0.4890   0.04869   0.03909  -0.0139   0.6918   1.0000
   6.000   0.5174   0.04828   0.03877  -0.0131   0.6646   1.0000
   6.250   0.5615   0.04704   0.03768  -0.0132   0.6388   1.0000
   6.500   0.6226   0.04434   0.03521  -0.0139   0.6149   1.0000
   6.750   0.6665   0.04190   0.03293  -0.0127   0.5878   1.0000
   7.000   0.7419   0.03701   0.02830  -0.0131   0.5601   1.0000
   7.250   0.8263   0.03194   0.02335  -0.0151   0.5166   1.0000
   7.500   0.8730   0.03002   0.02117  -0.0149   0.4674   1.0000
   7.750   0.9123   0.02989   0.02057  -0.0152   0.4227   1.0000
   8.000   0.9420   0.03089   0.02129  -0.0153   0.3891   1.0000
   8.250   0.9749   0.03218   0.02231  -0.0162   0.3611   1.0000
   8.500   0.9983   0.03367   0.02376  -0.0159   0.3399   1.0000
   8.750   1.0253   0.03525   0.02529  -0.0162   0.3213   1.0000
   9.000   1.0493   0.03692   0.02696  -0.0161   0.3054   1.0000
   9.250   1.0704   0.03878   0.02890  -0.0157   0.2925   1.0000
   9.500   1.0923   0.04069   0.03087  -0.0154   0.2801   1.0000
   9.750   1.1199   0.04268   0.03282  -0.0159   0.2681   1.0000
  10.000   1.1204   0.04489   0.03540  -0.0128   0.2608   1.0000
  10.250   1.1427   0.04711   0.03764  -0.0127   0.2512   1.0000
  10.500   1.1369   0.04955   0.04044  -0.0091   0.2451   1.0000
  10.750   1.1637   0.05202   0.04290  -0.0097   0.2366   1.0000
  11.000   1.1441   0.05499   0.04628  -0.0049   0.2336   1.0000
  11.250   1.1243   0.05818   0.04978  -0.0007   0.2307   1.0000
  11.500   1.1052   0.06131   0.05309   0.0032   0.2276   1.0000
  11.750   1.1267   0.06405   0.05585   0.0031   0.2203   1.0000
  12.000   1.0896   0.06820   0.06021   0.0075   0.2202   1.0000
  12.250   1.0465   0.07357   0.06574   0.0103   0.2207   1.0000
  12.500   1.0025   0.08045   0.07273   0.0110   0.2217   1.0000
  12.500   1.0002   0.08059   0.07289   0.0110   0.2219   1.0000
  13.000   0.4634   0.13764   0.13012  -0.0166   0.3849   1.0000
  13.250   0.4740   0.14100   0.13355  -0.0175   0.3770   1.0000
  13.500   0.4791   0.14302   0.13563  -0.0181   0.3663   1.0000
  13.750   0.4776   0.14493   0.13758  -0.0190   0.3588   1.0000
  13.750   0.4776   0.14493   0.13758  -0.0190   0.3588   1.0000
  13.850   0.4794   0.14561   0.13827  -0.0192   0.3536   1.0000
  13.950   0.4937   0.14808   0.14078  -0.0195   0.3493   1.0000
  14.250   0.4886   0.14941   0.14216  -0.0205   0.3374   1.0000
  14.500   0.5090   0.15463   0.14743  -0.0215   0.3312   1.0000
  14.750   0.4989   0.15437   0.14723  -0.0224   0.3212   1.0000
  15.000   0.5122   0.15848   0.15139  -0.0234   0.3146   1.0000
  15.250   0.5138   0.15981   0.15278  -0.0243   0.3033   1.0000
  15.500   0.5164   0.16239   0.15539  -0.0255   0.2972   1.0000
  15.750   0.5219   0.16462   0.15768  -0.0265   0.2881   1.0000
  16.000   0.5323   0.16864   0.16175  -0.0276   0.2831   1.0000
  16.250   0.5304   0.16952   0.16267  -0.0288   0.2731   1.0000
  16.500   0.5428   0.17388   0.16709  -0.0298   0.2674   1.0000
  16.750   0.5384   0.17448   0.16773  -0.0313   0.2590   1.0000
  16.750   0.5384   0.17448   0.16773  -0.0313   0.2590   1.0000
  16.850   0.5445   0.17609   0.16938  -0.0316   0.2562   1.0000
  16.950   0.5565   0.17922   0.17255  -0.0317   0.2539   1.0000
  17.250   0.5473   0.17987   0.17322  -0.0340   0.2470   1.0000
  17.500   0.5643   0.18446   0.17789  -0.0345   0.2386   1.0000
  17.750   0.5605   0.18603   0.17948  -0.0364   0.2346   1.0000
  18.000   0.5627   0.18797   0.18148  -0.0378   0.2272   1.0000
  18.250   0.5867   0.19560   0.18919  -0.0381   0.2216   1.0000
  18.500   0.5710   0.19358   0.18718  -0.0407   0.2158   1.0000
  18.750   0.5820   0.19726   0.19094  -0.0415   0.2087   1.0000
  19.000   0.5908   0.20194   0.19566  -0.0428   0.2054   1.0000
  19.250   0.5846   0.20212   0.19587  -0.0450   0.1986   1.0000
  19.500   0.6046   0.20860   0.20244  -0.0452   0.1916   1.0000
  19.750   0.5976   0.20923   0.20308  -0.0476   0.1888   1.0000
  20.000   0.5985   0.21113   0.20503  -0.0493   0.1816   1.0000
   0.000  -0.0443   0.04046   0.03057  -0.0018   1.0000   1.0000
  -0.250  -0.0491   0.04042   0.03060  -0.0039   1.0000   1.0000
  -0.500  -0.0539   0.04038   0.03062  -0.0060   1.0000   1.0000
  -0.750  -0.0589   0.04035   0.03067  -0.0080   1.0000   1.0000
  -1.000  -0.0638   0.04032   0.03072  -0.0101   1.0000   1.0000
  -1.250  -0.0686   0.04028   0.03078  -0.0121   1.0000   1.0000
  -1.500  -0.0734   0.04026   0.03085  -0.0142   1.0000   1.0000
  -1.750  -0.0780   0.04025   0.03094  -0.0163   1.0000   1.0000
  -2.000  -0.0824   0.04023   0.03103  -0.0184   1.0000   1.0000
  -2.250  -0.0864   0.04022   0.03113  -0.0205   1.0000   1.0000
  -2.500  -0.0901   0.04022   0.03125  -0.0226   1.0000   1.0000
  -2.750  -0.0934   0.04022   0.03139  -0.0248   1.0000   1.0000
  -3.000  -0.0961   0.04022   0.03152  -0.0271   1.0000   1.0000
  -3.250  -0.0982   0.04023   0.03167  -0.0293   1.0000   1.0000
  -3.500  -0.0995   0.04023   0.03182  -0.0317   1.0000   1.0000
  -3.500  -0.1192   0.04045   0.03216  -0.0280   1.0000   0.9948
  -3.600  -0.1010   0.04024   0.03189  -0.0324   1.0000   0.9997
  -4.250  -0.5843   0.03934   0.02851  -0.0011   1.0000   0.1186
  -4.500  -0.6049   0.04134   0.03071  -0.0022   1.0000   0.1178
  -4.750  -0.6239   0.04304   0.03274  -0.0035   1.0000   0.1173
  -5.000  -0.6419   0.04502   0.03503  -0.0049   1.0000   0.1172
  -5.250  -0.6589   0.04658   0.03710  -0.0065   1.0000   0.1194
  -5.500  -0.6737   0.04914   0.04044  -0.0085   1.0000   0.1265
  -5.750  -0.6877   0.05221   0.04372  -0.0099   1.0000   0.1314
  -6.000  -0.6973   0.05517   0.04744  -0.0120   1.0000   0.1440
  -6.250  -0.7048   0.05886   0.05167  -0.0137   1.0000   0.1604
  -6.500  -0.7067   0.06378   0.05727  -0.0148   1.0000   0.1934
  -6.750  -0.6729   0.07040   0.06478  -0.0138   1.0000   0.2524
  -7.000  -0.6272   0.07634   0.07090  -0.0134   1.0000   0.2902
  -7.250  -0.5705   0.07933   0.07382  -0.0165   1.0000   0.2971
  -7.500  -0.5255   0.08125   0.07558  -0.0207   1.0000   0.2970
  -7.750  -0.4710   0.08392   0.07799  -0.0239   1.0000   0.3003
  -7.750  -0.4634   0.08483   0.07889  -0.0227   1.0000   0.3134
  -8.500  -0.3104   0.09911   0.09246  -0.0173   1.0000   0.4603
  -8.750  -0.3149   0.10158   0.09486  -0.0189   1.0000   0.4442
  -9.000  -0.3221   0.10415   0.09738  -0.0205   1.0000   0.4266
  -9.100  -0.3433   0.10681   0.10007  -0.0203   1.0000   0.4210
  -9.500  -0.3498   0.11057   0.10372  -0.0234   1.0000   0.3886
  -9.750  -0.3430   0.11219   0.10525  -0.0252   1.0000   0.3703
 -10.000  -0.3443   0.11459   0.10757  -0.0266   1.0000   0.3527
 -10.250  -0.3503   0.11737   0.11030  -0.0278   1.0000   0.3375
