  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA  NLF1015                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2175   0.03845   0.03075  -0.0195   1.0000   1.0000
   0.250  -0.1983   0.03862   0.03061  -0.0206   1.0000   1.0000
   0.500  -0.1755   0.03906   0.03078  -0.0222   1.0000   1.0000
   0.750  -0.1506   0.03970   0.03117  -0.0242   1.0000   1.0000
   1.000  -0.1245   0.04049   0.03170  -0.0264   1.0000   1.0000
   1.250  -0.0979   0.04140   0.03239  -0.0287   1.0000   1.0000
   1.500  -0.0711   0.04241   0.03320  -0.0310   1.0000   1.0000
   1.750  -0.0443   0.04349   0.03410  -0.0332   1.0000   1.0000
   2.000  -0.0179   0.04465   0.03508  -0.0355   1.0000   1.0000
   2.250   0.0082   0.04586   0.03615  -0.0377   1.0000   1.0000
   2.500   0.0337   0.04714   0.03729  -0.0398   1.0000   1.0000
   2.750   0.0588   0.04847   0.03850  -0.0419   1.0000   1.0000
   3.000   0.0833   0.04986   0.03978  -0.0439   1.0000   1.0000
   3.250   0.1072   0.05130   0.04113  -0.0457   1.0000   1.0000
   3.500   0.1399   0.05349   0.04322  -0.0493   0.9960   1.0000
   3.750   0.1713   0.05561   0.04526  -0.0527   0.9899   1.0000
   4.000   0.2089   0.05858   0.04813  -0.0572   0.9843   1.0000
   4.250   0.2384   0.06054   0.05006  -0.0603   0.9752   1.0000
   4.250   0.2384   0.06054   0.05006  -0.0603   0.9752   1.0000
   4.350   0.2520   0.06174   0.05123  -0.0618   0.9731   1.0000
   4.450   0.2574   0.06180   0.05131  -0.0619   0.9675   1.0000
   4.750   0.2915   0.06436   0.05385  -0.0653   0.9560   1.0000
   5.000   0.3219   0.06685   0.05633  -0.0685   0.9469   1.0000
   5.250   0.3577   0.06983   0.05930  -0.0725   0.9360   1.0000
