  
       XFOIL         Version 6.99
  
 Calculated polar for: NN7 MK20                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2691   0.04494   0.03637   0.0163   1.0000   0.9643
   0.250  -0.2342   0.04569   0.03695   0.0118   1.0000   0.9717
   0.500  -0.2012   0.04647   0.03758   0.0076   1.0000   0.9793
   0.750  -0.1690   0.04726   0.03824   0.0035   1.0000   0.9867
   1.000  -0.1402   0.04810   0.03897  -0.0001   1.0000   0.9950
   1.250  -0.1247   0.04857   0.03935  -0.0011   1.0000   1.0000
   1.500  -0.1247   0.04827   0.03900   0.0009   1.0000   1.0000
   1.750  -0.1247   0.04794   0.03862   0.0028   1.0000   1.0000
   2.000  -0.1243   0.04760   0.03825   0.0047   1.0000   1.0000
   2.250  -0.1209   0.04740   0.03801   0.0061   0.9994   1.0000
   2.500  -0.0953   0.04868   0.03919   0.0031   0.9899   1.0000
   2.750  -0.0698   0.05010   0.04053   0.0002   0.9796   1.0000
   3.000  -0.0391   0.05210   0.04243  -0.0035   0.9690   1.0000
   3.250  -0.0126   0.05336   0.04362  -0.0063   0.9567   1.0000
   3.250  -0.0126   0.05336   0.04362  -0.0063   0.9567   1.0000
   3.350  -0.0037   0.05392   0.04415  -0.0071   0.9537   1.0000
   3.450   0.0039   0.05404   0.04426  -0.0076   0.9470   1.0000
   3.750   0.0363   0.05598   0.04613  -0.0110   0.9340   1.0000
   4.000   0.0744   0.05890   0.04897  -0.0158   0.9250   1.0000
   4.250   0.0973   0.05992   0.04997  -0.0178   0.9118   1.0000
   4.500   0.1186   0.06116   0.05119  -0.0195   0.8998   1.0000
   4.750   0.1442   0.06301   0.05303  -0.0220   0.8897   1.0000
   5.000   0.1834   0.06614   0.05612  -0.0267   0.8794   1.0000
   5.250   0.2015   0.06711   0.05710  -0.0278   0.8661   1.0000
   5.500   0.2215   0.06859   0.05859  -0.0293   0.8539   1.0000
   5.750   0.2455   0.07062   0.06064  -0.0315   0.8431   1.0000
   6.000   0.2825   0.07385   0.06387  -0.0356   0.8324   1.0000
   6.250   0.3038   0.07544   0.06550  -0.0372   0.8187   1.0000
   6.500   0.3203   0.07692   0.06702  -0.0382   0.8055   1.0000
   6.750   0.3390   0.07884   0.06899  -0.0396   0.7929   1.0000
   7.000   0.3612   0.08114   0.07133  -0.0415   0.7809   1.0000
   7.250   0.3927   0.08426   0.07451  -0.0447   0.7695   1.0000
   7.500   0.4237   0.08723   0.07756  -0.0475   0.7551   1.0000
   7.750   0.4365   0.08875   0.07914  -0.0481   0.7408   1.0000
   7.750   0.4365   0.08875   0.07914  -0.0481   0.7408   1.0000
   7.850   0.4368   0.08940   0.07981  -0.0479   0.7371   1.0000
   7.950   0.4414   0.08987   0.08031  -0.0480   0.7294   1.0000
   8.250   0.4661   0.09287   0.08340  -0.0500   0.7130   1.0000
   8.500   0.4831   0.09525   0.08585  -0.0513   0.6989   1.0000
   8.750   0.4999   0.09775   0.08846  -0.0526   0.6851   1.0000
   9.000   0.5173   0.10033   0.09112  -0.0539   0.6711   1.0000
   9.250   0.5348   0.10303   0.09391  -0.0552   0.6574   1.0000
   9.500   0.5525   0.10576   0.09675  -0.0566   0.6432   1.0000
   9.750   0.6442   0.10240   0.09352  -0.0563   0.5585   1.0000
  10.000   0.6281   0.10696   0.09815  -0.0573   0.5622   1.0000
  10.250   0.6325   0.11085   0.10214  -0.0588   0.5613   1.0000
  10.500   0.6420   0.11475   0.10617  -0.0605   0.5594   1.0000
  10.750   0.6340   0.11887   0.11037  -0.0618   0.5628   1.0000
  11.000   0.7534   0.10969   0.10144  -0.0577   0.4652   1.0000
  11.250   0.7647   0.11177   0.10363  -0.0578   0.4485   1.0000
  11.500   0.7783   0.11369   0.10567  -0.0579   0.4313   1.0000
  11.750   0.7985   0.11488   0.10700  -0.0577   0.4129   1.0000
  11.750   0.7985   0.11488   0.10701  -0.0577   0.4129   1.0000
  11.850   0.8203   0.11382   0.10605  -0.0570   0.4042   1.0000
  11.950   0.8166   0.11541   0.10768  -0.0573   0.3974   1.0000
  12.250   0.8551   0.11460   0.10708  -0.0559   0.3741   1.0000
  12.500   0.8614   0.11696   0.10955  -0.0558   0.3563   1.0000
  12.750   0.8761   0.11833   0.11106  -0.0554   0.3386   1.0000
  13.000   0.9572   0.10842   0.10154  -0.0499   0.3166   1.0000
  13.250   0.9490   0.11322   0.10639  -0.0506   0.3004   1.0000
  13.250   1.2901   0.06060   0.05362  -0.0336   0.2405   1.0000
  13.350   1.2831   0.06233   0.05544  -0.0331   0.2358   1.0000
  13.450   1.0716   0.09210   0.08576  -0.0406   0.2781   1.0000
  13.750   1.3042   0.06599   0.05905  -0.0315   0.2084   1.0000
  14.000   1.3136   0.06877   0.06186  -0.0307   0.1950   1.0000
  14.250   1.0711   0.10363   0.09749  -0.0407   0.2342   1.0000
  14.500   1.0214   0.11806   0.11184  -0.0462   0.2299   1.0000
  14.750   0.9644   0.13583   0.12944  -0.0543   0.2281   1.0000
  15.000   0.9257   0.14917   0.14263  -0.0609   0.2271   1.0000
  15.250   0.9048   0.15855   0.15196  -0.0657   0.2257   1.0000
  15.500   0.8960   0.16596   0.15936  -0.0693   0.2257   1.0000
  15.750   0.8954   0.17244   0.16587  -0.0722   0.2270   1.0000
  16.000   0.8984   0.17848   0.17195  -0.0748   0.2279   1.0000
  16.000   0.8978   0.17873   0.17222  -0.0750   0.2293   1.0000
  16.100   0.9003   0.18093   0.17444  -0.0758   0.2290   1.0000
  16.200   0.9042   0.18316   0.17669  -0.0765   0.2286   1.0000
  16.750   0.6439   0.18664   0.18116  -0.0743   0.3006   1.0000
  17.000   0.6497   0.18919   0.18377  -0.0755   0.2899   1.0000
  17.250   0.6525   0.19255   0.18719  -0.0772   0.2853   1.0000
  17.500   0.6572   0.19525   0.18996  -0.0787   0.2760   1.0000
  17.750   0.6606   0.19856   0.19331  -0.0802   0.2694   1.0000
  18.000   0.6732   0.20254   0.19737  -0.0812   0.2595   1.0000
  18.250   0.6697   0.20498   0.19985  -0.0832   0.2540   1.0000
  18.500   0.6914   0.21141   0.20636  -0.0836   0.2431   1.0000
  18.750   0.6783   0.21143   0.20639  -0.0862   0.2363   1.0000
  19.000   0.6928   0.21677   0.21179  -0.0869   0.2277   1.0000
  19.250   0.6899   0.21853   0.21358  -0.0889   0.2181   1.0000
  19.500   0.6952   0.22264   0.21774  -0.0903   0.2113   1.0000
