  
       XFOIL         Version 6.99
  
 Calculated polar for: PMC19 Smoothed                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2203   0.01907   0.00984  -0.0249   0.8397   1.0000
   0.250   0.2371   0.01948   0.01005  -0.0229   0.8093   1.0000
   0.500   0.2538   0.01987   0.01026  -0.0208   0.7834   1.0000
   0.750   0.2716   0.02026   0.01052  -0.0191   0.7586   1.0000
   1.000   0.2896   0.02067   0.01080  -0.0175   0.7365   1.0000
   1.250   0.3077   0.02109   0.01111  -0.0160   0.7162   1.0000
   1.500   0.3256   0.02151   0.01140  -0.0142   0.6983   1.0000
   1.750   0.3449   0.02203   0.01183  -0.0131   0.6803   1.0000
   2.000   0.3644   0.02259   0.01235  -0.0121   0.6634   1.0000
   2.250   0.3843   0.02318   0.01287  -0.0110   0.6477   1.0000
   2.500   0.4051   0.02382   0.01345  -0.0102   0.6329   1.0000
   2.750   0.4270   0.02451   0.01410  -0.0095   0.6190   1.0000
   3.000   0.4496   0.02523   0.01479  -0.0090   0.6058   1.0000
   3.250   0.4728   0.02594   0.01550  -0.0084   0.5939   1.0000
   3.500   0.4965   0.02676   0.01633  -0.0081   0.5818   1.0000
   3.750   0.5207   0.02782   0.01747  -0.0085   0.5693   1.0000
   4.000   0.5448   0.02899   0.01873  -0.0090   0.5579   1.0000
   4.250   0.5689   0.03009   0.01994  -0.0091   0.5476   1.0000
   4.500   0.5932   0.03104   0.02094  -0.0088   0.5382   1.0000
   4.750   0.6165   0.03279   0.02289  -0.0102   0.5275   1.0000
   5.000   0.6396   0.03434   0.02458  -0.0108   0.5183   1.0000
   5.250   0.6633   0.03562   0.02598  -0.0108   0.5098   1.0000
   5.500   0.6833   0.03822   0.02888  -0.0130   0.5006   1.0000
   5.750   0.7081   0.03912   0.02987  -0.0120   0.4938   1.0000
   6.000   0.7227   0.04294   0.03399  -0.0156   0.4847   1.0000
   6.250   0.7459   0.04436   0.03556  -0.0151   0.4786   1.0000
   6.500   0.7525   0.04937   0.04085  -0.0198   0.4708   1.0000
   6.750   0.7753   0.05100   0.04271  -0.0193   0.4654   1.0000
   7.000   0.7710   0.05743   0.04930  -0.0251   0.4610   1.0000
   7.250   0.7665   0.06314   0.05510  -0.0297   0.4588   1.0000
   7.500   0.7623   0.06849   0.06052  -0.0335   0.4606   1.0000
   7.750   0.7602   0.07307   0.06517  -0.0357   0.4625   1.0000
   8.000   0.7597   0.07741   0.06960  -0.0374   0.4634   1.0000
   8.250   0.7555   0.08171   0.07396  -0.0390   0.4633   1.0000
   8.500   0.7466   0.08582   0.07811  -0.0404   0.4615   1.0000
   8.750   0.7379   0.09052   0.08286  -0.0427   0.4686   1.0000
   9.000   0.7274   0.09563   0.08802  -0.0454   0.4830   1.0000
   9.250   0.9939   0.04091   0.03165   0.0165   0.0982   1.0000
   9.500   1.0140   0.04359   0.03428   0.0175   0.0916   1.0000
   9.750   1.0328   0.04700   0.03800   0.0183   0.0889   1.0000
  10.000   1.0462   0.05082   0.04229   0.0189   0.0879   1.0000
  10.250   1.0535   0.05510   0.04704   0.0193   0.0877   1.0000
  10.500   1.0540   0.05973   0.05211   0.0193   0.0879   1.0000
  10.750   1.0470   0.06460   0.05734   0.0188   0.0883   1.0000
  11.000   1.0336   0.06957   0.06258   0.0179   0.0888   1.0000
  11.250   1.0162   0.07486   0.06805   0.0159   0.0895   1.0000
  11.500   0.9995   0.08084   0.07416   0.0129   0.0902   1.0000
  11.750   0.8901   0.10254   0.09604  -0.0096   0.0978   1.0000
  12.000   0.8699   0.11257   0.10600  -0.0150   0.1010   1.0000
  12.250   0.8624   0.11991   0.11330  -0.0179   0.1024   1.0000
  12.250   0.8624   0.11991   0.11330  -0.0179   0.1024   1.0000
  12.350   0.8617   0.12239   0.11576  -0.0187   0.1027   1.0000
  12.750   0.6513   0.13088   0.12428  -0.0127   0.1271   1.0000
  12.750   0.6513   0.13088   0.12429  -0.0127   0.1271   1.0000
  12.850   0.6529   0.13266   0.12607  -0.0128   0.1278   1.0000
  13.250   0.7722   0.16853   0.16144  -0.0506   0.2177   1.0000
  13.500   0.7752   0.17282   0.16572  -0.0524   0.2173   1.0000
  13.750   0.7794   0.17674   0.16964  -0.0540   0.2139   1.0000
  14.000   0.7995   0.18293   0.17591  -0.0537   0.2089   1.0000
  14.250   0.8019   0.18712   0.18006  -0.0557   0.2076   1.0000
  14.500   0.7959   0.18898   0.18187  -0.0587   0.2046   1.0000
  14.750   0.8006   0.19253   0.18543  -0.0605   0.2005   1.0000
  15.000   0.8111   0.19706   0.18998  -0.0615   0.1971   1.0000
  15.250   0.8337   0.20561   0.19861  -0.0612   0.1947   1.0000
  15.500   0.8227   0.20510   0.19800  -0.0652   0.1925   1.0000
  15.750   0.8264   0.20786   0.20076  -0.0674   0.1869   1.0000
  16.000   0.8467   0.21499   0.20799  -0.0669   0.1816   1.0000
  16.250   0.8438   0.21628   0.20923  -0.0703   0.1791   1.0000
  16.500   0.8483   0.21881   0.21175  -0.0725   0.1728   1.0000
  16.750   0.8681   0.22631   0.21932  -0.0720   0.1682   1.0000
  17.000   0.8665   0.22747   0.22042  -0.0755   0.1661   1.0000
  17.250   0.8703   0.22961   0.22255  -0.0783   0.1609   1.0000
  17.500   0.8831   0.23450   0.22748  -0.0789   0.1563   1.0000
  17.750   0.8939   0.24014   0.23312  -0.0802   0.1539   1.0000
  18.000   0.8937   0.24043   0.23337  -0.0841   0.1496   1.0000
  18.250   0.9037   0.24422   0.23719  -0.0855   0.1445   1.0000
  18.500   0.9193   0.25185   0.24484  -0.0855   0.1411   1.0000
  18.750   0.9180   0.25095   0.24390  -0.0901   0.1373   1.0000
  19.000   0.9278   0.25459   0.24760  -0.0915   0.1313   1.0000
  19.250   0.9423   0.26201   0.25505  -0.0917   0.1280   1.0000
  19.500   0.9424   0.26123   0.25423  -0.0962   0.1247   1.0000
  19.750   0.9508   0.26439   0.25740  -0.0983   0.1199   1.0000
  20.000   0.9677   0.27277   0.26585  -0.0976   0.1160   1.0000
   0.000   0.2203   0.01907   0.00984  -0.0249   0.8398   1.0000
  -0.250   0.2018   0.01865   0.00964  -0.0268   0.8747   1.0000
  -0.500   0.1701   0.01831   0.00962  -0.0261   0.9185   1.0000
  -0.750   0.0952   0.01832   0.01022  -0.0168   0.9671   1.0000
  -1.000  -0.0406   0.02112   0.01056  -0.0083   0.9692   0.1884
  -1.250  -0.1129   0.02268   0.01213   0.0010   0.9993   0.1602
  -1.500  -0.1264   0.02310   0.01252   0.0002   1.0000   0.1554
  -1.750  -0.1407   0.02356   0.01297  -0.0010   1.0000   0.1534
  -2.000  -0.1577   0.02414   0.01358  -0.0025   1.0000   0.1514
  -2.250  -0.1799   0.02510   0.01454  -0.0035   1.0000   0.1462
  -2.500  -0.2072   0.02640   0.01591  -0.0041   1.0000   0.1472
  -2.750  -0.2363   0.02815   0.01773  -0.0044   1.0000   0.1527
  -3.000  -0.2675   0.02935   0.01934  -0.0050   1.0000   0.1620
  -3.250  -0.2971   0.03167   0.02176  -0.0052   1.0000   0.1679
