  
       XFOIL         Version 6.99
  
 Calculated polar for: PSU 94-097 (AIAA 2001-2478)                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1532   0.02763   0.01839  -0.0716   1.0000   1.0000
   0.250   0.1757   0.02843   0.01891  -0.0721   1.0000   1.0000
   0.500   0.1977   0.02928   0.01952  -0.0726   1.0000   1.0000
   0.750   0.2208   0.03020   0.02023  -0.0734   0.9991   1.0000
   1.000   0.2637   0.03143   0.02123  -0.0778   0.9888   1.0000
   1.250   0.3056   0.03269   0.02227  -0.0820   0.9782   1.0000
   1.500   0.3478   0.03397   0.02338  -0.0862   0.9670   1.0000
   1.750   0.3913   0.03525   0.02452  -0.0904   0.9554   1.0000
   2.000   0.4246   0.03635   0.02554  -0.0928   0.9427   1.0000
   2.250   0.4590   0.03748   0.02662  -0.0953   0.9295   1.0000
   2.500   0.4940   0.03861   0.02771  -0.0978   0.9155   1.0000
   2.750   0.5298   0.03972   0.02880  -0.1002   0.9009   1.0000
   3.000   0.5666   0.04078   0.02986  -0.1026   0.8859   1.0000
   3.250   0.6035   0.04178   0.03089  -0.1049   0.8703   1.0000
   3.500   0.6285   0.04278   0.03195  -0.1052   0.8533   1.0000
   3.750   0.6581   0.04371   0.03294  -0.1061   0.8359   1.0000
   4.000   0.6929   0.04450   0.03380  -0.1074   0.8184   1.0000
   4.250   0.7335   0.04504   0.03449  -0.1092   0.8013   1.0000
   4.500   0.7592   0.04583   0.03538  -0.1090   0.7820   1.0000
   4.750   0.7910   0.04632   0.03600  -0.1092   0.7627   1.0000
   5.000   0.8345   0.04618   0.03603  -0.1103   0.7450   1.0000
   5.250   0.8580   0.04673   0.03677  -0.1092   0.7238   1.0000
   5.500   0.8980   0.04625   0.03649  -0.1092   0.7047   1.0000
   5.750   0.9499   0.04466   0.03516  -0.1095   0.6879   1.0000
   6.000   0.9712   0.04480   0.03552  -0.1074   0.6647   1.0000
   6.250   1.0205   0.04243   0.03343  -0.1063   0.6472   1.0000
   6.500   1.0521   0.04131   0.03254  -0.1041   0.6246   1.0000
   6.500   1.0521   0.04131   0.03254  -0.1041   0.6246   1.0000
   6.600   1.0811   0.03929   0.03069  -0.1038   0.6185   1.0000
   6.700   1.0890   0.03918   0.03067  -0.1027   0.6075   1.0000
   7.000   1.1430   0.03597   0.02773  -0.1003   0.5777   1.0000
   7.250   1.1855   0.03356   0.02544  -0.0983   0.5478   1.0000
   7.500   1.2127   0.03280   0.02480  -0.0958   0.5123   1.0000
   7.750   1.2432   0.03209   0.02401  -0.0936   0.4747   1.0000
   8.000   1.2676   0.03229   0.02406  -0.0914   0.4358   1.0000
   8.250   1.2859   0.03325   0.02495  -0.0890   0.3981   1.0000
   8.500   1.3053   0.03439   0.02591  -0.0869   0.3613   1.0000
   8.750   1.3213   0.03585   0.02731  -0.0847   0.3258   1.0000
   9.000   1.3371   0.03751   0.02883  -0.0825   0.2918   1.0000
   9.250   1.3486   0.03943   0.03073  -0.0800   0.2599   1.0000
   9.500   1.3597   0.04142   0.03264  -0.0775   0.2294   1.0000
   9.750   1.3702   0.04367   0.03486  -0.0751   0.2018   1.0000
  10.000   1.3796   0.04615   0.03733  -0.0726   0.1775   1.0000
  10.250   1.3922   0.04863   0.03961  -0.0706   0.1550   1.0000
  10.500   1.3991   0.05182   0.04307  -0.0680   0.1397   1.0000
  10.750   1.4054   0.05493   0.04636  -0.0656   0.1264   1.0000
  11.000   1.4146   0.05833   0.04984  -0.0637   0.1149   1.0000
  11.250   1.4057   0.06225   0.05436  -0.0601   0.1103   1.0000
  11.500   1.4121   0.06576   0.05795  -0.0583   0.1019   1.0000
  11.750   1.3930   0.06948   0.06214  -0.0543   0.1001   1.0000
  12.000   1.3725   0.07344   0.06647  -0.0511   0.0988   1.0000
  12.250   1.3503   0.07785   0.07121  -0.0487   0.0981   1.0000
  12.500   1.3254   0.08287   0.07652  -0.0474   0.0984   1.0000
  12.750   1.2985   0.08854   0.08244  -0.0471   0.0992   1.0000
  13.000   1.2715   0.09487   0.08891  -0.0480   0.1004   1.0000
  13.250   1.2457   0.10176   0.09596  -0.0497   0.1015   1.0000
  13.500   1.2218   0.10914   0.10346  -0.0523   0.1025   1.0000
  13.500   1.2154   0.11000   0.10437  -0.0532   0.1042   1.0000
  13.600   1.2092   0.11272   0.10712  -0.0540   0.1038   1.0000
  13.700   1.2036   0.11551   0.10992  -0.0549   0.1034   1.0000
  13.750   1.1569   0.12588   0.12034  -0.0631   0.1163   1.0000
  14.250   1.0364   0.17694   0.17075  -0.0999   0.1838   1.0000
  14.250   0.7453   0.16891   0.16264  -0.0808   0.3077   1.0000
  14.350   0.7339   0.16843   0.16215  -0.0813   0.3062   1.0000
  14.450   0.7277   0.16859   0.16231  -0.0816   0.3024   1.0000
  14.750   0.7327   0.17257   0.16635  -0.0820   0.2910   1.0000
  15.000   0.7386   0.17585   0.16970  -0.0821   0.2782   1.0000
  15.250   0.7447   0.17915   0.17311  -0.0824   0.2674   1.0000
  15.500   0.7371   0.18122   0.17518  -0.0835   0.2626   1.0000
  15.750   0.7527   0.18657   0.18062  -0.0834   0.2517   1.0000
  16.000   0.7396   0.18676   0.18081  -0.0848   0.2436   1.0000
  16.250   0.7441   0.19031   0.18441  -0.0853   0.2354   1.0000
  16.500   0.7487   0.19351   0.18767  -0.0857   0.2266   1.0000
  16.750   0.7497   0.19704   0.19121  -0.0867   0.2224   1.0000
  17.000   0.7518   0.19965   0.19387  -0.0873   0.2129   1.0000
  17.250   0.7504   0.20249   0.19671  -0.0885   0.2070   1.0000
  17.500   0.7685   0.20878   0.20310  -0.0880   0.1970   1.0000
  17.750   0.7560   0.20915   0.20344  -0.0900   0.1942   1.0000
  18.000   0.7568   0.21177   0.20609  -0.0910   0.1871   1.0000
  18.250   0.7640   0.21639   0.21073  -0.0914   0.1818   1.0000
  18.500   0.7607   0.21806   0.21243  -0.0929   0.1740   1.0000
  18.750   0.7726   0.22390   0.21830  -0.0928   0.1688   1.0000
  19.000   0.7644   0.22468   0.21908  -0.0949   0.1645   1.0000
  19.250   0.7710   0.22854   0.22302  -0.0953   0.1581   1.0000
  19.500   0.7746   0.23274   0.22723  -0.0962   0.1546   1.0000
