  
       XFOIL         Version 6.99
  
 Calculated polar for: PT40                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0205   0.03946   0.02998  -0.0417   0.9840   0.2095
   0.250   0.0325   0.03891   0.02912  -0.0469   0.9719   0.2085
   0.500   0.0828   0.03845   0.02852  -0.0515   0.9587   0.2102
   0.750   0.1321   0.03812   0.02802  -0.0557   0.9444   0.2111
   1.000   0.1831   0.03784   0.02769  -0.0599   0.9282   0.2166
   1.250   0.2403   0.03754   0.02725  -0.0643   0.9097   0.2236
   1.500   0.2874   0.03699   0.02675  -0.0668   0.8886   0.2314
   1.750   0.3350   0.03651   0.02631  -0.0691   0.8672   0.2456
   2.000   0.3830   0.03575   0.02577  -0.0713   0.8466   0.2652
   2.250   0.4318   0.03468   0.02515  -0.0735   0.8264   0.3113
   2.500   0.4843   0.03193   0.02422  -0.0741   0.8080   1.0000
   2.750   0.5334   0.03141   0.02331  -0.0749   0.7865   1.0000
   3.000   0.5772   0.03074   0.02246  -0.0749   0.7636   1.0000
   3.250   0.6204   0.02986   0.02148  -0.0745   0.7396   1.0000
   3.500   0.6643   0.02873   0.02025  -0.0737   0.7143   1.0000
   3.750   0.7107   0.02730   0.01869  -0.0728   0.6876   1.0000
   4.000   0.7374   0.02684   0.01814  -0.0701   0.6516   1.0000
   4.250   0.7678   0.02626   0.01739  -0.0676   0.6135   1.0000
   4.500   0.7963   0.02599   0.01686  -0.0653   0.5735   1.0000
   4.750   0.8224   0.02612   0.01670  -0.0632   0.5350   1.0000
   5.000   0.8487   0.02653   0.01680  -0.0614   0.5018   1.0000
   5.250   0.8719   0.02725   0.01734  -0.0598   0.4721   1.0000
   5.500   0.8976   0.02801   0.01784  -0.0586   0.4481   1.0000
   5.750   0.9227   0.02889   0.01853  -0.0574   0.4270   1.0000
   6.000   0.9462   0.02991   0.01946  -0.0563   0.4082   1.0000
   6.250   0.9683   0.03104   0.02056  -0.0551   0.3909   1.0000
   6.500   0.9898   0.03230   0.02184  -0.0538   0.3752   1.0000
   6.750   1.0116   0.03357   0.02311  -0.0526   0.3603   1.0000
   7.000   1.0345   0.03476   0.02421  -0.0515   0.3454   1.0000
   7.250   1.0568   0.03581   0.02513  -0.0502   0.3288   1.0000
   7.500   1.0779   0.03681   0.02599  -0.0488   0.3111   1.0000
   7.750   1.0988   0.03788   0.02692  -0.0474   0.2935   1.0000
   8.000   1.1163   0.03917   0.02823  -0.0457   0.2768   1.0000
   8.250   1.1309   0.04078   0.02995  -0.0438   0.2609   1.0000
   8.500   1.1449   0.04262   0.03187  -0.0418   0.2452   1.0000
   8.750   1.1580   0.04467   0.03399  -0.0398   0.2303   1.0000
   9.000   1.1720   0.04685   0.03620  -0.0380   0.2168   1.0000
   9.250   1.1932   0.04876   0.03791  -0.0370   0.2042   1.0000
   9.500   1.1886   0.05195   0.04163  -0.0336   0.1958   1.0000
   9.750   1.2065   0.05420   0.04377  -0.0325   0.1873   1.0000
  10.000   1.1920   0.05815   0.04824  -0.0288   0.1827   1.0000
  10.250   1.1961   0.06106   0.05129  -0.0269   0.1774   1.0000
  10.500   1.2083   0.06404   0.05425  -0.0257   0.1728   1.0000
  10.750   1.1784   0.06903   0.05966  -0.0222   0.1719   1.0000
  11.000   1.1416   0.07431   0.06523  -0.0191   0.1719   1.0000
  11.250   1.0988   0.08087   0.07201  -0.0178   0.1726   1.0000
  11.500   1.0562   0.08911   0.08041  -0.0193   0.1736   1.0000
  11.500   1.0562   0.08910   0.08041  -0.0193   0.1736   1.0000
  11.750   0.8581   0.13236   0.12394  -0.0479   0.2046   1.0000
  12.750   0.7911   0.17088   0.16256  -0.0720   0.2930   1.0000
  13.000   0.7743   0.17158   0.16322  -0.0739   0.2834   1.0000
  13.250   0.8062   0.17748   0.16914  -0.0729   0.2765   1.0000
  13.500   0.7949   0.17968   0.17129  -0.0752   0.2729   1.0000
  13.750   0.7934   0.18172   0.17331  -0.0767   0.2646   1.0000
  14.000   0.8159   0.18673   0.17832  -0.0762   0.2591   1.0000
  14.250   0.8216   0.19097   0.18253  -0.0775   0.2559   1.0000
  14.500   0.8130   0.19159   0.18312  -0.0800   0.2477   1.0000
  14.750   0.8320   0.19604   0.18759  -0.0797   0.2417   1.0000
  15.000   0.8542   0.20320   0.19474  -0.0797   0.2388   1.0000
  15.250   0.8350   0.20151   0.19300  -0.0836   0.2331   1.0000
  15.500   0.8439   0.20457   0.19605  -0.0846   0.2275   1.0000
  15.750   0.8640   0.20987   0.20136  -0.0843   0.2235   1.0000
  16.000   0.8761   0.21534   0.20682  -0.0853   0.2211   1.0000
  16.250   0.8648   0.21410   0.20555  -0.0891   0.2153   1.0000
  16.500   0.8751   0.21722   0.20867  -0.0901   0.2097   1.0000
  16.750   0.8977   0.22370   0.21517  -0.0893   0.2060   1.0000
  17.000   0.9035   0.22750   0.21894  -0.0912   0.2042   1.0000
  17.250   0.8964   0.22653   0.21795  -0.0951   0.1995   1.0000
  17.500   0.9047   0.22934   0.22075  -0.0965   0.1949   1.0000
  17.750   0.9186   0.23353   0.22496  -0.0970   0.1914   1.0000
  18.000   0.9483   0.24464   0.23612  -0.0955   0.1890   1.0000
  18.250   0.9320   0.23986   0.23127  -0.1008   0.1866   1.0000
  18.500   0.9360   0.24135   0.23276  -0.1034   0.1815   1.0000
  18.750   0.9469   0.24466   0.23608  -0.1044   0.1775   1.0000
  19.000   0.9641   0.25062   0.24207  -0.1043   0.1748   1.0000
  19.250   0.9768   0.25674   0.24818  -0.1053   0.1734   1.0000
  19.500   0.9703   0.25398   0.24540  -0.1100   0.1707   1.0000
  19.750   0.9766   0.25608   0.24750  -0.1123   0.1668   1.0000
  20.000   0.9866   0.25923   0.25067  -0.1136   0.1634   1.0000
   0.000  -0.0205   0.03946   0.02998  -0.0417   0.9840   0.2095
  -0.250  -0.0796   0.04050   0.03151  -0.0353   0.9953   0.2183
  -0.500  -0.1176   0.04180   0.03297  -0.0320   1.0000   0.2233
  -0.750  -0.1479   0.04284   0.03459  -0.0300   1.0000   0.2368
  -1.000  -0.1722   0.04450   0.03639  -0.0290   1.0000   0.2492
  -1.250  -0.1488   0.05424   0.04893   0.0395   1.0000   0.8671
  -1.500  -0.0790   0.05313   0.04765   0.0275   1.0000   0.9045
  -1.750  -0.0061   0.05123   0.04556   0.0137   1.0000   0.9413
  -2.000   0.0710   0.04848   0.04259  -0.0026   1.0000   0.9752
  -2.250   0.1411   0.04552   0.03940  -0.0189   1.0000   1.0000
  -2.500   0.1430   0.04616   0.03991  -0.0207   1.0000   1.0000
  -2.750   0.1425   0.04699   0.04061  -0.0221   1.0000   1.0000
  -3.000   0.1399   0.04800   0.04150  -0.0231   1.0000   1.0000
  -3.250  -0.3745   0.07439   0.06860   0.0321   1.0000   0.5147
  -3.500  -0.3652   0.07521   0.06932   0.0269   1.0000   0.4797
  -3.750  -0.3915   0.07859   0.07261   0.0208   1.0000   0.4500
  -4.000  -0.3866   0.08036   0.07426   0.0166   1.0000   0.4258
  -4.000  -0.3866   0.08036   0.07426   0.0166   1.0000   0.4258
  -4.100  -0.3561   0.07907   0.07291   0.0162   1.0000   0.4164
  -4.200  -0.3751   0.08057   0.07440   0.0139   1.0000   0.4065
  -4.500  -0.3728   0.08280   0.07651   0.0093   1.0000   0.3833
  -4.500  -0.3728   0.08281   0.07651   0.0093   1.0000   0.3833
  -4.600  -0.3634   0.08356   0.07720   0.0083   1.0000   0.3787
  -4.700  -0.3417   0.08293   0.07649   0.0072   1.0000   0.3720
  -5.000  -0.3462   0.08580   0.07925   0.0032   1.0000   0.3548
