  
       XFOIL         Version 6.99
  
 Calculated polar for: R140 (original)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0639   0.02581   0.01509   0.0040   1.0000   1.0000
   0.250  -0.0723   0.02570   0.01492   0.0079   1.0000   1.0000
   0.500  -0.0774   0.02565   0.01480   0.0115   1.0000   1.0000
   0.750  -0.0787   0.02569   0.01477   0.0146   1.0000   1.0000
   1.000  -0.0761   0.02583   0.01483   0.0171   1.0000   1.0000
   1.000  -0.0761   0.02583   0.01483   0.0171   1.0000   1.0000
   1.100  -0.0741   0.02591   0.01487   0.0180   1.0000   1.0000
   1.200  -0.0573   0.02625   0.01520   0.0160   0.9959   1.0000
   1.500  -0.0113   0.02723   0.01616   0.0111   0.9836   1.0000
   1.750   0.0181   0.02791   0.01683   0.0088   0.9747   1.0000
   2.000   0.0494   0.02873   0.01764   0.0063   0.9663   1.0000
   2.250   0.0749   0.02944   0.01837   0.0049   0.9580   1.0000
   2.500   0.0987   0.03019   0.01915   0.0038   0.9502   1.0000
   2.750   0.1309   0.03117   0.02025   0.0013   0.9420   1.0000
   3.000   0.1498   0.03185   0.02096   0.0013   0.9327   1.0000
   3.250   0.1746   0.03270   0.02190   0.0003   0.9232   1.0000
   3.500   0.2041   0.03364   0.02295  -0.0015   0.9126   1.0000
   3.750   0.2353   0.03460   0.02407  -0.0035   0.9006   1.0000
   4.000   0.2643   0.03546   0.02516  -0.0049   0.8861   1.0000
   4.250   0.2920   0.03634   0.02623  -0.0061   0.8719   1.0000
   4.500   0.3189   0.03728   0.02737  -0.0071   0.8588   1.0000
   4.750   0.3447   0.03822   0.02854  -0.0078   0.8450   1.0000
   5.000   0.3738   0.03911   0.02970  -0.0089   0.8285   1.0000
   5.250   0.4195   0.03963   0.03075  -0.0114   0.8030   1.0000
   5.500   0.6431   0.02330   0.01431  -0.0069   0.2636   1.0000
   5.750   0.6231   0.02658   0.01623   0.0001   0.1513   1.0000
   6.000   0.6156   0.02931   0.01833   0.0055   0.1116   1.0000
   6.250   0.6383   0.03169   0.02063   0.0076   0.0886   1.0000
   6.500   0.6940   0.03486   0.02384   0.0055   0.0770   1.0000
   6.750   0.7315   0.03835   0.02752   0.0048   0.0723   1.0000
   7.000   0.7514   0.04074   0.03041   0.0069   0.0697   1.0000
   7.250   0.7685   0.04343   0.03352   0.0092   0.0683   1.0000
   7.500   0.7813   0.04628   0.03677   0.0118   0.0672   1.0000
   7.750   0.7907   0.04929   0.04017   0.0146   0.0671   1.0000
   8.000   0.7968   0.05261   0.04388   0.0175   0.0687   1.0000
   8.250   0.8022   0.05624   0.04778   0.0202   0.0707   1.0000
   8.500   0.8167   0.06143   0.05296   0.0211   0.0729   1.0000
   8.750   0.7942   0.06275   0.05515   0.0272   0.0775   1.0000
   9.000   0.7840   0.06640   0.05908   0.0302   0.0810   1.0000
   9.250   0.7931   0.07122   0.06399   0.0313   0.0872   1.0000
   9.750   0.7582   0.07928   0.07250   0.0363   0.1000   1.0000
   9.600   0.7845   0.07872   0.07173   0.0336   0.0989   1.0000
   9.700   0.7659   0.07914   0.07227   0.0353   0.0985   1.0000
  10.000   0.7192   0.08169   0.07496   0.0385   0.0970   1.0000
  10.250   0.6908   0.08639   0.07976   0.0374   0.1016   1.0000
  10.500   0.6519   0.09343   0.08680   0.0322   0.1061   1.0000
  11.250   0.4523   0.12065   0.11415   0.0092   0.2620   1.0000
  11.500   0.5608   0.13221   0.12512  -0.0007   0.2778   1.0000
  11.350   0.4491   0.12226   0.11574   0.0087   0.2640   1.0000
  11.450   0.4478   0.12384   0.11730   0.0082   0.2653   1.0000
  11.750   0.4448   0.12821   0.12165   0.0071   0.2653   1.0000
  12.000   0.4459   0.13165   0.12508   0.0065   0.2616   1.0000
  12.250   0.4637   0.13725   0.13068   0.0064   0.2569   1.0000
  12.000   0.4459   0.13165   0.12508   0.0065   0.2616   1.0000
  12.100   0.4517   0.13357   0.12700   0.0065   0.2594   1.0000
  12.200   0.4628   0.13628   0.12974   0.0065   0.2578   1.0000
  12.750   0.4537   0.14162   0.13501   0.0051   0.2420   1.0000
  13.000   0.4571   0.14433   0.13773   0.0048   0.2322   1.0000
  13.250   0.4478   0.14542   0.13879   0.0040   0.2252   1.0000
  13.500   0.4637   0.15037   0.14375   0.0040   0.2166   1.0000
  13.750   0.4519   0.15025   0.14363   0.0030   0.2081   1.0000
  14.000   0.4574   0.15356   0.14692   0.0024   0.2017   1.0000
  13.750   0.4519   0.15025   0.14362   0.0030   0.2081   1.0000
  13.850   0.4726   0.15505   0.14852   0.0036   0.2035   1.0000
  13.950   0.4622   0.15402   0.14748   0.0028   0.2026   1.0000
  14.250   0.4779   0.15945   0.15292   0.0028   0.1902   1.0000
  14.500   0.4583   0.15778   0.15122   0.0007   0.1867   1.0000
  14.750   0.4772   0.16343   0.15689   0.0010   0.1765   1.0000
  15.000   0.4624   0.16243   0.15586  -0.0011   0.1721   1.0000
  15.250   0.4799   0.16792   0.16136  -0.0008   0.1631   1.0000
  15.500   0.4684   0.16737   0.16079  -0.0030   0.1582   1.0000
  15.750   0.4875   0.17340   0.16684  -0.0026   0.1503   1.0000
  16.000   0.4757   0.17261   0.16603  -0.0050   0.1466   1.0000
  16.250   0.4834   0.17579   0.16923  -0.0057   0.1400   1.0000
