  
       XFOIL         Version 6.99
  
 Calculated polar for: R140  12.04% (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0637   0.02571   0.01497   0.0041   1.0000   1.0000
   0.250  -0.0726   0.02561   0.01482   0.0080   1.0000   1.0000
   0.500  -0.0780   0.02556   0.01469   0.0116   1.0000   1.0000
   0.750  -0.0793   0.02561   0.01466   0.0147   1.0000   1.0000
   1.000  -0.0766   0.02576   0.01472   0.0172   1.0000   1.0000
   1.250  -0.0466   0.02641   0.01532   0.0146   0.9930   1.0000
   1.500  -0.0130   0.02716   0.01606   0.0115   0.9841   1.0000
   1.750   0.0162   0.02784   0.01673   0.0092   0.9752   1.0000
   2.000   0.0475   0.02867   0.01755   0.0067   0.9668   1.0000
   2.250   0.0742   0.02939   0.01829   0.0051   0.9582   1.0000
   2.500   0.0991   0.03014   0.01907   0.0039   0.9496   1.0000
   2.500   0.0991   0.03014   0.01907   0.0039   0.9496   1.0000
   2.600   0.1096   0.03046   0.01943   0.0033   0.9462   1.0000
   2.700   0.1238   0.03088   0.01987   0.0021   0.9428   1.0000
   3.000   0.1499   0.03179   0.02085   0.0014   0.9323   1.0000
   3.250   0.1758   0.03269   0.02183   0.0001   0.9235   1.0000
   3.500   0.2071   0.03370   0.02296  -0.0020   0.9139   1.0000
   3.750   0.2261   0.03450   0.02390  -0.0020   0.9033   1.0000
   4.000   0.2510   0.03543   0.02496  -0.0029   0.8916   1.0000
   4.250   0.2790   0.03638   0.02609  -0.0042   0.8784   1.0000
   4.500   0.3078   0.03734   0.02725  -0.0055   0.8640   1.0000
   4.750   0.3370   0.03831   0.02849  -0.0068   0.8490   1.0000
   5.000   0.3691   0.03928   0.02974  -0.0084   0.8330   1.0000
   5.250   0.4097   0.04023   0.03106  -0.0110   0.8159   1.0000
   5.250   0.4097   0.04023   0.03106  -0.0110   0.8159   1.0000
   5.350   0.4072   0.04061   0.03147  -0.0093   0.8090   1.0000
   5.450   0.4317   0.04089   0.03197  -0.0113   0.8003   1.0000
   5.750   0.6169   0.02714   0.01629   0.0013   0.1512   1.0000
   6.000   0.6238   0.02896   0.01794   0.0052   0.1300   1.0000
   6.250   0.6497   0.03118   0.01992   0.0062   0.1096   1.0000
   6.500   0.7005   0.03381   0.02260   0.0042   0.0981   1.0000
   6.750   0.7404   0.03687   0.02590   0.0036   0.0946   1.0000
   7.000   0.7629   0.03931   0.02878   0.0053   0.0912   1.0000
   7.250   0.7815   0.04190   0.03170   0.0072   0.0880   1.0000
   7.500   0.7973   0.04484   0.03507   0.0095   0.0886   1.0000
   7.750   0.8093   0.04818   0.03887   0.0123   0.0911   1.0000
   8.000   0.8187   0.05177   0.04281   0.0149   0.0938   1.0000
   8.250   0.8339   0.05611   0.04730   0.0164   0.0971   1.0000
   8.500   0.8181   0.05845   0.05051   0.0219   0.1034   1.0000
   8.750   0.8365   0.06421   0.05634   0.0225   0.1103   1.0000
   9.000   0.8010   0.06626   0.05905   0.0282   0.1165   1.0000
   9.250   0.7984   0.07078   0.06377   0.0299   0.1256   1.0000
   9.500   0.7631   0.07417   0.06740   0.0330   0.1289   1.0000
   9.750   0.7671   0.08180   0.07512   0.0323   0.1502   1.0000
  10.000   0.7304   0.08489   0.07823   0.0340   0.1498   1.0000
  10.250   0.6893   0.08972   0.08304   0.0319   0.1490   1.0000
  10.500   0.6433   0.09834   0.09156   0.0240   0.1545   1.0000
  10.750   0.5484   0.09447   0.08806   0.0291   0.1387   1.0000
  11.000   0.5552   0.12389   0.11670  -0.0022   0.3201   1.0000
  11.250   0.5774   0.12968   0.12257  -0.0022   0.3150   1.0000
  11.500   0.5723   0.13228   0.12512  -0.0024   0.3027   1.0000
  11.750   0.5647   0.13503   0.12781  -0.0031   0.2924   1.0000
  12.000   0.5676   0.13860   0.13135  -0.0034   0.2816   1.0000
  12.250   0.5792   0.14314   0.13589  -0.0034   0.2718   1.0000
  12.500   0.5928   0.14747   0.14024  -0.0032   0.2606   1.0000
  12.500   0.5928   0.14747   0.14023  -0.0032   0.2606   1.0000
  12.600   0.5892   0.14858   0.14131  -0.0038   0.2587   1.0000
  12.700   0.5789   0.14859   0.14126  -0.0045   0.2532   1.0000
  13.000   0.5875   0.15332   0.14598  -0.0050   0.2429   1.0000
  13.250   0.6134   0.15963   0.15234  -0.0042   0.2321   1.0000
  13.500   0.5939   0.15982   0.15243  -0.0064   0.2237   1.0000
  13.750   0.6045   0.16440   0.15700  -0.0068   0.2165   1.0000
  14.000   0.6115   0.16778   0.16038  -0.0073   0.2065   1.0000
  14.250   0.6089   0.17050   0.16305  -0.0089   0.2007   1.0000
  14.500   0.6332   0.17723   0.16982  -0.0081   0.1907   1.0000
  14.750   0.6179   0.17710   0.16960  -0.0109   0.1841   1.0000
  15.000   0.6366   0.18295   0.17546  -0.0106   0.1766   1.0000
  15.250   0.6291   0.18374   0.17625  -0.0131   0.1705   1.0000
  15.500   0.6450   0.18925   0.18178  -0.0130   0.1629   1.0000
  15.750   0.6411   0.19040   0.18288  -0.0153   0.1559   1.0000
  16.000   0.6618   0.19725   0.18976  -0.0148   0.1499   1.0000
  16.250   0.6528   0.19714   0.18957  -0.0180   0.1452   1.0000
  16.500   0.6650   0.20142   0.19388  -0.0184   0.1390   1.0000
  16.750   0.6748   0.20634   0.19877  -0.0194   0.1361   1.0000
  17.000   0.6716   0.20700   0.19938  -0.0224   0.1316   1.0000
  17.250   0.6817   0.21080   0.20320  -0.0232   0.1263   1.0000
  17.500   0.6975   0.21767   0.21007  -0.0233   0.1231   1.0000
  17.750   0.6923   0.21718   0.20952  -0.0268   0.1201   1.0000
  18.000   0.6984   0.21994   0.21227  -0.0285   0.1155   1.0000
  18.250   0.7134   0.22556   0.21793  -0.0286   0.1113   1.0000
  18.500   0.7230   0.23076   0.22311  -0.0299   0.1096   1.0000
  18.750   0.7204   0.23019   0.22248  -0.0333   0.1072   1.0000
  19.000   0.7260   0.23266   0.22493  -0.0354   0.1032   1.0000
  19.250   0.7357   0.23640   0.22868  -0.0365   0.0995   1.0000
  19.500   0.7580   0.24762   0.24001  -0.0355   0.0965   1.0000
  19.750   0.7543   0.24548   0.23781  -0.0391   0.0958   1.0000
  20.000   0.7557   0.24567   0.23796  -0.0423   0.0933   1.0000
   0.000  -0.0637   0.02571   0.01497   0.0041   1.0000   1.0000
  -0.250  -0.0527   0.02582   0.01512  -0.0000   1.0000   1.0000
  -0.500  -0.0405   0.02588   0.01521  -0.0042   1.0000   1.0000
  -0.750  -0.0279   0.02587   0.01522  -0.0084   1.0000   1.0000
  -1.000  -0.0150   0.02579   0.01514  -0.0126   1.0000   1.0000
