  
       XFOIL         Version 6.99
  
 Calculated polar for: RG-12                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0343   0.01835   0.00807  -0.0041   1.0000   1.0000
   0.250  -0.0187   0.01863   0.00826  -0.0033   1.0000   1.0000
   0.500  -0.0025   0.01898   0.00852  -0.0026   1.0000   1.0000
   0.750   0.0140   0.01940   0.00883  -0.0021   1.0000   1.0000
   1.000   0.0306   0.01987   0.00925  -0.0017   1.0000   1.0000
   1.250   0.0470   0.02042   0.00974  -0.0014   1.0000   1.0000
   1.500   0.0633   0.02103   0.01032  -0.0012   1.0000   1.0000
   1.750   0.0793   0.02172   0.01098  -0.0011   1.0000   1.0000
   2.000   0.1318   0.02308   0.01237  -0.0079   0.9839   1.0000
   2.250   0.1894   0.02425   0.01360  -0.0151   0.9609   1.0000
   2.500   0.2454   0.02522   0.01468  -0.0216   0.9377   1.0000
   2.750   0.3060   0.02599   0.01559  -0.0284   0.9146   1.0000
   3.000   0.3559   0.02648   0.01624  -0.0328   0.8894   1.0000
   3.250   0.4066   0.02678   0.01677  -0.0369   0.8638   1.0000
   3.500   0.4619   0.02680   0.01702  -0.0411   0.8381   1.0000
   3.750   0.5216   0.02640   0.01696  -0.0452   0.8122   1.0000
   4.000   0.5742   0.02584   0.01667  -0.0473   0.7849   1.0000
   4.250   0.6184   0.02527   0.01634  -0.0478   0.7548   1.0000
   4.500   0.6582   0.02469   0.01600  -0.0472   0.7224   1.0000
   4.750   0.6955   0.02409   0.01554  -0.0459   0.6877   1.0000
   5.000   0.7237   0.02388   0.01542  -0.0436   0.6489   1.0000
   5.250   0.7494   0.02382   0.01538  -0.0410   0.6072   1.0000
   5.500   0.7740   0.02385   0.01540  -0.0383   0.5624   1.0000
   5.750   0.7940   0.02419   0.01567  -0.0354   0.5133   1.0000
   6.000   0.8144   0.02461   0.01588  -0.0325   0.4615   1.0000
   6.250   0.8319   0.02533   0.01638  -0.0295   0.4066   1.0000
   6.500   0.8478   0.02633   0.01712  -0.0266   0.3505   1.0000
   6.750   0.8630   0.02767   0.01826  -0.0240   0.2965   1.0000
   7.000   0.8785   0.02928   0.01960  -0.0215   0.2476   1.0000
   7.250   0.8948   0.03114   0.02126  -0.0194   0.2060   1.0000
   7.500   0.9131   0.03340   0.02347  -0.0176   0.1734   1.0000
   7.750   0.9322   0.03599   0.02610  -0.0161   0.1494   1.0000
   8.000   0.9505   0.03852   0.02871  -0.0146   0.1307   1.0000
   8.250   0.9672   0.04194   0.03252  -0.0129   0.1203   1.0000
   8.500   0.9835   0.04548   0.03626  -0.0115   0.1120   1.0000
   8.750   0.9911   0.04881   0.04014  -0.0093   0.1055   1.0000
   9.000   1.0069   0.05290   0.04430  -0.0084   0.1005   1.0000
   9.250   1.0066   0.05734   0.04932  -0.0060   0.0998   1.0000
   9.500   1.0029   0.06195   0.05440  -0.0039   0.0997   1.0000
   9.750   0.9947   0.06659   0.05940  -0.0021   0.0997   1.0000
  10.000   0.9824   0.07130   0.06441  -0.0006   0.0999   1.0000
  10.250   0.9712   0.07615   0.06944   0.0004   0.1004   1.0000
  10.500   0.9578   0.08089   0.07435   0.0012   0.1008   1.0000
  10.500   0.9578   0.08089   0.07435   0.0012   0.1008   1.0000
  11.000   0.6808   0.10674   0.10055  -0.0172   0.1495   1.0000
  11.250   0.6751   0.11309   0.10688  -0.0192   0.1526   1.0000
  11.000   0.6808   0.10674   0.10054  -0.0172   0.1495   1.0000
  11.100   0.6773   0.10943   0.10323  -0.0182   0.1510   1.0000
  11.200   0.6753   0.11192   0.10571  -0.0190   0.1521   1.0000
  11.500   0.7958   0.12367   0.11709  -0.0276   0.1551   1.0000
  11.750   0.7379   0.14171   0.13482  -0.0470   0.2678   1.0000
  12.000   0.7463   0.14722   0.14035  -0.0479   0.2643   1.0000
  12.250   0.7369   0.15002   0.14310  -0.0499   0.2563   1.0000
  12.500   0.7481   0.15527   0.14841  -0.0504   0.2496   1.0000
  12.750   0.7644   0.16054   0.15373  -0.0501   0.2369   1.0000
  13.000   0.7480   0.16208   0.15519  -0.0531   0.2304   1.0000
  13.250   0.7684   0.16841   0.16157  -0.0529   0.2227   1.0000
  13.500   0.7573   0.17000   0.16310  -0.0556   0.2159   1.0000
  13.750   0.7830   0.17752   0.17068  -0.0549   0.2092   1.0000
  14.000   0.7676   0.17797   0.17106  -0.0584   0.2042   1.0000
  14.250   0.7906   0.18501   0.17814  -0.0578   0.1952   1.0000
  14.500   0.7787   0.18552   0.17859  -0.0612   0.1898   1.0000
  14.750   0.8011   0.19256   0.18568  -0.0605   0.1814   1.0000
  15.000   0.7911   0.19296   0.18601  -0.0641   0.1763   1.0000
  15.250   0.8063   0.19812   0.19122  -0.0643   0.1697   1.0000
  15.500   0.8108   0.20218   0.19524  -0.0663   0.1668   1.0000
  15.750   0.8105   0.20402   0.19705  -0.0691   0.1610   1.0000
  16.000   0.8409   0.21438   0.20754  -0.0674   0.1545   1.0000
  16.250   0.8291   0.21284   0.20587  -0.0717   0.1528   1.0000
  16.500   0.8313   0.21485   0.20791  -0.0743   0.1468   1.0000
  16.750   0.8549   0.22377   0.21688  -0.0732   0.1406   1.0000
  17.000   0.8475   0.22263   0.21567  -0.0776   0.1381   1.0000
  17.250   0.8539   0.22545   0.21849  -0.0796   0.1319   1.0000
  17.500   0.8801   0.23634   0.22945  -0.0780   0.1273   1.0000
  17.750   0.8725   0.23422   0.22725  -0.0825   0.1259   1.0000
  18.000   0.8753   0.23586   0.22887  -0.0856   0.1217   1.0000
  18.250   0.8850   0.23962   0.23265  -0.0870   0.1174   1.0000
  18.500   0.9089   0.25109   0.24418  -0.0857   0.1139   1.0000
  18.750   0.9041   0.24879   0.24182  -0.0901   0.1130   1.0000
  19.000   0.9065   0.24971   0.24270  -0.0935   0.1098   1.0000
  19.250   0.9143   0.25280   0.24580  -0.0956   0.1060   1.0000
  19.500   0.9265   0.25775   0.25078  -0.0964   0.1025   1.0000
  19.750   0.9414   0.26616   0.25921  -0.0968   0.1005   1.0000
  20.000   0.9399   0.26420   0.25719  -0.1011   0.0990   1.0000
   0.000  -0.0343   0.01835   0.00807  -0.0041   1.0000   1.0000
  -0.250  -0.0488   0.01812   0.00797  -0.0052   1.0000   1.0000
  -0.500  -0.0613   0.01797   0.00793  -0.0068   1.0000   1.0000
  -0.750  -0.0705   0.01789   0.00801  -0.0089   1.0000   1.0000
  -1.000  -0.0753   0.01789   0.00813  -0.0117   1.0000   1.0000
  -1.250  -0.0771   0.01796   0.00829  -0.0152   1.0000   1.0000
  -1.500  -0.0779   0.01807   0.00849  -0.0188   1.0000   1.0000
  -1.750  -0.0789   0.01822   0.00872  -0.0224   1.0000   1.0000
