  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL PROFILE12A 9.00%                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0090   0.01841   0.00819  -0.0092   1.0000   1.0000
   0.250   0.0085   0.01878   0.00844  -0.0087   1.0000   1.0000
   0.500   0.0261   0.01921   0.00877  -0.0083   1.0000   1.0000
   0.750   0.0435   0.01970   0.00916  -0.0081   1.0000   1.0000
   1.000   0.0607   0.02025   0.00965  -0.0079   1.0000   1.0000
   1.250   0.0777   0.02088   0.01022  -0.0078   1.0000   1.0000
   1.500   0.0944   0.02157   0.01088  -0.0078   1.0000   1.0000
   1.750   0.1322   0.02268   0.01197  -0.0119   0.9898   1.0000
   2.000   0.1924   0.02402   0.01333  -0.0197   0.9687   1.0000
   2.250   0.2473   0.02501   0.01438  -0.0261   0.9462   1.0000
   2.500   0.2989   0.02579   0.01526  -0.0315   0.9231   1.0000
   2.750   0.3567   0.02639   0.01600  -0.0375   0.9009   1.0000
   3.000   0.4048   0.02678   0.01654  -0.0414   0.8764   1.0000
   3.250   0.4535   0.02699   0.01697  -0.0449   0.8518   1.0000
   3.500   0.5120   0.02680   0.01702  -0.0493   0.8282   1.0000
   3.750   0.5700   0.02629   0.01683  -0.0528   0.8039   1.0000
   4.000   0.6153   0.02587   0.01665  -0.0540   0.7769   1.0000
   4.250   0.6596   0.02531   0.01631  -0.0545   0.7485   1.0000
   4.500   0.7017   0.02468   0.01592  -0.0542   0.7181   1.0000
   4.750   0.7300   0.02461   0.01599  -0.0523   0.6835   1.0000
   5.000   0.7632   0.02428   0.01574  -0.0506   0.6477   1.0000
   5.250   0.7877   0.02439   0.01591  -0.0482   0.6081   1.0000
   5.500   0.8120   0.02453   0.01610  -0.0457   0.5662   1.0000
   5.750   0.8350   0.02475   0.01625  -0.0430   0.5215   1.0000
   6.000   0.8551   0.02517   0.01658  -0.0402   0.4733   1.0000
   6.250   0.8741   0.02571   0.01693  -0.0374   0.4216   1.0000
   6.500   0.8901   0.02654   0.01756  -0.0344   0.3665   1.0000
   6.750   0.9048   0.02769   0.01846  -0.0315   0.3100   1.0000
   7.000   0.9179   0.02918   0.01965  -0.0286   0.2547   1.0000
   7.250   0.9299   0.03096   0.02114  -0.0258   0.2041   1.0000
   7.500   0.9450   0.03319   0.02313  -0.0237   0.1645   1.0000
   7.750   0.9635   0.03571   0.02558  -0.0222   0.1379   1.0000
   8.000   0.9853   0.03888   0.02897  -0.0210   0.1233   1.0000
   8.250   1.0075   0.04225   0.03241  -0.0201   0.1136   1.0000
   8.500   1.0192   0.04536   0.03615  -0.0180   0.1066   1.0000
   8.750   1.0374   0.04907   0.03995  -0.0172   0.1008   1.0000
   9.000   1.0423   0.05321   0.04474  -0.0148   0.0997   1.0000
   9.250   1.0436   0.05767   0.04972  -0.0127   0.0993   1.0000
   9.500   1.0419   0.06230   0.05477  -0.0108   0.0996   1.0000
   9.750   1.0367   0.06713   0.05994  -0.0091   0.1001   1.0000
  10.000   1.0301   0.07210   0.06517  -0.0078   0.1007   1.0000
  10.250   0.9838   0.07643   0.06997  -0.0056   0.1038   1.0000
  10.500   0.9355   0.08272   0.07643  -0.0069   0.1072   1.0000
  10.750   0.9030   0.09032   0.08401  -0.0113   0.1101   1.0000
  11.000   0.8864   0.09784   0.09151  -0.0154   0.1126   1.0000
  11.250   0.8885   0.10376   0.09743  -0.0165   0.1142   1.0000
  11.500   0.8365   0.12025   0.11376  -0.0311   0.1292   1.0000
  11.500   0.8103   0.12614   0.11950  -0.0375   0.1480   1.0000
  11.600   0.8116   0.12953   0.12291  -0.0389   0.1572   1.0000
  11.700   0.8199   0.13114   0.12455  -0.0381   0.1557   1.0000
  12.000   0.7653   0.14870   0.14183  -0.0564   0.2598   1.0000
  12.250   0.7913   0.15520   0.14846  -0.0555   0.2513   1.0000
  12.500   0.7721   0.15715   0.15033  -0.0588   0.2462   1.0000
  12.750   0.7901   0.16270   0.15593  -0.0585   0.2366   1.0000
  13.000   0.7818   0.16503   0.15822  -0.0608   0.2286   1.0000
  13.250   0.8044   0.17188   0.16512  -0.0606   0.2232   1.0000
  13.500   0.7895   0.17303   0.16620  -0.0638   0.2172   1.0000
  13.750   0.8125   0.17965   0.17291  -0.0634   0.2104   1.0000
  14.000   0.8024   0.18148   0.17466  -0.0665   0.2066   1.0000
  14.250   0.8090   0.18513   0.17832  -0.0678   0.1993   1.0000
  14.500   0.8199   0.19041   0.18360  -0.0687   0.1946   1.0000
  14.750   0.8186   0.19243   0.18561  -0.0711   0.1870   1.0000
  15.000   0.8328   0.19811   0.19131  -0.0715   0.1810   1.0000
  15.250   0.8308   0.19975   0.19292  -0.0743   0.1739   1.0000
  15.500   0.8567   0.20855   0.20179  -0.0733   0.1682   1.0000
  15.750   0.8450   0.20767   0.20082  -0.0776   0.1649   1.0000
  16.000   0.8524   0.21111   0.20427  -0.0792   0.1586   1.0000
  16.250   0.8739   0.21957   0.21283  -0.0787   0.1545   1.0000
  16.500   0.8658   0.21871   0.21190  -0.0830   0.1515   1.0000
  16.750   0.8729   0.22193   0.21512  -0.0848   0.1455   1.0000
  17.000   0.8916   0.22977   0.22301  -0.0845   0.1408   1.0000
  17.250   0.8872   0.22927   0.22244  -0.0887   0.1376   1.0000
  17.500   0.8964   0.23283   0.22602  -0.0901   0.1308   1.0000
  17.750   0.9136   0.24083   0.23406  -0.0900   0.1273   1.0000
  18.000   0.9101   0.23996   0.23313  -0.0943   0.1247   1.0000
  18.250   0.9167   0.24281   0.23598  -0.0966   0.1200   1.0000
  18.500   0.9300   0.24807   0.24128  -0.0972   0.1160   1.0000
  18.750   0.9426   0.25499   0.24821  -0.0981   0.1140   1.0000
