  
       XFOIL         Version 6.99
  
 Calculated polar for: RG-15 8.9%                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0034   0.01819   0.00806  -0.0164   1.0000   1.0000
   0.250   0.0228   0.01856   0.00830  -0.0161   1.0000   1.0000
   0.500   0.0419   0.01899   0.00862  -0.0159   1.0000   1.0000
   0.750   0.0606   0.01948   0.00900  -0.0158   1.0000   1.0000
   1.000   0.0790   0.02003   0.00948  -0.0157   1.0000   1.0000
   1.250   0.0969   0.02064   0.01004  -0.0157   1.0000   1.0000
   1.500   0.1145   0.02133   0.01068  -0.0157   1.0000   1.0000
   1.750   0.1316   0.02208   0.01140  -0.0158   1.0000   1.0000
   2.000   0.1889   0.02352   0.01284  -0.0233   0.9807   1.0000
   2.250   0.2467   0.02470   0.01408  -0.0305   0.9585   1.0000
   2.500   0.2992   0.02561   0.01508  -0.0362   0.9355   1.0000
   2.750   0.3550   0.02635   0.01594  -0.0421   0.9126   1.0000
   3.000   0.4088   0.02685   0.01659  -0.0471   0.8887   1.0000
   3.250   0.4566   0.02717   0.01712  -0.0506   0.8636   1.0000
   3.500   0.5089   0.02722   0.01738  -0.0543   0.8386   1.0000
   3.750   0.5686   0.02681   0.01729  -0.0583   0.8141   1.0000
   4.000   0.6247   0.02609   0.01685  -0.0608   0.7887   1.0000
   4.250   0.6686   0.02550   0.01649  -0.0612   0.7601   1.0000
   4.500   0.7034   0.02513   0.01635  -0.0601   0.7281   1.0000
   4.750   0.7391   0.02461   0.01599  -0.0588   0.6941   1.0000
   5.000   0.7702   0.02428   0.01576  -0.0567   0.6571   1.0000
   5.250   0.7988   0.02407   0.01558  -0.0544   0.6171   1.0000
   5.500   0.8231   0.02414   0.01569  -0.0517   0.5731   1.0000
   5.750   0.8456   0.02437   0.01584  -0.0490   0.5254   1.0000
   6.000   0.8664   0.02480   0.01612  -0.0462   0.4744   1.0000
   6.250   0.8856   0.02547   0.01655  -0.0434   0.4206   1.0000
   6.500   0.9031   0.02644   0.01724  -0.0406   0.3654   1.0000
   6.750   0.9193   0.02773   0.01836  -0.0381   0.3117   1.0000
   7.000   0.9357   0.02931   0.01971  -0.0358   0.2637   1.0000
   7.250   0.9537   0.03117   0.02137  -0.0339   0.2231   1.0000
   7.500   0.9730   0.03343   0.02363  -0.0322   0.1907   1.0000
   7.750   0.9911   0.03571   0.02590  -0.0305   0.1634   1.0000
   8.000   1.0127   0.03867   0.02877  -0.0294   0.1430   1.0000
   8.250   1.0274   0.04162   0.03210  -0.0274   0.1270   1.0000
   8.500   1.0428   0.04497   0.03568  -0.0258   0.1147   1.0000
   8.750   1.0576   0.04825   0.03923  -0.0242   0.1046   1.0000
   9.000   1.0618   0.05267   0.04426  -0.0218   0.1014   1.0000
   9.250   1.0596   0.05696   0.04916  -0.0193   0.0985   1.0000
   9.500   1.0570   0.06102   0.05363  -0.0173   0.0953   1.0000
