  
       XFOIL         Version 6.99
  
 Calculated polar for: S1010 HPV airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.01455   0.00391   0.0000   1.0000   1.0000
   0.250   0.0178   0.01456   0.00393   0.0017   1.0000   1.0000
   0.500   0.0358   0.01459   0.00398   0.0034   1.0000   1.0000
   0.750   0.0540   0.01464   0.00408   0.0050   1.0000   1.0000
   1.000   0.0724   0.01471   0.00421   0.0065   1.0000   1.0000
   1.250   0.0911   0.01481   0.00439   0.0080   1.0000   1.0000
   1.500   0.1099   0.01493   0.00460   0.0094   1.0000   1.0000
   1.750   0.1289   0.01507   0.00487   0.0108   1.0000   1.0000
   2.000   0.1480   0.01524   0.00522   0.0120   1.0000   1.0000
   2.250   0.1670   0.01545   0.00560   0.0132   1.0000   1.0000
   2.500   0.1860   0.01570   0.00605   0.0143   1.0000   1.0000
   2.750   0.2045   0.01600   0.00661   0.0153   1.0000   1.0000
   3.000   0.2220   0.01641   0.00732   0.0161   1.0000   1.0000
   3.250   0.3802   0.01860   0.00809   0.0007   0.4242   1.0000
   3.500   0.4044   0.02011   0.00924   0.0019   0.3570   1.0000
   3.750   0.4304   0.02157   0.01050   0.0028   0.3111   1.0000
   4.000   0.4562   0.02304   0.01201   0.0037   0.2766   1.0000
   4.250   0.4810   0.02463   0.01363   0.0046   0.2482   1.0000
   4.500   0.5057   0.02647   0.01548   0.0055   0.2260   1.0000
   4.750   0.5295   0.02830   0.01761   0.0065   0.2033   1.0000
   5.000   0.5530   0.03053   0.01997   0.0075   0.1856   1.0000
   5.250   0.5753   0.03300   0.02284   0.0085   0.1688   1.0000
   5.500   0.5971   0.03583   0.02592   0.0095   0.1566   1.0000
   5.750   0.6173   0.03852   0.02896   0.0104   0.1440   1.0000
   6.000   0.6353   0.04291   0.03402   0.0111   0.1420   1.0000
   6.250   0.6514   0.04763   0.03928   0.0114   0.1421   1.0000
   6.500   0.6641   0.05257   0.04473   0.0111   0.1415   1.0000
   6.750   0.6754   0.05763   0.05012   0.0106   0.1421   1.0000
   7.000   0.6872   0.06478   0.05755   0.0091   0.1573   1.0000
   7.250   0.6172   0.08391   0.07721  -0.0292   0.3749   1.0000
   7.500   0.6296   0.08793   0.08124  -0.0279   0.3552   1.0000
   7.750   0.6327   0.09162   0.08488  -0.0271   0.3370   1.0000
   8.000   0.6488   0.09582   0.08910  -0.0248   0.3104   1.0000
   8.250   0.6396   0.09847   0.09166  -0.0253   0.2945   1.0000
   8.500   0.6414   0.10200   0.09513  -0.0253   0.2802   1.0000
   8.750   0.6525   0.10651   0.09965  -0.0247   0.2679   1.0000
   8.750   0.6525   0.10651   0.09965  -0.0247   0.2679   1.0000
   8.850   0.6404   0.10677   0.09984  -0.0261   0.2638   1.0000
   8.950   0.6465   0.10849   0.10158  -0.0257   0.2578   1.0000
   9.250   0.6446   0.11265   0.10567  -0.0269   0.2464   1.0000
   9.500   0.6510   0.11700   0.11000  -0.0271   0.2382   1.0000
   9.750   0.6676   0.12229   0.11531  -0.0261   0.2264   1.0000
  10.000   0.6530   0.12395   0.11687  -0.0289   0.2185   1.0000
  10.250   0.6584   0.12809   0.12099  -0.0294   0.2096   1.0000
  10.500   0.6741   0.13346   0.12638  -0.0285   0.1983   1.0000
  10.750   0.6624   0.13516   0.12800  -0.0314   0.1921   1.0000
  11.000   0.6832   0.14170   0.13463  -0.0301   0.1845   1.0000
  11.250   0.6697   0.14296   0.13574  -0.0335   0.1799   1.0000
  11.500   0.6861   0.14829   0.14118  -0.0329   0.1723   1.0000
  11.750   0.6846   0.15172   0.14455  -0.0350   0.1695   1.0000
  12.000   0.6820   0.15419   0.14698  -0.0371   0.1633   1.0000
  12.250   0.7046   0.16164   0.15447  -0.0358   0.1569   1.0000
  12.500   0.6932   0.16226   0.15500  -0.0394   0.1541   1.0000
  12.750   0.6989   0.16571   0.15846  -0.0405   0.1469   1.0000
  13.000   0.7106   0.17135   0.16408  -0.0409   0.1424   1.0000
  13.250   0.7065   0.17278   0.16547  -0.0437   0.1381   1.0000
  13.500   0.7178   0.17737   0.17008  -0.0441   0.1318   1.0000
  13.750   0.7324   0.18414   0.17686  -0.0443   0.1292   1.0000
  14.000   0.7259   0.18436   0.17702  -0.0478   0.1269   1.0000
  14.250   0.7299   0.18714   0.17978  -0.0498   0.1225   1.0000
  14.500   0.7412   0.19176   0.18442  -0.0503   0.1182   1.0000
  14.750   0.7587   0.19989   0.19256  -0.0502   0.1157   1.0000
  15.000   0.7535   0.19937   0.19198  -0.0538   0.1142   1.0000
  15.250   0.7566   0.20140   0.19399  -0.0563   0.1109   1.0000
  15.500   0.7643   0.20491   0.19750  -0.0578   0.1070   1.0000
  15.750   0.7935   0.21805   0.21076  -0.0556   0.1024   1.0000
  16.000   0.7880   0.21637   0.20902  -0.0593   0.1019   1.0000
  16.250   0.7874   0.21615   0.20876  -0.0628   0.1001   1.0000
  16.500   0.7930   0.21853   0.21112  -0.0651   0.0962   1.0000
  16.750   0.8021   0.22225   0.21485  -0.0664   0.0925   1.0000
  17.000   0.8268   0.23548   0.22814  -0.0647   0.0890   1.0000
  17.250   0.8244   0.23367   0.22628  -0.0683   0.0885   1.0000
  17.500   0.8264   0.23368   0.22626  -0.0716   0.0875   1.0000
  17.750   0.8320   0.23557   0.22813  -0.0743   0.0851   1.0000
  18.000   0.8397   0.23863   0.23119  -0.0763   0.0823   1.0000
  18.250   0.8486   0.24213   0.23470  -0.0780   0.0799   1.0000
  18.500   0.8592   0.24694   0.23953  -0.0790   0.0776   1.0000
  18.750   0.8784   0.25973   0.25235  -0.0782   0.0758   1.0000
  19.000   0.8795   0.25813   0.25071  -0.0816   0.0755   1.0000
  19.250   0.8828   0.25748   0.25003  -0.0851   0.0747   1.0000
  19.500   0.8888   0.25887   0.25147  -0.0880   0.0730   1.0000
  19.750   0.8965   0.26155   0.25415  -0.0903   0.0710   1.0000
  20.000   0.9046   0.26461   0.25721  -0.0924   0.0690   1.0000
   0.000  -0.0000   0.01455   0.00391   0.0000   1.0000   1.0000
  -0.250  -0.0178   0.01456   0.00393  -0.0017   1.0000   1.0000
  -0.500  -0.0358   0.01459   0.00398  -0.0034   1.0000   1.0000
  -0.750  -0.0540   0.01464   0.00408  -0.0050   1.0000   1.0000
  -1.000  -0.0724   0.01471   0.00421  -0.0065   1.0000   1.0000
  -1.250  -0.0911   0.01481   0.00439  -0.0080   1.0000   1.0000
  -1.500  -0.1099   0.01493   0.00460  -0.0094   1.0000   1.0000
  -1.750  -0.1289   0.01507   0.00487  -0.0108   1.0000   1.0000
  -2.000  -0.1480   0.01524   0.00521  -0.0120   1.0000   1.0000
  -2.250  -0.1671   0.01545   0.00559  -0.0132   1.0000   1.0000
  -2.500  -0.1860   0.01570   0.00605  -0.0143   1.0000   1.0000
  -2.750  -0.2046   0.01600   0.00660  -0.0153   1.0000   1.0000
  -3.000  -0.2220   0.01641   0.00733  -0.0161   1.0000   1.0000
  -3.250  -0.3801   0.01860   0.00809  -0.0008   1.0000   0.4244
  -3.500  -0.4044   0.02011   0.00924  -0.0020   1.0000   0.3572
  -3.750  -0.4303   0.02157   0.01050  -0.0028   1.0000   0.3112
  -4.000  -0.4561   0.02304   0.01201  -0.0037   1.0000   0.2768
  -4.250  -0.4809   0.02462   0.01362  -0.0046   1.0000   0.2483
  -4.500  -0.5056   0.02646   0.01548  -0.0055   1.0000   0.2260
  -4.750  -0.5295   0.02830   0.01761  -0.0065   1.0000   0.2034
  -5.000  -0.5530   0.03053   0.01996  -0.0075   1.0000   0.1856
  -5.250  -0.5752   0.03300   0.02284  -0.0085   1.0000   0.1688
  -5.500  -0.5971   0.03583   0.02590  -0.0095   1.0000   0.1568
  -5.750  -0.6173   0.03854   0.02896  -0.0104   1.0000   0.1439
  -6.000  -0.6353   0.04292   0.03403  -0.0111   1.0000   0.1420
  -6.250  -0.6515   0.04765   0.03930  -0.0114   1.0000   0.1421
  -6.500  -0.6645   0.05256   0.04471  -0.0111   1.0000   0.1417
  -6.750  -0.6753   0.05768   0.05019  -0.0105   1.0000   0.1420
  -6.750  -0.6706   0.05943   0.05222  -0.0086   1.0000   0.1513
  -6.850  -0.6742   0.06170   0.05458  -0.0081   1.0000   0.1536
  -6.950  -0.6806   0.06377   0.05664  -0.0083   1.0000   0.1560
  -7.250  -0.6170   0.08393   0.07723   0.0291   1.0000   0.3742
  -7.500  -0.6293   0.08790   0.08120   0.0279   1.0000   0.3552
  -7.750  -0.6324   0.09162   0.08488   0.0271   1.0000   0.3370
  -8.000  -0.6490   0.09585   0.08913   0.0248   1.0000   0.3104
  -8.250  -0.6389   0.09846   0.09164   0.0253   1.0000   0.2944
  -8.500  -0.6419   0.10208   0.09522   0.0253   1.0000   0.2804
  -8.750  -0.6511   0.10646   0.09960   0.0248   1.0000   0.2678
  -8.750  -0.6511   0.10646   0.09960   0.0248   1.0000   0.2678
  -8.850  -0.6402   0.10679   0.09986   0.0261   1.0000   0.2638
  -8.950  -0.6456   0.10847   0.10155   0.0257   1.0000   0.2580
  -9.250  -0.6441   0.11266   0.10568   0.0269   1.0000   0.2466
  -9.500  -0.6504   0.11699   0.10999   0.0272   1.0000   0.2381
  -9.750  -0.6657   0.12213   0.11515   0.0263   1.0000   0.2263
 -10.000  -0.6526   0.12395   0.11687   0.0289   1.0000   0.2186
 -10.250  -0.6578   0.12808   0.12097   0.0293   1.0000   0.2096
 -10.500  -0.6726   0.13335   0.12627   0.0285   1.0000   0.1982
 -10.750  -0.6619   0.13522   0.12806   0.0313   1.0000   0.1913
 -11.000  -0.6830   0.14174   0.13467   0.0301   1.0000   0.1846
 -11.250  -0.6694   0.14295   0.13574   0.0335   1.0000   0.1801
 -11.500  -0.6869   0.14857   0.14146   0.0327   1.0000   0.1721
 -11.750  -0.6834   0.15166   0.14448   0.0350   1.0000   0.1694
 -12.000  -0.6815   0.15420   0.14698   0.0370   1.0000   0.1631
 -12.250  -0.7035   0.16153   0.15436   0.0358   1.0000   0.1569
