  
       XFOIL         Version 6.99
  
 Calculated polar for: Ornithopter airfoil.                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1678   0.04226   0.03507  -0.0343   1.0000   0.8654
   0.250  -0.1552   0.04194   0.03483  -0.0325   1.0000   0.9377
   0.500  -0.1326   0.04159   0.03431  -0.0357   1.0000   1.0000
   0.750  -0.0954   0.04291   0.03525  -0.0417   1.0000   1.0000
   1.000  -0.0535   0.04486   0.03678  -0.0482   0.9966   1.0000
   1.250  -0.0147   0.04692   0.03847  -0.0535   0.9920   1.0000
   1.500   0.0257   0.04936   0.04053  -0.0587   0.9856   1.0000
   1.750   0.0530   0.05085   0.04178  -0.0614   0.9794   1.0000
   2.000   0.0913   0.05362   0.04424  -0.0657   0.9733   1.0000
   2.250   0.1133   0.05469   0.04514  -0.0672   0.9650   1.0000
   2.500   0.1404   0.05665   0.04691  -0.0695   0.9588   1.0000
   2.750   0.1725   0.05887   0.04894  -0.0725   0.9498   1.0000
   3.000   0.1914   0.06008   0.05003  -0.0734   0.9409   1.0000
   3.250   0.2202   0.06240   0.05220  -0.0758   0.9341   1.0000
   3.500   0.2471   0.06426   0.05394  -0.0778   0.9233   1.0000
   3.750   0.2634   0.06552   0.05513  -0.0782   0.9139   1.0000
   4.000   0.2942   0.06820   0.05770  -0.0808   0.9066   1.0000
   4.250   0.3150   0.06969   0.05913  -0.0818   0.8949   1.0000
   4.500   0.3304   0.07115   0.06054  -0.0820   0.8853   1.0000
   4.750   0.3635   0.07416   0.06347  -0.0850   0.8773   1.0000
   5.000   0.3794   0.07541   0.06471  -0.0852   0.8651   1.0000
   5.250   0.3932   0.07699   0.06627  -0.0852   0.8553   1.0000
   5.500   0.4260   0.08011   0.06935  -0.0880   0.8469   1.0000
   5.750   0.4407   0.08147   0.07071  -0.0881   0.8344   1.0000
   6.000   0.4518   0.08309   0.07234  -0.0879   0.8244   1.0000
