  
       XFOIL         Version 6.99
  
 Calculated polar for: S1048 14% (Danny Howell)                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0004   0.03057   0.02143   0.0001   0.9146   0.9146
   0.250   0.1157   0.03028   0.02116  -0.0164   0.8989   0.9304
   0.500   0.2164   0.02956   0.02051  -0.0300   0.8819   0.9465
   0.750   0.3017   0.02870   0.01971  -0.0407   0.8631   0.9626
   1.000   0.3658   0.02806   0.01914  -0.0481   0.8410   0.9793
   1.250   0.4315   0.02716   0.01831  -0.0554   0.8199   0.9957
   1.500   0.4560   0.02714   0.01833  -0.0561   0.7993   1.0000
   1.750   0.4676   0.02739   0.01860  -0.0544   0.7802   1.0000
   2.000   0.4793   0.02763   0.01886  -0.0525   0.7624   1.0000
   2.250   0.4907   0.02790   0.01914  -0.0505   0.7454   1.0000
   2.500   0.5017   0.02820   0.01948  -0.0484   0.7291   1.0000
   2.750   0.5122   0.02854   0.01983  -0.0462   0.7131   1.0000
   3.000   0.5219   0.02894   0.02026  -0.0438   0.6975   1.0000
   3.250   0.5309   0.02941   0.02076  -0.0413   0.6822   1.0000
   3.500   0.5393   0.02992   0.02130  -0.0387   0.6670   1.0000
   3.750   0.5470   0.03049   0.02192  -0.0359   0.6520   1.0000
   4.000   0.5545   0.03111   0.02257  -0.0330   0.6372   1.0000
   4.250   0.5626   0.03177   0.02327  -0.0302   0.6224   1.0000
   4.500   0.5718   0.03246   0.02399  -0.0274   0.6077   1.0000
   4.750   0.5833   0.03313   0.02468  -0.0248   0.5927   1.0000
   5.000   0.5963   0.03381   0.02542  -0.0223   0.5776   1.0000
   5.250   0.6115   0.03441   0.02606  -0.0200   0.5622   1.0000
   5.500   0.6282   0.03498   0.02667  -0.0177   0.5467   1.0000
   5.750   0.6468   0.03544   0.02719  -0.0155   0.5309   1.0000
   6.000   0.6679   0.03574   0.02754  -0.0134   0.5149   1.0000
   6.250   0.6875   0.03618   0.02806  -0.0113   0.4982   1.0000
   6.500   0.6988   0.03732   0.02931  -0.0091   0.4801   1.0000
   6.750   0.7148   0.03808   0.03018  -0.0070   0.4619   1.0000
   7.000   0.7383   0.03817   0.03034  -0.0049   0.4432   1.0000
   7.250   0.7739   0.03716   0.02930  -0.0030   0.4235   1.0000
   7.500   0.7820   0.03857   0.03090  -0.0006   0.4030   1.0000
   7.750   0.8176   0.03734   0.02959   0.0014   0.3794   1.0000
   8.000   0.8300   0.03818   0.03057   0.0038   0.3559   1.0000
   8.250   0.8549   0.03776   0.03010   0.0061   0.3291   1.0000
   8.500   0.8773   0.03749   0.02976   0.0084   0.2999   1.0000
   8.750   0.8951   0.03748   0.02964   0.0110   0.2687   1.0000
   9.000   0.9104   0.03765   0.02962   0.0136   0.2362   1.0000
   9.250   0.9229   0.03837   0.03009   0.0162   0.2054   1.0000
   9.500   0.9301   0.04007   0.03172   0.0188   0.1805   1.0000
   9.750   0.9434   0.04182   0.03319   0.0207   0.1583   1.0000
  10.000   0.9499   0.04428   0.03578   0.0228   0.1433   1.0000
  10.250   0.9613   0.04686   0.03833   0.0244   0.1309   1.0000
  10.500   0.9555   0.05013   0.04206   0.0269   0.1249   1.0000
  10.750   0.9652   0.05291   0.04481   0.0282   0.1166   1.0000
  11.000   0.9500   0.05654   0.04885   0.0305   0.1144   1.0000
  11.250   0.9302   0.06020   0.05278   0.0327   0.1132   1.0000
  11.500   0.9054   0.06449   0.05729   0.0337   0.1133   1.0000
  11.750   0.8754   0.06987   0.06285   0.0328   0.1145   1.0000
  12.000   0.8446   0.07638   0.06950   0.0301   0.1160   1.0000
  12.250   0.8164   0.08385   0.07703   0.0265   0.1174   1.0000
  12.250   0.8064   0.08521   0.07841   0.0251   0.1194   1.0000
  12.350   0.8026   0.08757   0.08077   0.0243   0.1188   1.0000
  12.450   0.7956   0.09041   0.08361   0.0231   0.1183   1.0000
  13.000   0.6275   0.14072   0.13342  -0.0111   0.1869   1.0000
  13.000   0.6362   0.13818   0.13092  -0.0091   0.1748   1.0000
  13.100   0.6400   0.14021   0.13297  -0.0094   0.1743   1.0000
  13.200   0.6428   0.14243   0.13519  -0.0098   0.1740   1.0000
  13.500   0.5964   0.15851   0.15112  -0.0231   0.2592   1.0000
  13.750   0.5920   0.16079   0.15338  -0.0246   0.2499   1.0000
  14.000   0.6019   0.16550   0.15809  -0.0254   0.2439   1.0000
  14.250   0.6010   0.16819   0.16077  -0.0270   0.2366   1.0000
  14.500   0.6187   0.17397   0.16658  -0.0273   0.2303   1.0000
  14.750   0.6128   0.17551   0.16808  -0.0294   0.2222   1.0000
  15.000   0.6350   0.18211   0.17472  -0.0292   0.2162   1.0000
  15.250   0.6245   0.18283   0.17537  -0.0321   0.2109   1.0000
  15.500   0.6436   0.18820   0.18082  -0.0321   0.2034   1.0000
  15.750   0.6423   0.19087   0.18344  -0.0343   0.2001   1.0000
  16.000   0.6474   0.19353   0.18609  -0.0358   0.1918   1.0000
  16.250   0.6668   0.20024   0.19282  -0.0359   0.1875   1.0000
  16.500   0.6592   0.20042   0.19293  -0.0392   0.1829   1.0000
  16.750   0.6698   0.20419   0.19672  -0.0402   0.1769   1.0000
  17.000   0.6884   0.21112   0.20366  -0.0404   0.1733   1.0000
  17.250   0.6813   0.21074   0.20322  -0.0438   0.1691   1.0000
  17.500   0.6932   0.21454   0.20704  -0.0447   0.1622   1.0000
  17.750   0.7068   0.22034   0.21284  -0.0454   0.1589   1.0000
  18.000   0.7041   0.22065   0.21310  -0.0487   0.1549   1.0000
  18.250   0.7130   0.22388   0.21633  -0.0502   0.1499   1.0000
  18.500   0.7344   0.23163   0.22417  -0.0497   0.1461   1.0000
  18.750   0.7341   0.23282   0.22529  -0.0527   0.1446   1.0000
  19.000   0.7351   0.23366   0.22610  -0.0557   0.1406   1.0000
  19.250   0.7446   0.23696   0.22940  -0.0571   0.1357   1.0000
  19.500   0.7694   0.24744   0.23992  -0.0561   0.1318   1.0000
  19.750   0.7628   0.24474   0.23716  -0.0602   0.1303   1.0000
  20.000   0.7667   0.24622   0.23862  -0.0630   0.1258   1.0000
   0.000  -0.0004   0.03057   0.02143   0.0001   0.9146   0.9146
  -0.250  -0.1158   0.03028   0.02116   0.0164   0.9304   0.8989
