  
       XFOIL         Version 6.99
  
 Calculated polar for: S1091                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -0.150   0.0231   0.04231   0.03711  -0.0393   1.0000   0.5255
  -0.050   0.0278   0.04111   0.03594  -0.0383   1.0000   0.5533
   0.250   0.0514   0.03789   0.03278  -0.0378   1.0000   0.6133
   0.500   0.0950   0.03608   0.03085  -0.0436   1.0000   0.6372
   0.750   0.3039   0.03597   0.02784  -0.0862   1.0000   0.1396
   1.000   0.3365   0.03500   0.02628  -0.0877   1.0000   0.1351
   1.250   0.3968   0.03390   0.02452  -0.0935   0.9892   0.1366
   1.500   0.4547   0.03340   0.02351  -0.0989   0.9767   0.1657
   1.750   0.5092   0.03262   0.02294  -0.1035   0.9642   0.2948
   2.000   0.5595   0.03071   0.02197  -0.1072   0.9506   1.0000
   2.250   0.6096   0.03156   0.02225  -0.1117   0.9337   1.0000
   2.500   0.6518   0.03226   0.02265  -0.1148   0.9151   1.0000
   2.750   0.6958   0.03282   0.02302  -0.1179   0.8959   1.0000
   3.000   0.7467   0.03315   0.02321  -0.1218   0.8778   1.0000
   3.250   0.7837   0.03355   0.02355  -0.1233   0.8564   1.0000
   3.500   0.8337   0.03348   0.02347  -0.1262   0.8367   1.0000
   3.750   0.8783   0.03332   0.02338  -0.1280   0.8154   1.0000
   4.000   0.9322   0.03250   0.02264  -0.1303   0.7945   1.0000
   4.250   0.9821   0.03157   0.02181  -0.1315   0.7718   1.0000
   4.500   1.0370   0.03003   0.02045  -0.1327   0.7487   1.0000
   4.750   1.0775   0.02905   0.01955  -0.1318   0.7209   1.0000
   5.000   1.1172   0.02800   0.01854  -0.1305   0.6906   1.0000
   5.250   1.1458   0.02755   0.01811  -0.1281   0.6559   1.0000
   5.500   1.1757   0.02696   0.01756  -0.1257   0.6189   1.0000
   5.750   1.1987   0.02677   0.01730  -0.1227   0.5777   1.0000
   6.000   1.2204   0.02668   0.01707  -0.1196   0.5331   1.0000
   6.250   1.2394   0.02689   0.01705  -0.1163   0.4843   1.0000
   6.500   1.2571   0.02759   0.01745  -0.1132   0.4321   1.0000
   6.750   1.2732   0.02887   0.01837  -0.1104   0.3807   1.0000
   7.000   1.2905   0.03045   0.01964  -0.1080   0.3360   1.0000
   7.250   1.3100   0.03211   0.02095  -0.1062   0.3001   1.0000
   7.500   1.3307   0.03390   0.02257  -0.1048   0.2719   1.0000
   7.750   1.3513   0.03596   0.02486  -0.1034   0.2511   1.0000
   8.000   1.3732   0.03800   0.02695  -0.1022   0.2344   1.0000
   8.250   1.3935   0.04002   0.02908  -0.1010   0.2201   1.0000
   8.500   1.4135   0.04238   0.03166  -0.0998   0.2095   1.0000
   8.750   1.4387   0.04493   0.03421  -0.0994   0.2014   1.0000
   9.000   1.4494   0.04813   0.03811  -0.0971   0.1961   1.0000
   9.250   1.4647   0.05121   0.04155  -0.0955   0.1911   1.0000
