  
       XFOIL         Version 6.99
  
 Calculated polar for: S1210 12%                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5438   0.04931   0.04183  -0.1715   0.7981   0.5464
   0.250   0.6001   0.04887   0.04112  -0.1771   0.7925   0.5636
   0.500   0.6145   0.05043   0.04262  -0.1778   0.7832   0.5715
   0.750   0.6779   0.04990   0.04182  -0.1844   0.7778   0.5857
   1.000   0.6844   0.05208   0.04399  -0.1841   0.7687   0.5922
   1.250   0.7348   0.05225   0.04399  -0.1890   0.7628   0.6043
   1.500   0.7547   0.05417   0.04583  -0.1906   0.7553   0.6128
   1.750   0.7812   0.05543   0.04705  -0.1922   0.7485   0.6236
   2.000   0.8338   0.05535   0.04684  -0.1963   0.7434   0.6397
   2.250   0.8245   0.05911   0.05063  -0.1951   0.7353   0.6453
   2.500   0.8679   0.05955   0.05100  -0.1981   0.7293   0.6635
   2.750   0.8698   0.06247   0.05397  -0.1972   0.7228   0.6737
   3.000   0.8848   0.06463   0.05616  -0.1976   0.7161   0.6889
   3.250   0.9324   0.06471   0.05620  -0.2003   0.7101   0.7167
   3.500   0.9137   0.06915   0.06075  -0.1982   0.7033   0.7251
   3.750   0.9462   0.06989   0.06155  -0.1992   0.6964   0.7591
   4.000   0.9466   0.07285   0.06462  -0.1980   0.6899   0.7836
   4.250   0.9516   0.07508   0.06700  -0.1968   0.6829   0.8209
   4.500   0.9699   0.07515   0.06724  -0.1953   0.6762   1.0000
   4.750   0.9832   0.07977   0.07179  -0.1993   0.6669   1.0000
   5.000   1.0208   0.08234   0.07415  -0.2033   0.6565   1.0000
   5.250   1.0539   0.08411   0.07581  -0.2050   0.6463   1.0000
   5.500   1.0481   0.08849   0.08021  -0.2045   0.6376   1.0000
   5.750   1.0912   0.08910   0.08071  -0.2056   0.6260   1.0000
   6.000   1.0760   0.09418   0.08587  -0.2047   0.6171   1.0000
   6.250   1.0936   0.09666   0.08835  -0.2046   0.6054   1.0000
   6.500   1.1351   0.09707   0.08874  -0.2049   0.5929   1.0000
   6.750   1.1246   0.10182   0.09357  -0.2042   0.5815   1.0000
   7.000   1.1284   0.10545   0.09725  -0.2038   0.5693   1.0000
   7.250   1.1484   0.10748   0.09931  -0.2033   0.5554   1.0000
   7.500   1.1759   0.10871   0.10056  -0.2027   0.5412   1.0000
   7.750   1.2194   0.10807   0.09998  -0.2017   0.5270   1.0000
   8.000   1.2084   0.11301   0.10501  -0.2012   0.5129   1.0000
   8.250   1.2025   0.11762   0.10969  -0.2009   0.4991   1.0000
   8.500   1.2110   0.12060   0.11274  -0.2003   0.4845   1.0000
   8.750   1.2225   0.12328   0.11549  -0.1997   0.4703   1.0000
   9.000   1.2390   0.12521   0.11752  -0.1988   0.4557   1.0000
   9.250   1.2615   0.12639   0.11877  -0.1977   0.4416   1.0000
   9.500   1.3050   0.12439   0.11685  -0.1953   0.4281   1.0000
   9.750   1.3003   0.12892   0.12147  -0.1953   0.4137   1.0000
  10.000   1.2840   0.13544   0.12807  -0.1964   0.4002   1.0000
  10.250   1.2830   0.13979   0.13253  -0.1968   0.3870   1.0000
  10.500   1.2929   0.14264   0.13545  -0.1965   0.3747   1.0000
  10.750   1.3275   0.14150   0.13441  -0.1941   0.3631   1.0000
  11.000   1.3176   0.14748   0.14046  -0.1957   0.3514   1.0000
  11.250   1.3023   0.15475   0.14779  -0.1983   0.3415   1.0000
  11.500   1.3300   0.15498   0.14814  -0.1966   0.3320   1.0000
  11.750   1.3017   0.16500   0.15819  -0.2016   0.3258   1.0000
  12.000   1.3228   0.16622   0.15951  -0.2005   0.3159   1.0000
  12.250   1.3046   0.17465   0.16798  -0.2050   0.3114   1.0000
  12.500   1.2988   0.18147   0.17486  -0.2084   0.3100   1.0000
  12.750   1.2920   0.18872   0.18217  -0.2124   0.3127   1.0000
  13.000   1.2954   0.19488   0.18840  -0.2152   0.3158   1.0000
  13.250   1.3063   0.20069   0.19432  -0.2173   0.3188   1.0000
  13.250   1.3209   0.19635   0.18997  -0.2138   0.3036   1.0000
  13.350   1.3267   0.19829   0.19195  -0.2142   0.3031   1.0000
   0.000   0.3947   0.04532   0.03901  -0.1440   0.7810   0.5089
  -0.250   0.3824   0.04440   0.03816  -0.1460   0.7868   0.4855
  -0.500   0.3880   0.04176   0.03552  -0.1486   0.7936   0.4689
  -0.750   0.3764   0.04117   0.03498  -0.1536   0.7990   0.4207
  -1.000   0.4392   0.04772   0.04083  -0.1711   0.8310   0.4377
  -1.000   0.4392   0.04772   0.04083  -0.1711   0.8310   0.4377
  -1.100   0.4380   0.04728   0.04037  -0.1738   0.8347   0.4206
  -1.500   0.4391   0.04465   0.03755  -0.1851   0.8518   0.3418
  -1.500   0.4391   0.04465   0.03755  -0.1851   0.8518   0.3417
  -1.600   0.4466   0.04380   0.03660  -0.1882   0.8586   0.3354
  -1.700   0.4440   0.04277   0.03540  -0.1918   0.8618   0.2872
  -2.000   0.4160   0.04083   0.03285  -0.1945   0.8762   0.1799
  -2.250  -0.0423   0.07802   0.07302  -0.0771   0.8641   0.2125
  -2.500  -0.0348   0.07762   0.07251  -0.0859   0.8750   0.1997
  -2.750  -0.1328   0.09116   0.08644  -0.0474   0.8824   0.2833
  -3.000  -0.1505   0.09355   0.08883  -0.0395   0.8938   0.2767
  -3.250  -0.1620   0.09572   0.09099  -0.0376   0.9058   0.2699
  -3.500  -0.1893   0.10058   0.09589  -0.0380   0.9138   0.2655
  -3.750  -0.2001   0.10144   0.09672  -0.0287   0.9280   0.2554
  -4.000  -0.2262   0.10596   0.10126  -0.0290   0.9380   0.2491
  -4.250  -0.2329   0.10689   0.10214  -0.0215   0.9528   0.2405
  -4.500  -0.2713   0.11387   0.10919  -0.0234   0.9614   0.2317
  -4.750  -0.2669   0.11220   0.10744  -0.0138   0.9788   0.2237
  -5.000  -0.3078   0.11817   0.11345  -0.0095   0.9881   0.2146
  -5.250  -0.3132   0.11779   0.11304  -0.0030   1.0000   0.2060
  -5.500  -0.3266   0.12164   0.11685  -0.0048   1.0000   0.2009
  -5.750  -0.3173   0.12314   0.11822  -0.0068   1.0000   0.1993
  -6.000  -0.2889   0.12109   0.11601  -0.0093   1.0000   0.1982
  -6.250  -0.2667   0.11984   0.11461  -0.0115   1.0000   0.1953
  -6.500  -0.2552   0.12007   0.11472  -0.0138   1.0000   0.1913
  -6.750  -0.2562   0.12216   0.11671  -0.0161   1.0000   0.1869
  -7.000  -0.2646   0.12641   0.12088  -0.0180   1.0000   0.1842
  -7.250  -0.2404   0.12447   0.11877  -0.0199   1.0000   0.1827
  -7.500  -0.2269   0.12424   0.11839  -0.0215   1.0000   0.1784
  -7.750  -0.2262   0.12595   0.12001  -0.0232   1.0000   0.1735
  -8.000  -0.2498   0.13290   0.12693  -0.0251   1.0000   0.1694
  -8.250  -0.2281   0.13087   0.12474  -0.0261   1.0000   0.1682
  -8.500  -0.2173   0.13069   0.12442  -0.0268   1.0000   0.1643
  -8.750  -0.2181   0.13250   0.12615  -0.0280   1.0000   0.1595
  -9.000  -0.2365   0.13819   0.13183  -0.0298   1.0000   0.1551
  -9.250  -0.2305   0.13930   0.13280  -0.0302   1.0000   0.1537
  -9.500  -0.2205   0.13881   0.13220  -0.0302   1.0000   0.1506
  -9.750  -0.2212   0.14056   0.13386  -0.0307   1.0000   0.1457
 -10.000  -0.2310   0.14411   0.13737  -0.0319   1.0000   0.1413
 -10.250  -0.2421   0.14924   0.14243  -0.0328   1.0000   0.1389
 -10.500  -0.2315   0.14808   0.14116  -0.0321   1.0000   0.1366
 -10.750  -0.2318   0.14954   0.14255  -0.0320   1.0000   0.1320
 -11.000  -0.2385   0.15231   0.14526  -0.0326   1.0000   0.1276
 -11.250  -0.2633   0.16132   0.15428  -0.0344   1.0000   0.1240
 -11.500  -0.2522   0.15951   0.15234  -0.0333   1.0000   0.1231
 -11.750  -0.2492   0.15972   0.15247  -0.0325   1.0000   0.1208
 -12.000  -0.2519   0.16163   0.15432  -0.0321   1.0000   0.1170
 -12.250  -0.2578   0.16424   0.15689  -0.0322   1.0000   0.1137
