  
       XFOIL         Version 6.99
  
 Calculated polar for: S1223 RTL                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.9961   0.03392   0.02464  -0.2214   0.5513   0.5138
   0.250   1.0144   0.03432   0.02499  -0.2184   0.5446   0.5585
   0.500   1.0497   0.03472   0.02511  -0.2196   0.5380   0.5993
   0.750   1.0775   0.03523   0.02560  -0.2201   0.5316   0.6263
   1.000   1.1108   0.03577   0.02599  -0.2216   0.5258   0.6521
   1.250   1.1510   0.03643   0.02636  -0.2243   0.5205   0.6798
   1.500   1.1740   0.03726   0.02724  -0.2241   0.5158   0.7022
   1.750   1.1987   0.03817   0.02817  -0.2242   0.5106   0.7278
   2.000   1.2244   0.03895   0.02891  -0.2242   0.5057   0.7549
   2.250   1.2530   0.03976   0.02960  -0.2246   0.5015   0.7885
   2.500   1.2697   0.04086   0.03079  -0.2232   0.4983   0.8227
   2.750   1.2742   0.04205   0.03226  -0.2198   0.4956   0.8618
   3.000   1.2769   0.04324   0.03372  -0.2163   0.4927   1.0000
   3.250   1.3165   0.04570   0.03608  -0.2210   0.4879   1.0000
   3.500   1.3614   0.04773   0.03785  -0.2258   0.4833   1.0000
   3.750   1.4030   0.04980   0.03962  -0.2294   0.4796   1.0000
   4.000   1.4007   0.05304   0.04310  -0.2266   0.4776   1.0000
   4.250   1.3874   0.05707   0.04739  -0.2226   0.4762   1.0000
   4.500   1.3510   0.06273   0.05340  -0.2165   0.4756   1.0000
   4.750   1.2579   0.07296   0.06414  -0.2066   0.4775   1.0000
   5.000   1.2003   0.08352   0.07499  -0.2038   0.4800   1.0000
   5.000   1.2003   0.08352   0.07499  -0.2038   0.4800   1.0000
   6.250   0.8914   0.14346   0.13665  -0.2173   0.6165   1.0000
   6.500   0.8907   0.14532   0.13841  -0.2174   0.6025   1.0000
   6.750   0.9371   0.15063   0.14338  -0.2210   0.5972   1.0000
   7.000   0.9298   0.15165   0.14435  -0.2202   0.5824   1.0000
   7.250   0.9750   0.15725   0.14967  -0.2228   0.5780   1.0000
   7.500   0.9614   0.15751   0.14992  -0.2216   0.5630   1.0000
   7.750   0.9999   0.16277   0.15498  -0.2233   0.5591   1.0000
   8.000   0.9844   0.16304   0.15526  -0.2225   0.5455   1.0000
   8.250   1.0179   0.16760   0.15967  -0.2237   0.5406   1.0000
   8.500   1.0073   0.16858   0.16064  -0.2235   0.5288   1.0000
   8.750   1.0351   0.17236   0.16431  -0.2241   0.5223   1.0000
   9.000   1.0340   0.17449   0.16641  -0.2245   0.5140   1.0000
   9.250   1.0490   0.17704   0.16892  -0.2249   0.5053   1.0000
   9.500   1.0790   0.18183   0.17362  -0.2256   0.5013   1.0000
   9.750   1.0672   0.18256   0.17436  -0.2262   0.4924   1.0000
  10.000   1.0847   0.18543   0.17718  -0.2266   0.4848   1.0000
  10.250   1.1167   0.19088   0.18259  -0.2271   0.4810   1.0000
  10.500   1.1010   0.19061   0.18233  -0.2280   0.4715   1.0000
  10.750   1.1179   0.19354   0.18524  -0.2285   0.4648   1.0000
  11.000   1.1450   0.19858   0.19025  -0.2289   0.4613   1.0000
  11.250   1.1387   0.19972   0.19140  -0.2302   0.4559   1.0000
  11.500   1.1452   0.20130   0.19298  -0.2310   0.4474   1.0000
  11.750   1.1672   0.20528   0.19698  -0.2313   0.4425   1.0000
  12.000   1.2005   0.21277   0.20446  -0.2315   0.4399   1.0000
  12.250   1.1752   0.20932   0.20104  -0.2336   0.4310   1.0000
