  
       XFOIL         Version 6.99
  
 Calculated polar for: S2060 8%                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0301   0.01722   0.00689  -0.0238   1.0000   1.0000
   0.250   0.0510   0.01752   0.00706  -0.0234   1.0000   1.0000
   0.500   0.0715   0.01786   0.00730  -0.0230   1.0000   1.0000
   0.750   0.0918   0.01824   0.00760  -0.0226   1.0000   1.0000
   1.000   0.1117   0.01867   0.00797  -0.0223   1.0000   1.0000
   1.250   0.1312   0.01915   0.00842  -0.0220   1.0000   1.0000
   1.500   0.1502   0.01969   0.00892  -0.0218   1.0000   1.0000
   1.750   0.1688   0.02028   0.00952  -0.0216   1.0000   1.0000
   2.000   0.1868   0.02095   0.01019  -0.0215   1.0000   1.0000
   2.250   0.2043   0.02170   0.01096  -0.0215   1.0000   1.0000
   2.500   0.2211   0.02253   0.01184  -0.0215   1.0000   1.0000
   2.750   0.2841   0.02408   0.01353  -0.0301   0.9759   1.0000
   3.000   0.3461   0.02532   0.01496  -0.0378   0.9492   1.0000
   3.250   0.4062   0.02622   0.01611  -0.0444   0.9210   1.0000
   3.500   0.4656   0.02674   0.01691  -0.0502   0.8912   1.0000
   3.750   0.5279   0.02680   0.01735  -0.0554   0.8602   1.0000
   4.000   0.5989   0.02610   0.01708  -0.0606   0.8286   1.0000
   4.250   0.6468   0.02533   0.01670  -0.0613   0.7920   1.0000
   4.500   0.6961   0.02407   0.01578  -0.0609   0.7533   1.0000
   4.750   0.7339   0.02298   0.01493  -0.0586   0.7076   1.0000
   5.000   0.7653   0.02219   0.01424  -0.0552   0.6539   1.0000
   5.250   0.7897   0.02197   0.01394  -0.0515   0.5901   1.0000
   5.500   0.8096   0.02225   0.01395  -0.0476   0.5170   1.0000
   5.750   0.8249   0.02302   0.01433  -0.0438   0.4353   1.0000
   6.000   0.8368   0.02433   0.01505  -0.0400   0.3455   1.0000
   6.250   0.8442   0.02618   0.01620  -0.0363   0.2487   1.0000
   6.500   0.8568   0.02873   0.01808  -0.0338   0.1728   1.0000
   6.750   0.8807   0.03144   0.02061  -0.0325   0.1364   1.0000
   7.000   0.9069   0.03418   0.02323  -0.0318   0.1185   1.0000
   7.250   0.9332   0.03712   0.02657  -0.0308   0.1102   1.0000
   7.500   0.9578   0.04063   0.03024  -0.0301   0.1054   1.0000
   7.750   0.9749   0.04399   0.03430  -0.0283   0.1020   1.0000
   8.000   0.9894   0.04744   0.03824  -0.0267   0.0983   1.0000
   8.250   1.0022   0.05118   0.04244  -0.0252   0.0963   1.0000
   8.500   1.0068   0.05589   0.04776  -0.0234   0.0974   1.0000
   8.750   1.0052   0.06103   0.05345  -0.0217   0.0995   1.0000
   9.000   0.9998   0.06624   0.05906  -0.0205   0.1017   1.0000
   9.250   0.9953   0.07139   0.06446  -0.0196   0.1038   1.0000
   9.500   1.0055   0.07699   0.07008  -0.0194   0.1060   1.0000
   9.750   0.9435   0.08247   0.07606  -0.0194   0.1101   1.0000
  10.000   0.9066   0.08961   0.08321  -0.0228   0.1136   1.0000
  10.250   0.8953   0.09638   0.08996  -0.0258   0.1175   1.0000
  10.500   0.8568   0.10928   0.10277  -0.0373   0.1298   1.0000
  10.500   0.7952   0.12850   0.12179  -0.0604   0.2746   1.0000
  10.600   0.7959   0.13052   0.12380  -0.0610   0.2744   1.0000
  10.700   0.7983   0.13263   0.12591  -0.0615   0.2739   1.0000
  11.000   0.7890   0.13763   0.13084  -0.0639   0.2685   1.0000
  11.250   0.7957   0.14197   0.13523  -0.0646   0.2611   1.0000
  11.500   0.7962   0.14639   0.13961  -0.0660   0.2554   1.0000
  11.750   0.8216   0.15240   0.14569  -0.0646   0.2441   1.0000
  12.000   0.7993   0.15418   0.14737  -0.0683   0.2381   1.0000
