  
       XFOIL         Version 6.99
  
 Calculated polar for: SELIG 3002-099-83                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0428   0.02288   0.01418  -0.0370   1.0000   1.0000
   0.250   0.0641   0.02356   0.01463  -0.0377   1.0000   1.0000
   0.500   0.1039   0.02468   0.01550  -0.0417   0.9907   1.0000
   0.750   0.1575   0.02605   0.01662  -0.0479   0.9739   1.0000
   1.000   0.2098   0.02731   0.01767  -0.0537   0.9568   1.0000
   1.250   0.2538   0.02827   0.01851  -0.0578   0.9380   1.0000
   1.500   0.2984   0.02922   0.01934  -0.0618   0.9193   1.0000
   1.750   0.3452   0.03008   0.02012  -0.0658   0.9004   1.0000
   2.000   0.3944   0.03084   0.02083  -0.0699   0.8818   1.0000
   2.250   0.4316   0.03150   0.02147  -0.0720   0.8615   1.0000
   2.500   0.4712   0.03206   0.02203  -0.0741   0.8409   1.0000
   2.750   0.5178   0.03240   0.02240  -0.0769   0.8215   1.0000
   3.000   0.5698   0.03243   0.02247  -0.0799   0.8032   1.0000
   3.250   0.5985   0.03285   0.02294  -0.0799   0.7803   1.0000
   3.500   0.6448   0.03262   0.02280  -0.0814   0.7609   1.0000
   3.750   0.6922   0.03202   0.02229  -0.0825   0.7427   1.0000
   4.000   0.7231   0.03199   0.02233  -0.0818   0.7203   1.0000
   4.250   0.7626   0.03137   0.02181  -0.0815   0.6999   1.0000
   4.500   0.8066   0.03031   0.02082  -0.0812   0.6808   1.0000
   4.750   0.8338   0.03024   0.02086  -0.0797   0.6563   1.0000
   5.000   0.8741   0.02922   0.01986  -0.0788   0.6352   1.0000
   5.250   0.9009   0.02919   0.01987  -0.0772   0.6093   1.0000
   5.500   0.9325   0.02885   0.01956  -0.0759   0.5844   1.0000
   5.750   0.9648   0.02851   0.01915  -0.0746   0.5588   1.0000
   6.000   0.9896   0.02883   0.01947  -0.0730   0.5309   1.0000
   6.250   1.0148   0.02924   0.01987  -0.0716   0.5034   1.0000
   6.500   1.0404   0.02972   0.02028  -0.0702   0.4763   1.0000
   6.750   1.0668   0.03023   0.02067  -0.0689   0.4495   1.0000
   7.000   1.0894   0.03111   0.02152  -0.0676   0.4229   1.0000
   7.250   1.1103   0.03217   0.02262  -0.0662   0.3968   1.0000
   7.500   1.1343   0.03317   0.02351  -0.0650   0.3723   1.0000
   7.750   1.1544   0.03439   0.02476  -0.0636   0.3480   1.0000
   8.000   1.1755   0.03574   0.02612  -0.0624   0.3255   1.0000
   8.250   1.1942   0.03721   0.02766  -0.0610   0.3039   1.0000
   8.500   1.2185   0.03852   0.02878  -0.0601   0.2835   1.0000
   8.750   1.2330   0.04048   0.03098  -0.0585   0.2655   1.0000
   9.000   1.2487   0.04245   0.03310  -0.0570   0.2487   1.0000
   9.250   1.2643   0.04455   0.03537  -0.0556   0.2337   1.0000
   9.500   1.2799   0.04682   0.03776  -0.0543   0.2204   1.0000
   9.750   1.2970   0.04898   0.03999  -0.0531   0.2078   1.0000
  10.000   1.3030   0.05207   0.04344  -0.0512   0.1987   1.0000
  10.250   1.3069   0.05548   0.04716  -0.0494   0.1912   1.0000
  10.500   1.3316   0.05751   0.04907  -0.0489   0.1805   1.0000
  10.750   1.3108   0.06232   0.05451  -0.0458   0.1780   1.0000
  11.000   1.2869   0.06744   0.06005  -0.0433   0.1765   1.0000
  11.250   1.2550   0.07279   0.06569  -0.0409   0.1765   1.0000
  11.500   1.2151   0.07905   0.07210  -0.0397   0.1776   1.0000
  11.750   1.1728   0.08702   0.08017  -0.0412   0.1792   1.0000
  11.750   1.1728   0.08702   0.08017  -0.0412   0.1792   1.0000
  11.850   1.1571   0.09065   0.08382  -0.0424   0.1798   1.0000
  11.950   1.1424   0.09448   0.08767  -0.0439   0.1804   1.0000
  13.000   0.9119   0.17132   0.16397  -0.0959   0.3137   1.0000
  12.750   0.8793   0.16462   0.15714  -0.0963   0.3233   1.0000
  12.850   0.8820   0.16611   0.15865  -0.0967   0.3195   1.0000
  12.950   0.8943   0.16842   0.16101  -0.0965   0.3158   1.0000
  13.250   0.8899   0.17239   0.16497  -0.0987   0.3065   1.0000
  13.000   0.9119   0.17132   0.16397  -0.0959   0.3137   1.0000
  13.100   0.8990   0.17153   0.16413  -0.0973   0.3126   1.0000
  13.200   0.8897   0.17184   0.16442  -0.0984   0.3090   1.0000
  13.500   0.9092   0.17778   0.17045  -0.0989   0.2975   1.0000
  13.250   0.8899   0.17239   0.16497  -0.0987   0.3065   1.0000
  13.350   0.9029   0.17454   0.16719  -0.0982   0.3008   1.0000
  13.450   0.9156   0.17782   0.17051  -0.0981   0.2982   1.0000
  13.750   0.9039   0.18005   0.17272  -0.1009   0.2888   1.0000
  14.000   0.9276   0.18676   0.17953  -0.1011   0.2832   1.0000
  14.250   0.9147   0.18771   0.18044  -0.1039   0.2752   1.0000
  14.500   0.9341   0.19353   0.18637  -0.1041   0.2677   1.0000
  14.750   0.9298   0.19521   0.18804  -0.1065   0.2586   1.0000
  15.000   0.9549   0.20268   0.19561  -0.1063   0.2534   1.0000
  15.250   0.9412   0.20269   0.19557  -0.1099   0.2471   1.0000
  15.500   0.9734   0.21141   0.20443  -0.1087   0.2388   1.0000
  15.750   0.9559   0.21014   0.20308  -0.1131   0.2336   1.0000
  16.000   0.9740   0.21542   0.20846  -0.1132   0.2255   1.0000
  16.250   0.9756   0.21872   0.21175  -0.1158   0.2223   1.0000
  16.500   0.9779   0.22090   0.21394  -0.1183   0.2150   1.0000
  16.750   1.0017   0.22907   0.22223  -0.1176   0.2092   1.0000
  17.000   0.9919   0.22808   0.22119  -0.1220   0.2036   1.0000
  17.250   1.0073   0.23307   0.22626  -0.1224   0.1968   1.0000
  17.500   1.0159   0.23800   0.23121  -0.1242   0.1940   1.0000
  17.750   1.0142   0.23869   0.23189  -0.1277   0.1879   1.0000
  18.000   1.0370   0.24658   0.23990  -0.1268   0.1811   1.0000
  18.250   1.0328   0.24690   0.24016  -0.1310   0.1783   1.0000
  18.500   1.0376   0.24917   0.24245  -0.1335   0.1719   1.0000
  18.750   1.0569   0.25654   0.24994  -0.1331   0.1671   1.0000
  19.000   1.0574   0.25823   0.25159  -0.1367   0.1647   1.0000
  19.250   1.0602   0.25955   0.25291  -0.1398   0.1586   1.0000
  19.500   1.0793   0.26717   0.26064  -0.1392   0.1529   1.0000
  19.750   1.0824   0.26964   0.26309  -0.1424   0.1512   1.0000
  20.000   1.0831   0.26996   0.26339  -0.1463   0.1466   1.0000
   0.000   0.0428   0.02288   0.01418  -0.0370   1.0000   1.0000
  -0.250   0.0207   0.02227   0.01382  -0.0364   1.0000   1.0000
  -0.500  -0.0020   0.02172   0.01357  -0.0357   1.0000   1.0000
  -0.750  -0.0254   0.02123   0.01346  -0.0350   1.0000   1.0000
  -1.000  -0.0495   0.02080   0.01350  -0.0343   1.0000   1.0000
  -1.250  -0.0672   0.02115   0.01424  -0.0357   1.0000   0.8647
  -1.500  -0.0538   0.02387   0.01398  -0.0478   1.0000   0.2665
  -1.750  -0.0815   0.02534   0.01500  -0.0477   1.0000   0.1926
  -2.000  -0.1043   0.02635   0.01590  -0.0487   1.0000   0.1674
  -2.250  -0.1262   0.02740   0.01692  -0.0498   1.0000   0.1533
  -2.500  -0.1506   0.02846   0.01822  -0.0505   1.0000   0.1433
  -2.750  -0.1759   0.02992   0.01988  -0.0508   1.0000   0.1355
  -3.000  -0.2035   0.03166   0.02208  -0.0509   1.0000   0.1330
  -3.250  -0.2311   0.03360   0.02442  -0.0506   1.0000   0.1295
  -3.500  -0.2589   0.03593   0.02719  -0.0500   1.0000   0.1285
  -3.750  -0.2886   0.03928   0.03112  -0.0487   1.0000   0.1347
  -5.000  -0.3778   0.07456   0.06917   0.0112   1.0000   0.4664
  -5.250  -0.3736   0.07608   0.07060   0.0062   1.0000   0.4338
  -5.500  -0.3814   0.07851   0.07296   0.0019   1.0000   0.4037
  -5.750  -0.3605   0.07912   0.07342  -0.0025   1.0000   0.3829
  -6.000  -0.3799   0.08264   0.07691  -0.0060   1.0000   0.3569
  -6.250  -0.3715   0.08431   0.07845  -0.0091   1.0000   0.3407
  -6.250  -0.3715   0.08431   0.07845  -0.0091   1.0000   0.3407
  -6.350  -0.3496   0.08353   0.07755  -0.0111   1.0000   0.3366
  -6.450  -0.3784   0.08677   0.08087  -0.0116   1.0000   0.3258
  -6.750  -0.3670   0.08880   0.08274  -0.0149   1.0000   0.3097
  -6.500  -0.3655   0.08628   0.08031  -0.0123   1.0000   0.3250
  -6.600  -0.3458   0.08558   0.07947  -0.0139   1.0000   0.3213
  -6.700  -0.3779   0.08920   0.08321  -0.0143   1.0000   0.3103
  -7.000  -0.3739   0.09185   0.08571  -0.0172   1.0000   0.2946
  -7.250  -0.3406   0.09123   0.08485  -0.0191   1.0000   0.2847
  -7.500  -0.3392   0.09371   0.08720  -0.0203   1.0000   0.2731
  -7.750  -0.3513   0.09740   0.09085  -0.0217   1.0000   0.2617
  -8.000  -0.3707   0.10197   0.09540  -0.0235   1.0000   0.2476
  -8.250  -0.3436   0.10154   0.09477  -0.0223   1.0000   0.2399
  -8.500  -0.3543   0.10534   0.09852  -0.0232   1.0000   0.2299
  -8.250  -0.3436   0.10154   0.09477  -0.0223   1.0000   0.2399
  -8.350  -0.3611   0.10414   0.09741  -0.0237   1.0000   0.2334
  -8.450  -0.3626   0.10574   0.09897  -0.0238   1.0000   0.2312
  -8.750  -0.3771   0.11052   0.10370  -0.0251   1.0000   0.2162
  -9.000  -0.3536   0.11019   0.10320  -0.0227   1.0000   0.2111
  -9.250  -0.3773   0.11573   0.10876  -0.0245   1.0000   0.2003
  -9.500  -0.3607   0.11592   0.10881  -0.0221   1.0000   0.1945
  -9.750  -0.3907   0.12269   0.11561  -0.0244   1.0000   0.1850
 -10.000  -0.3712   0.12224   0.11501  -0.0214   1.0000   0.1813
 -10.250  -0.3781   0.12535   0.11809  -0.0211   1.0000   0.1731
 -10.500  -0.3945   0.13081   0.12353  -0.0216   1.0000   0.1689
 -10.750  -0.3829   0.13119   0.12381  -0.0191   1.0000   0.1640
 -11.000  -0.3924   0.13460   0.12720  -0.0188   1.0000   0.1576
 -11.250  -0.4111   0.14086   0.13345  -0.0195   1.0000   0.1536
 -11.500  -0.3998   0.14083   0.13333  -0.0167   1.0000   0.1504
 -11.750  -0.4039   0.14352   0.13598  -0.0156   1.0000   0.1447
 -12.000  -0.4398   0.15348   0.14600  -0.0181   1.0000   0.1388
 -12.250  -0.4262   0.15259   0.14502  -0.0149   1.0000   0.1378
 -12.500  -0.4211   0.15320   0.14556  -0.0126   1.0000   0.1344
 -12.750  -0.4266   0.15601   0.14834  -0.0115   1.0000   0.1295
 -13.000  -0.4632   0.16718   0.15957  -0.0139   1.0000   0.1236
 -13.250  -0.4539   0.16648   0.15879  -0.0109   1.0000   0.1230
 -13.500  -0.4473   0.16612   0.15836  -0.0082   1.0000   0.1206
 -13.750  -0.4514   0.16837   0.16059  -0.0066   1.0000   0.1162
 -14.000  -0.4621   0.17222   0.16443  -0.0060   1.0000   0.1117
 -14.250  -0.4879   0.18205   0.17429  -0.0069   1.0000   0.1084
 -14.500  -0.4805   0.18069   0.17286  -0.0040   1.0000   0.1075
 -14.750  -0.4805   0.18134   0.17347  -0.0015   1.0000   0.1050
 -15.000  -0.4867   0.18387   0.17598   0.0001   1.0000   0.1019
 -15.250  -0.4952   0.18708   0.17917   0.0013   1.0000   0.0987
 -15.500  -0.5075   0.19165   0.18375   0.0018   1.0000   0.0959
 -15.750  -0.5317   0.20255   0.19466   0.0013   1.0000   0.0938
 -16.000  -0.5271   0.20079   0.19283   0.0042   1.0000   0.0933
 -16.250  -0.5280   0.20073   0.19274   0.0069   1.0000   0.0920
 -16.500  -0.5335   0.20254   0.19454   0.0091   1.0000   0.0896
 -16.750  -0.5411   0.20527   0.19726   0.0108   1.0000   0.0870
 -17.000  -0.5500   0.20843   0.20041   0.0122   1.0000   0.0846
 -17.250  -0.5603   0.21225   0.20423   0.0133   1.0000   0.0824
 -17.500  -0.5819   0.22305   0.21508   0.0126   1.0000   0.0801
 -17.750  -0.5887   0.22628   0.21825   0.0145   1.0000   0.0796
 -18.000  -0.5894   0.22493   0.21687   0.0175   1.0000   0.0791
 -18.250  -0.5931   0.22498   0.21689   0.0202   1.0000   0.0781
 -18.500  -0.5998   0.22667   0.21856   0.0226   1.0000   0.0763
 -18.750  -0.6079   0.22925   0.22112   0.0246   1.0000   0.0742
 -19.000  -0.6165   0.23212   0.22401   0.0263   1.0000   0.0721
 -19.250  -0.6259   0.23535   0.22724   0.0279   1.0000   0.0702
 -19.500  -0.6367   0.23967   0.23157   0.0290   1.0000   0.0683
 -19.750  -0.6596   0.25503   0.24696   0.0280   1.0000   0.0665
 -20.000  -0.6611   0.25288   0.24477   0.0310   1.0000   0.0663
