  
       XFOIL         Version 6.99
  
 Calculated polar for: S3010-103-84                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1667   0.02503   0.01582  -0.0563   0.9161   1.0000
   0.250   0.2113   0.02573   0.01633  -0.0599   0.8999   1.0000
   0.500   0.2552   0.02638   0.01682  -0.0632   0.8837   1.0000
   0.750   0.2985   0.02696   0.01727  -0.0663   0.8677   1.0000
   1.000   0.3414   0.02749   0.01770  -0.0690   0.8517   1.0000
   1.250   0.3787   0.02800   0.01813  -0.0706   0.8355   1.0000
   1.500   0.4114   0.02853   0.01858  -0.0714   0.8190   1.0000
   1.750   0.4432   0.02903   0.01904  -0.0719   0.8025   1.0000
   2.000   0.4740   0.02952   0.01950  -0.0722   0.7863   1.0000
   2.250   0.5036   0.03000   0.01994  -0.0721   0.7700   1.0000
   2.500   0.5325   0.03045   0.02039  -0.0718   0.7537   1.0000
   2.750   0.5607   0.03089   0.02083  -0.0713   0.7376   1.0000
   3.000   0.5885   0.03131   0.02125  -0.0706   0.7215   1.0000
   3.250   0.6157   0.03170   0.02165  -0.0698   0.7053   1.0000
   3.500   0.6427   0.03207   0.02205  -0.0689   0.6891   1.0000
   3.750   0.6694   0.03240   0.02240  -0.0678   0.6729   1.0000
   4.000   0.6960   0.03271   0.02274  -0.0666   0.6567   1.0000
   4.250   0.7224   0.03299   0.02306  -0.0654   0.6404   1.0000
   4.500   0.7490   0.03323   0.02336  -0.0640   0.6241   1.0000
   4.750   0.7757   0.03342   0.02359  -0.0626   0.6078   1.0000
   5.000   0.8029   0.03355   0.02376  -0.0612   0.5914   1.0000
   5.250   0.8304   0.03363   0.02390  -0.0597   0.5749   1.0000
   5.500   0.8584   0.03362   0.02391  -0.0581   0.5583   1.0000
   5.750   0.8815   0.03414   0.02449  -0.0567   0.5403   1.0000
   6.000   0.9019   0.03492   0.02536  -0.0553   0.5211   1.0000
   6.250   0.9264   0.03529   0.02582  -0.0538   0.5029   1.0000
   6.500   0.9532   0.03543   0.02599  -0.0523   0.4850   1.0000
   6.750   0.9811   0.03547   0.02602  -0.0508   0.4672   1.0000
   7.000   1.0044   0.03605   0.02668  -0.0493   0.4487   1.0000
   7.250   1.0229   0.03713   0.02789  -0.0479   0.4292   1.0000
   7.500   1.0461   0.03774   0.02856  -0.0465   0.4104   1.0000
   7.750   1.0725   0.03803   0.02884  -0.0451   0.3920   1.0000
   8.000   1.0980   0.03854   0.02934  -0.0438   0.3739   1.0000
   8.250   1.1126   0.04010   0.03110  -0.0423   0.3555   1.0000
   8.500   1.1303   0.04142   0.03254  -0.0410   0.3378   1.0000
   8.750   1.1498   0.04255   0.03377  -0.0396   0.3205   1.0000
   9.000   1.1697   0.04373   0.03501  -0.0382   0.3039   1.0000
   9.250   1.1887   0.04503   0.03637  -0.0369   0.2879   1.0000
   9.500   1.2048   0.04668   0.03813  -0.0355   0.2728   1.0000
   9.750   1.2131   0.04912   0.04078  -0.0340   0.2599   1.0000
  10.000   1.2189   0.05176   0.04364  -0.0324   0.2481   1.0000
  10.250   1.2305   0.05404   0.04604  -0.0310   0.2366   1.0000
  10.500   1.2486   0.05572   0.04775  -0.0298   0.2242   1.0000
  10.750   1.2168   0.06150   0.05396  -0.0279   0.2211   1.0000
  11.000   1.1293   0.07263   0.06529  -0.0280   0.2293   1.0000
  11.250   1.1002   0.07989   0.07259  -0.0298   0.2269   1.0000
  11.250   1.1002   0.07990   0.07259  -0.0298   0.2269   1.0000
  11.350   1.0875   0.08339   0.07608  -0.0310   0.2262   1.0000
  11.500   1.1531   0.07700   0.06982  -0.0258   0.2108   1.0000
  12.500   0.8188   0.15574   0.14770  -0.0790   0.3482   1.0000
  12.750   0.8227   0.15969   0.15169  -0.0800   0.3403   1.0000
  13.000   0.8488   0.16536   0.15749  -0.0799   0.3290   1.0000
  13.250   0.8327   0.16681   0.15891  -0.0820   0.3215   1.0000
  13.500   0.8575   0.17298   0.16522  -0.0821   0.3139   1.0000
  13.750   0.8462   0.17432   0.16654  -0.0841   0.3048   1.0000
  14.000   0.8575   0.17886   0.17114  -0.0849   0.2972   1.0000
  14.250   0.8619   0.18193   0.17425  -0.0862   0.2882   1.0000
  14.500   0.8728   0.18689   0.17927  -0.0872   0.2831   1.0000
  14.750   0.8757   0.18941   0.18183  -0.0887   0.2731   1.0000
  15.000   0.8811   0.19333   0.18577  -0.0902   0.2668   1.0000
  15.250   0.8896   0.19680   0.18930  -0.0913   0.2581   1.0000
  15.500   0.8992   0.20167   0.19423  -0.0926   0.2535   1.0000
  15.750   0.9023   0.20398   0.19657  -0.0943   0.2439   1.0000
  16.000   0.9110   0.20849   0.20112  -0.0957   0.2383   1.0000
  16.250   0.9145   0.21104   0.20370  -0.0977   0.2303   1.0000
  16.500   0.9289   0.21679   0.20951  -0.0984   0.2246   1.0000
  16.750   0.9289   0.21825   0.21097  -0.1009   0.2159   1.0000
  17.000   0.9460   0.22495   0.21775  -0.1011   0.2106   1.0000
  17.250   0.9421   0.22542   0.21819  -0.1045   0.2033   1.0000
  17.500   0.9618   0.23271   0.22559  -0.1042   0.1963   1.0000
  17.750   0.9565   0.23263   0.22547  -0.1080   0.1905   1.0000
  18.000   0.9812   0.24171   0.23465  -0.1069   0.1824   1.0000
  18.250   0.9723   0.24010   0.23298  -0.1116   0.1782   1.0000
  18.500   0.9838   0.24424   0.23718  -0.1126   0.1710   1.0000
  18.750   0.9930   0.24919   0.24213  -0.1142   0.1673   1.0000
  19.000   0.9945   0.25041   0.24333  -0.1174   0.1610   1.0000
  19.250   1.0164   0.25904   0.25207  -0.1163   0.1550   1.0000
  19.500   1.0139   0.25926   0.25223  -0.1204   0.1530   1.0000
  19.750   1.0175   0.26089   0.25386  -0.1235   0.1473   1.0000
  20.000   1.0377   0.26919   0.26227  -0.1224   0.1414   1.0000
   0.000   0.1667   0.02503   0.01582  -0.0563   0.9161   1.0000
  -0.250   0.1208   0.02427   0.01530  -0.0522   0.9323   1.0000
  -0.500   0.0732   0.02344   0.01476  -0.0477   0.9485   1.0000
  -0.750   0.0242   0.02257   0.01424  -0.0426   0.9646   1.0000
  -1.000  -0.0268   0.02165   0.01376  -0.0370   0.9805   1.0000
  -1.250  -0.0827   0.02064   0.01334  -0.0302   0.9960   1.0000
  -1.500  -0.1150   0.02006   0.01338  -0.0272   1.0000   1.0000
  -1.750  -0.1388   0.02088   0.01388  -0.0285   1.0000   0.6955
  -1.750  -0.1388   0.02088   0.01388  -0.0285   1.0000   0.6955
  -1.850  -0.1395   0.02122   0.01380  -0.0312   1.0000   0.6155
  -1.950  -0.1429   0.02162   0.01374  -0.0331   1.0000   0.5372
  -2.250  -0.1640   0.02317   0.01408  -0.0356   1.0000   0.3354
  -2.500  -0.1853   0.02450   0.01484  -0.0364   1.0000   0.2324
  -2.750  -0.2062   0.02566   0.01577  -0.0372   1.0000   0.1798
  -3.000  -0.2280   0.02689   0.01699  -0.0379   1.0000   0.1551
  -3.250  -0.2503   0.02825   0.01850  -0.0386   1.0000   0.1400
  -3.500  -0.2711   0.02966   0.01990  -0.0392   1.0000   0.1303
  -3.750  -0.2942   0.03164   0.02240  -0.0398   1.0000   0.1267
  -4.000  -0.3161   0.03389   0.02516  -0.0402   1.0000   0.1238
  -4.250  -0.3356   0.03619   0.02786  -0.0406   1.0000   0.1208
  -4.500  -0.3537   0.03888   0.03097  -0.0408   1.0000   0.1200
  -4.750  -0.3703   0.04263   0.03526  -0.0405   1.0000   0.1235
  -5.000  -0.3834   0.04608   0.03895  -0.0408   1.0000   0.1276
  -5.250  -0.3938   0.05160   0.04508  -0.0389   1.0000   0.1409
  -5.500  -0.4020   0.05686   0.05055  -0.0382   1.0000   0.1588
  -5.500  -0.3648   0.07240   0.06692  -0.0009   1.0000   0.3942
  -6.000  -0.3661   0.07734   0.07164  -0.0058   1.0000   0.3621
  -6.000  -0.3661   0.07734   0.07164  -0.0058   1.0000   0.3621
  -6.100  -0.3460   0.07687   0.07102  -0.0059   1.0000   0.3528
  -6.200  -0.3536   0.07828   0.07242  -0.0064   1.0000   0.3488
  -6.500  -0.3538   0.08134   0.07534  -0.0079   1.0000   0.3330
  -6.750  -0.3483   0.08351   0.07737  -0.0086   1.0000   0.3201
  -7.000  -0.3503   0.08631   0.08007  -0.0090   1.0000   0.3086
  -7.250  -0.3732   0.09098   0.08474  -0.0101   1.0000   0.2981
  -7.250  -0.3732   0.09098   0.08474  -0.0101   1.0000   0.2981
  -7.350  -0.3553   0.09024   0.08388  -0.0092   1.0000   0.2925
  -7.450  -0.3610   0.09162   0.08526  -0.0096   1.0000   0.2870
  -7.750  -0.3621   0.09490   0.08842  -0.0091   1.0000   0.2746
  -8.000  -0.3755   0.09890   0.09239  -0.0095   1.0000   0.2656
  -8.250  -0.4012   0.10412   0.09762  -0.0111   1.0000   0.2519
  -8.500  -0.3767   0.10396   0.09728  -0.0081   1.0000   0.2442
  -8.750  -0.3943   0.10855   0.10185  -0.0088   1.0000   0.2351
  -9.000  -0.3912   0.11035   0.10357  -0.0074   1.0000   0.2250
  -9.250  -0.3976   0.11401   0.10717  -0.0068   1.0000   0.2181
  -9.500  -0.4040   0.11690   0.11002  -0.0063   1.0000   0.2087
  -9.750  -0.4141   0.12123   0.11432  -0.0058   1.0000   0.2041
 -10.000  -0.4095   0.12284   0.11585  -0.0039   1.0000   0.1965
 -10.250  -0.4411   0.13023   0.12329  -0.0056   1.0000   0.1900
 -10.500  -0.4217   0.12970   0.12263  -0.0020   1.0000   0.1860
 -10.750  -0.4294   0.13294   0.12585  -0.0012   1.0000   0.1787
 -11.000  -0.4515   0.13947   0.13238  -0.0019   1.0000   0.1744
 -11.250  -0.4385   0.13947   0.13229   0.0013   1.0000   0.1703
 -11.500  -0.4461   0.14275   0.13554   0.0022   1.0000   0.1639
 -11.750  -0.4739   0.15069   0.14351   0.0011   1.0000   0.1595
 -12.000  -0.4598   0.15001   0.14274   0.0045   1.0000   0.1571
 -12.250  -0.4623   0.15234   0.14504   0.0062   1.0000   0.1514
 -12.500  -0.4846   0.15867   0.15141   0.0055   1.0000   0.1456
 -12.750  -0.4867   0.16166   0.15434   0.0074   1.0000   0.1436
 -13.000  -0.4824   0.16234   0.15496   0.0101   1.0000   0.1395
 -13.250  -0.4905   0.16553   0.15814   0.0112   1.0000   0.1345
 -13.500  -0.5220   0.17568   0.16832   0.0098   1.0000   0.1297
 -13.750  -0.5113   0.17431   0.16689   0.0132   1.0000   0.1285
 -14.000  -0.5111   0.17541   0.16794   0.0158   1.0000   0.1251
 -14.250  -0.5184   0.17839   0.17091   0.0173   1.0000   0.1212
 -14.500  -0.5309   0.18269   0.17521   0.0180   1.0000   0.1176
 -14.750  -0.5562   0.19270   0.18525   0.0174   1.0000   0.1150
 -15.000  -0.5495   0.19114   0.18363   0.0207   1.0000   0.1141
 -15.250  -0.5504   0.19180   0.18425   0.0235   1.0000   0.1114
 -15.500  -0.5575   0.19448   0.18691   0.0254   1.0000   0.1082
 -15.750  -0.5670   0.19793   0.19036   0.0267   1.0000   0.1049
 -16.000  -0.5815   0.20332   0.19576   0.0272   1.0000   0.1022
 -16.250  -0.6002   0.21231   0.20475   0.0274   1.0000   0.1005
 -16.500  -0.5975   0.21064   0.20304   0.0308   1.0000   0.0998
 -16.750  -0.6006   0.21114   0.20350   0.0337   1.0000   0.0978
 -17.000  -0.6079   0.21354   0.20590   0.0359   1.0000   0.0950
 -17.250  -0.6170   0.21669   0.20905   0.0375   1.0000   0.0917
 -17.500  -0.6288   0.22105   0.21341   0.0385   1.0000   0.0889
 -17.750  -0.6526   0.23383   0.22623   0.0377   1.0000   0.0867
 -18.000  -0.6518   0.23171   0.22406   0.0410   1.0000   0.0863
 -18.250  -0.6541   0.23091   0.22322   0.0443   1.0000   0.0852
 -18.500  -0.6605   0.23244   0.22474   0.0469   1.0000   0.0832
 -18.750  -0.6690   0.23512   0.22741   0.0490   1.0000   0.0809
 -19.000  -0.6780   0.23815   0.23043   0.0509   1.0000   0.0787
 -19.250  -0.6879   0.24155   0.23385   0.0526   1.0000   0.0768
 -19.500  -0.6993   0.24620   0.23852   0.0537   1.0000   0.0750
 -19.750  -0.7220   0.26117   0.25352   0.0529   1.0000   0.0735
 -20.000  -0.7233   0.25867   0.25097   0.0563   1.0000   0.0732
