  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL 3024    9.84%                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0140   0.02511   0.01588  -0.0346   1.0000   1.0000
   0.250   0.0327   0.02578   0.01629  -0.0344   1.0000   1.0000
   0.500   0.0661   0.02691   0.01713  -0.0370   0.9937   1.0000
   0.750   0.1104   0.02829   0.01821  -0.0416   0.9803   1.0000
   1.000   0.1522   0.02960   0.01929  -0.0456   0.9664   1.0000
   1.250   0.1923   0.03086   0.02037  -0.0492   0.9519   1.0000
   1.500   0.2304   0.03205   0.02139  -0.0523   0.9373   1.0000
   1.750   0.2676   0.03320   0.02243  -0.0552   0.9222   1.0000
   2.000   0.3036   0.03431   0.02343  -0.0577   0.9069   1.0000
   2.250   0.3397   0.03537   0.02442  -0.0601   0.8912   1.0000
   2.500   0.3759   0.03639   0.02539  -0.0623   0.8752   1.0000
   2.750   0.4121   0.03736   0.02634  -0.0644   0.8592   1.0000
   3.000   0.4497   0.03825   0.02722  -0.0665   0.8431   1.0000
   3.250   0.4790   0.03909   0.02806  -0.0674   0.8263   1.0000
   3.500   0.5058   0.03989   0.02889  -0.0677   0.8088   1.0000
   3.750   0.5357   0.04065   0.02971  -0.0684   0.7915   1.0000
   4.000   0.5690   0.04129   0.03040  -0.0693   0.7742   1.0000
   4.250   0.6048   0.04179   0.03097  -0.0703   0.7574   1.0000
   4.500   0.6440   0.04206   0.03138  -0.0715   0.7409   1.0000
   4.750   0.6702   0.04261   0.03201  -0.0711   0.7227   1.0000
   5.000   0.6958   0.04311   0.03262  -0.0705   0.7038   1.0000
   5.250   0.7315   0.04312   0.03281  -0.0707   0.6863   1.0000
   5.500   0.7741   0.04256   0.03243  -0.0711   0.6695   1.0000
   5.750   0.8245   0.04123   0.03131  -0.0716   0.6535   1.0000
   6.000   0.8490   0.04127   0.03150  -0.0700   0.6337   1.0000
   6.250   0.8876   0.04020   0.03068  -0.0690   0.6152   1.0000
   6.500   0.9406   0.03791   0.02863  -0.0687   0.5974   1.0000
   6.750   0.9867   0.03609   0.02704  -0.0678   0.5768   1.0000
   7.000   1.0291   0.03454   0.02565  -0.0668   0.5530   1.0000
   7.250   1.0609   0.03392   0.02518  -0.0652   0.5268   1.0000
   7.500   1.0932   0.03338   0.02470  -0.0637   0.4988   1.0000
   7.750   1.1218   0.03325   0.02460  -0.0620   0.4694   1.0000
   8.000   1.1469   0.03350   0.02485  -0.0602   0.4397   1.0000
   8.250   1.1695   0.03401   0.02537  -0.0583   0.4099   1.0000
   8.500   1.1901   0.03479   0.02614  -0.0563   0.3805   1.0000
   8.750   1.2089   0.03580   0.02714  -0.0543   0.3519   1.0000
   9.000   1.2260   0.03696   0.02827  -0.0522   0.3238   1.0000
   9.250   1.2422   0.03828   0.02958  -0.0501   0.2964   1.0000
   9.500   1.2576   0.03971   0.03098  -0.0480   0.2694   1.0000
   9.750   1.2714   0.04122   0.03241  -0.0457   0.2423   1.0000
  10.000   1.2799   0.04270   0.03378  -0.0429   0.2145   1.0000
  10.250   1.2802   0.04375   0.03465  -0.0395   0.1870   1.0000
  10.500   1.2721   0.04535   0.03638  -0.0354   0.1652   1.0000
  10.750   1.2702   0.04740   0.03829  -0.0321   0.1430   1.0000
  11.000   1.2685   0.05007   0.04102  -0.0289   0.1255   1.0000
  11.250   1.2697   0.05297   0.04398  -0.0263   0.1124   1.0000
  11.500   1.2735   0.05640   0.04758  -0.0241   0.1029   1.0000
  11.750   1.2770   0.05994   0.05136  -0.0222   0.0971   1.0000
  12.000   1.2810   0.06397   0.05553  -0.0207   0.0929   1.0000
  12.250   1.2634   0.06786   0.05983  -0.0181   0.0918   1.0000
  12.500   1.2440   0.07207   0.06437  -0.0163   0.0911   1.0000
  12.750   1.2227   0.07683   0.06944  -0.0154   0.0911   1.0000
  13.000   1.1984   0.08215   0.07501  -0.0154   0.0913   1.0000
  13.250   1.1744   0.08805   0.08113  -0.0164   0.0920   1.0000
  13.500   1.1486   0.09468   0.08794  -0.0184   0.0928   1.0000
  13.750   1.1245   0.10195   0.09533  -0.0213   0.0935   1.0000
  13.750   1.1245   0.10195   0.09533  -0.0213   0.0935   1.0000
  13.850   1.1149   0.10503   0.09845  -0.0226   0.0938   1.0000
  14.250   0.9614   0.15061   0.14385  -0.0548   0.1340   1.0000
  14.500   0.9546   0.15832   0.15151  -0.0583   0.1337   1.0000
  14.750   0.9529   0.16527   0.15844  -0.0610   0.1332   1.0000
  14.750   0.9534   0.16511   0.15826  -0.0608   0.1327   1.0000
  15.500   0.6954   0.17771   0.17137  -0.0679   0.2553   1.0000
  15.750   0.7020   0.18154   0.17524  -0.0684   0.2423   1.0000
  16.000   0.7117   0.18596   0.17972  -0.0688   0.2292   1.0000
  16.250   0.7039   0.18706   0.18083  -0.0706   0.2204   1.0000
  16.500   0.7086   0.19094   0.18476  -0.0716   0.2130   1.0000
  16.750   0.7185   0.19511   0.18898  -0.0720   0.2030   1.0000
  17.000   0.7148   0.19773   0.19160  -0.0740   0.1991   1.0000
  17.250   0.7205   0.20098   0.19489  -0.0748   0.1900   1.0000
  17.500   0.7245   0.20502   0.19895  -0.0761   0.1862   1.0000
  17.750   0.7222   0.20710   0.20105  -0.0779   0.1793   1.0000
  18.000   0.7423   0.21420   0.20823  -0.0775   0.1740   1.0000
  18.250   0.7328   0.21500   0.20900  -0.0802   0.1720   1.0000
  18.500   0.7322   0.21739   0.21142  -0.0820   0.1660   1.0000
  18.750   0.7549   0.22567   0.21976  -0.0812   0.1600   1.0000
  19.000   0.7422   0.22503   0.21911  -0.0843   0.1578   1.0000
  19.250   0.7434   0.22772   0.22183  -0.0860   0.1514   1.0000
  19.500   0.7579   0.23364   0.22784  -0.0860   0.1470   1.0000
  19.750   0.7570   0.23661   0.23081  -0.0880   0.1455   1.0000
  20.000   0.7538   0.23839   0.23260  -0.0903   0.1416   1.0000
   0.000   0.0140   0.02511   0.01588  -0.0346   1.0000   1.0000
  -0.250  -0.0049   0.02449   0.01558  -0.0349   1.0000   1.0000
  -0.500  -0.0243   0.02391   0.01536  -0.0351   1.0000   1.0000
  -0.750  -0.0442   0.02338   0.01526  -0.0355   1.0000   1.0000
  -1.000  -0.0649   0.02289   0.01537  -0.0358   1.0000   1.0000
  -1.250  -0.0920   0.02626   0.01639  -0.0379   1.0000   0.3096
  -1.500  -0.1203   0.02784   0.01730  -0.0379   1.0000   0.1867
  -1.750  -0.1443   0.02892   0.01839  -0.0387   1.0000   0.1507
  -2.000  -0.1685   0.03007   0.01968  -0.0393   1.0000   0.1339
  -2.250  -0.1916   0.03136   0.02110  -0.0399   1.0000   0.1238
  -2.500  -0.2171   0.03300   0.02324  -0.0404   1.0000   0.1202
  -2.750  -0.2424   0.03493   0.02565  -0.0407   1.0000   0.1182
  -3.000  -0.2668   0.03700   0.02814  -0.0408   1.0000   0.1161
  -3.250  -0.2926   0.03973   0.03144  -0.0405   1.0000   0.1173
  -3.500  -0.3179   0.04318   0.03538  -0.0398   1.0000   0.1231
  -3.750  -0.3513   0.04880   0.04195  -0.0364   1.0000   0.1476
  -3.750  -0.3783   0.05448   0.04846  -0.0277   1.0000   0.2215
  -3.850  -0.3751   0.05405   0.04778  -0.0313   1.0000   0.1978
  -4.250  -0.4505   0.07130   0.06632   0.0105   1.0000   0.4139
  -4.500  -0.4455   0.07329   0.06825   0.0077   1.0000   0.3867
  -4.750  -0.4509   0.07616   0.07106   0.0034   1.0000   0.3674
  -5.000  -0.4397   0.07800   0.07283   0.0022   1.0000   0.3464
  -5.250  -0.4343   0.08016   0.07492  -0.0001   1.0000   0.3298
  -5.500  -0.4290   0.08241   0.07710  -0.0025   1.0000   0.3155
  -5.750  -0.4311   0.08518   0.07983  -0.0055   1.0000   0.3040
  -6.000  -0.4357   0.08826   0.08285  -0.0090   1.0000   0.2902
  -6.250  -0.4040   0.08824   0.08269  -0.0097   1.0000   0.2810
  -6.500  -0.3977   0.09054   0.08491  -0.0124   1.0000   0.2722
  -6.750  -0.4107   0.09423   0.08857  -0.0157   1.0000   0.2598
