  
       XFOIL         Version 6.99
  
 Calculated polar for: S3025 9.38%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1078   0.02584   0.01659  -0.0517   0.9668   1.0000
   0.250   0.1485   0.02681   0.01723  -0.0553   0.9546   1.0000
   0.500   0.1896   0.02776   0.01787  -0.0588   0.9425   1.0000
   0.750   0.2303   0.02868   0.01855  -0.0622   0.9302   1.0000
   1.000   0.2647   0.02948   0.01917  -0.0644   0.9171   1.0000
   1.250   0.2982   0.03029   0.01981  -0.0664   0.9039   1.0000
   1.500   0.3317   0.03109   0.02049  -0.0683   0.8905   1.0000
   1.750   0.3644   0.03190   0.02120  -0.0699   0.8770   1.0000
   2.000   0.3969   0.03270   0.02192  -0.0715   0.8634   1.0000
   2.250   0.4295   0.03349   0.02266  -0.0729   0.8495   1.0000
   2.500   0.4615   0.03427   0.02340  -0.0742   0.8354   1.0000
   2.750   0.4936   0.03504   0.02416  -0.0754   0.8210   1.0000
   3.000   0.5252   0.03578   0.02489  -0.0764   0.8065   1.0000
   3.250   0.5569   0.03648   0.02562  -0.0772   0.7915   1.0000
   3.500   0.5879   0.03718   0.02635  -0.0779   0.7766   1.0000
   3.750   0.6195   0.03781   0.02706  -0.0785   0.7613   1.0000
   4.000   0.6517   0.03836   0.02768  -0.0790   0.7459   1.0000
   4.250   0.6852   0.03881   0.02821  -0.0795   0.7304   1.0000
   4.500   0.7207   0.03909   0.02864  -0.0800   0.7149   1.0000
   4.750   0.7564   0.03923   0.02890  -0.0802   0.6993   1.0000
   5.000   0.7924   0.03919   0.02899  -0.0801   0.6837   1.0000
   5.250   0.8295   0.03895   0.02890  -0.0798   0.6682   1.0000
   5.500   0.8530   0.03942   0.02954  -0.0784   0.6502   1.0000
   5.750   0.8749   0.03994   0.03020  -0.0769   0.6314   1.0000
   6.000   0.9095   0.03952   0.02995  -0.0759   0.6139   1.0000
   6.250   0.9500   0.03850   0.02915  -0.0749   0.5966   1.0000
   6.500   0.9840   0.03787   0.02869  -0.0736   0.5777   1.0000
   6.750   1.0066   0.03806   0.02904  -0.0716   0.5565   1.0000
   7.000   1.0540   0.03619   0.02734  -0.0707   0.5364   1.0000
   7.250   1.0713   0.03673   0.02805  -0.0684   0.5129   1.0000
   7.500   1.1038   0.03601   0.02744  -0.0668   0.4890   1.0000
   7.750   1.1385   0.03512   0.02661  -0.0652   0.4632   1.0000
   8.000   1.1634   0.03507   0.02663  -0.0633   0.4361   1.0000
   8.250   1.1853   0.03535   0.02697  -0.0612   0.4082   1.0000
   8.500   1.2068   0.03578   0.02741  -0.0591   0.3797   1.0000
   8.750   1.2277   0.03632   0.02796  -0.0570   0.3504   1.0000
   9.000   1.2474   0.03709   0.02865  -0.0549   0.3207   1.0000
   9.250   1.2628   0.03819   0.02969  -0.0525   0.2910   1.0000
   9.500   1.2740   0.03955   0.03104  -0.0498   0.2615   1.0000
   9.750   1.2803   0.04094   0.03241  -0.0466   0.2313   1.0000
  10.000   1.2800   0.04208   0.03344  -0.0429   0.2010   1.0000
  10.250   1.2756   0.04346   0.03468  -0.0391   0.1734   1.0000
  10.500   1.2743   0.04566   0.03676  -0.0358   0.1482   1.0000
  10.750   1.2823   0.04858   0.03936  -0.0336   0.1250   1.0000
  11.000   1.2872   0.05171   0.04260  -0.0313   0.1113   1.0000
  11.250   1.2844   0.05472   0.04598  -0.0283   0.1034   1.0000
  11.500   1.2916   0.05851   0.04994  -0.0268   0.0971   1.0000
  11.750   1.2826   0.06232   0.05417  -0.0241   0.0945   1.0000
  12.000   1.2729   0.06625   0.05844  -0.0220   0.0927   1.0000
  12.250   1.2599   0.07043   0.06291  -0.0204   0.0917   1.0000
  12.500   1.2404   0.07506   0.06784  -0.0194   0.0914   1.0000
  12.750   1.2123   0.08057   0.07364  -0.0197   0.0922   1.0000
  13.000   1.1792   0.08724   0.08057  -0.0217   0.0938   1.0000
  13.250   1.1471   0.09481   0.08832  -0.0250   0.0956   1.0000
  13.500   1.1177   0.10316   0.09679  -0.0292   0.0972   1.0000
  13.750   1.0917   0.11206   0.10575  -0.0338   0.0986   1.0000
  13.750   1.0774   0.11463   0.10836  -0.0364   0.1009   1.0000
  13.850   1.0752   0.11710   0.11083  -0.0372   0.1003   1.0000
  13.950   1.0732   0.11958   0.11332  -0.0379   0.0997   1.0000
  15.250   0.7095   0.17670   0.17046  -0.0733   0.2567   1.0000
  15.500   0.7141   0.18031   0.17412  -0.0741   0.2451   1.0000
  15.750   0.7227   0.18454   0.17840  -0.0746   0.2333   1.0000
  16.000   0.7369   0.18993   0.18386  -0.0747   0.2206   1.0000
  16.250   0.7223   0.19011   0.18403  -0.0772   0.2160   1.0000
  16.500   0.7412   0.19652   0.19051  -0.0770   0.2065   1.0000
  16.750   0.7286   0.19692   0.19090  -0.0796   0.2022   1.0000
  17.000   0.7415   0.20174   0.19579  -0.0798   0.1940   1.0000
  17.250   0.7380   0.20434   0.19838  -0.0818   0.1907   1.0000
  17.500   0.7415   0.20728   0.20136  -0.0829   0.1821   1.0000
  17.750   0.7497   0.21221   0.20632  -0.0838   0.1782   1.0000
  18.000   0.7447   0.21382   0.20795  -0.0860   0.1734   1.0000
  18.250   0.7530   0.21792   0.21212  -0.0868   0.1677   1.0000
  18.500   0.7630   0.22359   0.21782  -0.0875   0.1650   1.0000
  18.750   0.7556   0.22450   0.21873  -0.0901   0.1612   1.0000
  19.000   0.7623   0.22832   0.22260  -0.0910   0.1545   1.0000
  19.250   0.7710   0.23362   0.22792  -0.0918   0.1512   1.0000
  19.500   0.7662   0.23503   0.22934  -0.0943   0.1471   1.0000
  19.750   0.7719   0.23869   0.23305  -0.0954   0.1418   1.0000
  20.000   0.7894   0.24685   0.24126  -0.0951   0.1385   1.0000
   0.000   0.1078   0.02584   0.01659  -0.0517   0.9667   1.0000
  -0.250   0.0662   0.02484   0.01601  -0.0480   0.9788   1.0000
  -0.500   0.0222   0.02379   0.01551  -0.0437   0.9906   1.0000
  -0.750  -0.0193   0.02279   0.01520  -0.0400   1.0000   1.0000
  -1.000  -0.0383   0.02524   0.01599  -0.0429   1.0000   0.3591
  -1.250  -0.0698   0.02740   0.01708  -0.0424   1.0000   0.1755
  -1.500  -0.0934   0.02828   0.01792  -0.0429   1.0000   0.1428
  -1.750  -0.1161   0.02931   0.01911  -0.0437   1.0000   0.1293
  -2.000  -0.1393   0.03044   0.02048  -0.0441   1.0000   0.1193
  -2.250  -0.1622   0.03171   0.02203  -0.0445   1.0000   0.1137
  -2.500  -0.1867   0.03350   0.02421  -0.0448   1.0000   0.1129
  -2.750  -0.2139   0.03584   0.02724  -0.0446   1.0000   0.1162
