  
       XFOIL         Version 6.99
  
 Calculated polar for: S4094 (root airfoil designed for and used on the
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1414   0.02314   0.01321  -0.0407   0.9988   1.0012
   0.250   0.1943   0.02359   0.01348  -0.0472   0.9851   1.0012
   0.500   0.2567   0.02376   0.01350  -0.0549   0.9665   1.0012
   0.750   0.3168   0.02379   0.01343  -0.0619   0.9468   1.0012
   1.000   0.3813   0.02363   0.01321  -0.0693   0.9286   1.0012
   1.250   0.4360   0.02356   0.01311  -0.0743   0.9086   1.0012
   1.250   0.4360   0.02356   0.01311  -0.0743   0.9086   1.0012
   1.350   0.4537   0.02361   0.01315  -0.0755   0.8994   1.0012
   1.450   0.4705   0.02368   0.01321  -0.0765   0.8904   1.0012
   1.750   0.5172   0.02391   0.01341  -0.0781   0.8643   1.0012
   2.000   0.5468   0.02435   0.01384  -0.0778   0.8404   1.0012
   2.250   0.5754   0.02477   0.01424  -0.0770   0.8183   1.0012
   2.500   0.6008   0.02529   0.01476  -0.0757   0.7950   1.0012
   2.750   0.6258   0.02578   0.01525  -0.0741   0.7733   1.0012
   3.000   0.6499   0.02635   0.01583  -0.0726   0.7501   1.0012
   3.250   0.6739   0.02683   0.01628  -0.0707   0.7291   1.0012
   3.500   0.6978   0.02745   0.01693  -0.0694   0.7056   1.0012
   3.750   0.7218   0.02787   0.01734  -0.0674   0.6854   1.0012
   4.000   0.7460   0.02856   0.01808  -0.0663   0.6612   1.0012
   4.250   0.7703   0.02897   0.01846  -0.0644   0.6409   1.0012
   4.500   0.7948   0.02967   0.01926  -0.0634   0.6168   1.0012
   4.750   0.8195   0.03006   0.01962  -0.0616   0.5962   1.0012
   5.000   0.8441   0.03078   0.02042  -0.0607   0.5723   1.0012
   5.250   0.8692   0.03116   0.02078  -0.0591   0.5516   1.0012
   5.500   0.8939   0.03191   0.02166  -0.0582   0.5277   1.0012
   5.750   0.9193   0.03228   0.02199  -0.0567   0.5069   1.0012
   6.000   0.9440   0.03307   0.02290  -0.0559   0.4830   1.0012
   6.250   0.9696   0.03347   0.02325  -0.0545   0.4625   1.0012
   6.500   0.9940   0.03436   0.02431  -0.0537   0.4388   1.0012
   6.750   1.0197   0.03486   0.02475  -0.0525   0.4184   1.0012
   7.000   1.0435   0.03596   0.02601  -0.0518   0.3952   1.0012
   7.250   1.0689   0.03668   0.02672  -0.0507   0.3748   1.0012
   7.500   1.0921   0.03800   0.02820  -0.0500   0.3531   1.0012
   7.750   1.1162   0.03911   0.02936  -0.0491   0.3328   1.0012
   8.000   1.1407   0.04021   0.03043  -0.0482   0.3139   1.0012
   8.250   1.1610   0.04219   0.03273  -0.0476   0.2943   1.0012
   8.500   1.1829   0.04379   0.03447  -0.0467   0.2762   1.0012
   8.750   1.2047   0.04552   0.03630  -0.0459   0.2597   1.0012
   9.000   1.2262   0.04723   0.03807  -0.0450   0.2436   1.0012
   9.250   1.2445   0.04964   0.04072  -0.0442   0.2294   1.0012
   9.500   1.2604   0.05216   0.04352  -0.0432   0.2156   1.0012
   9.750   1.2654   0.05640   0.04829  -0.0421   0.2055   1.0012
  10.000   1.2756   0.05967   0.05181  -0.0410   0.1952   1.0012
  10.250   1.2931   0.06194   0.05412  -0.0399   0.1840   1.0012
  10.500   1.2709   0.06879   0.06162  -0.0385   0.1812   1.0012
  10.750   1.2391   0.07618   0.06940  -0.0375   0.1808   1.0012
  11.000   1.1962   0.08422   0.07762  -0.0373   0.1828   1.0012
  11.250   1.1550   0.09306   0.08650  -0.0391   0.1846   1.0012
  11.250   1.1550   0.09306   0.08650  -0.0391   0.1846   1.0012
  11.350   1.1407   0.09710   0.09054  -0.0408   0.1851   1.0012
  12.250   0.6763   0.15306   0.14586  -0.0636   0.3410   1.0012
  12.500   0.6956   0.15803   0.15092  -0.0638   0.3288   1.0012
  12.750   0.6775   0.15774   0.15064  -0.0637   0.3191   1.0012
  13.000   0.6840   0.16153   0.15449  -0.0642   0.3127   1.0012
  13.250   0.6825   0.16348   0.15649  -0.0645   0.3035   1.0012
  13.500   0.6854   0.16685   0.15990  -0.0650   0.2978   1.0012
  13.750   0.7091   0.17296   0.16614  -0.0650   0.2855   1.0012
  14.000   0.6844   0.17133   0.16447  -0.0660   0.2794   1.0012
  14.250   0.7126   0.17875   0.17205  -0.0660   0.2711   1.0012
  14.500   0.6893   0.17719   0.17045  -0.0673   0.2662   1.0012
  14.750   0.7156   0.18446   0.17783  -0.0671   0.2565   1.0012
  15.000   0.6939   0.18280   0.17615  -0.0687   0.2510   1.0012
  15.250   0.7186   0.19010   0.18356  -0.0684   0.2420   1.0012
  15.500   0.6993   0.18876   0.18221  -0.0702   0.2374   1.0012
  15.750   0.7248   0.19658   0.19014  -0.0698   0.2278   1.0012
  16.000   0.7048   0.19481   0.18834  -0.0718   0.2235   1.0012
  16.250   0.7300   0.20294   0.19657  -0.0713   0.2135   1.0012
  16.500   0.7109   0.20119   0.19480  -0.0734   0.2101   1.0012
  16.750   0.7328   0.20877   0.20249  -0.0729   0.1993   1.0012
  17.000   0.7157   0.20732   0.20103  -0.0752   0.1955   1.0012
  17.250   0.7249   0.21148   0.20525  -0.0755   0.1869   1.0012
  17.500   0.7227   0.21418   0.20795  -0.0770   0.1827   1.0012
  17.750   0.7261   0.21708   0.21089  -0.0778   0.1743   1.0012
  18.000   0.7334   0.22206   0.21589  -0.0784   0.1703   1.0012
  18.250   0.7282   0.22323   0.21706  -0.0803   0.1641   1.0012
  18.500   0.7480   0.23121   0.22510  -0.0796   0.1573   1.0012
  18.750   0.7364   0.23066   0.22454  -0.0821   0.1551   1.0012
  19.000   0.7370   0.23324   0.22714  -0.0835   0.1492   1.0012
  19.250   0.7565   0.24153   0.23550  -0.0828   0.1436   1.0012
  19.500   0.7454   0.24084   0.23478  -0.0854   0.1417   1.0012
  19.750   0.7456   0.24333   0.23731  -0.0869   0.1364   1.0012
  20.000   0.7538   0.24770   0.24173  -0.0873   0.1319   1.0012
   0.000   0.1721   0.00859  -0.00054  -0.0492   0.9582   1.0012
  -0.250   0.1157   0.00845  -0.00044  -0.0427   0.9751   1.0012
  -0.500   0.0597   0.00824  -0.00035  -0.0360   0.9918   1.0012
  -0.750   0.0245   0.00773  -0.00062  -0.0325   0.9988   1.0012
  -1.000   0.0089   0.00706  -0.00111  -0.0324   0.9988   1.0012
  -1.250  -0.0069   0.00651  -0.00146  -0.0323   0.9988   1.0012
  -1.500  -0.0228   0.00607  -0.00165  -0.0323   0.9988   1.0012
  -1.750  -0.0392   0.00575  -0.00167  -0.0324   0.9988   1.0012
  -2.000  -0.0564   0.00556  -0.00147  -0.0325   0.9988   1.0012
  -2.250  -0.0826   0.00517  -0.00142  -0.0310   0.9988   0.8322
  -2.500  -0.0798   0.00681  -0.00102  -0.0397   0.9988   0.5795
  -2.750  -0.0944   0.00920   0.00014  -0.0430   0.9988   0.3951
  -3.000  -0.1165   0.01144   0.00176  -0.0442   0.9988   0.2871
  -3.250  -0.1399   0.01353   0.00342  -0.0451   0.9988   0.2131
  -3.500  -0.1638   0.02576   0.01472  -0.0473   0.9988   0.1748
  -3.750  -0.1938   0.02770   0.01686  -0.0474   0.9988   0.1519
  -4.000  -0.2240   0.02987   0.01923  -0.0473   0.9988   0.1396
  -4.250  -0.2528   0.03215   0.02150  -0.0470   0.9988   0.1299
  -4.500  -0.2861   0.03509   0.02509  -0.0461   0.9988   0.1278
  -4.750  -0.3186   0.03861   0.02912  -0.0448   0.9988   0.1284
  -5.000  -0.3498   0.04250   0.03345  -0.0433   0.9988   0.1295
  -5.000  -0.3498   0.04250   0.03345  -0.0433   0.9988   0.1295
  -5.100  -0.3619   0.04414   0.03523  -0.0427   0.9988   0.1298
  -5.500  -0.4135   0.05305   0.04513  -0.0377   0.9988   0.1448
  -5.750  -0.4805   0.07767   0.07165   0.0160   0.9988   0.3790
  -6.000  -0.4941   0.08118   0.07515   0.0142   0.9988   0.3563
  -6.250  -0.5098   0.08537   0.07930   0.0119   0.9988   0.3391
  -6.500  -0.5049   0.08823   0.08209   0.0156   0.9988   0.3166
  -6.750  -0.5111   0.09184   0.08564   0.0160   0.9988   0.3008
  -7.000  -0.5159   0.09547   0.08922   0.0165   0.9988   0.2868
  -7.250  -0.5229   0.09933   0.09303   0.0165   0.9988   0.2752
  -7.500  -0.5433   0.10418   0.09788   0.0145   0.9988   0.2631
  -7.500  -0.5433   0.10418   0.09788   0.0145   0.9988   0.2631
  -7.600  -0.5241   0.10409   0.09770   0.0169   0.9988   0.2597
  -7.700  -0.5231   0.10519   0.09877   0.0172   0.9988   0.2545
  -8.000  -0.5260   0.10954   0.10305   0.0178   0.9988   0.2432
  -8.250  -0.5447   0.11448   0.10799   0.0166   0.9988   0.2327
  -8.500  -0.5358   0.11667   0.11009   0.0185   0.9988   0.2227
  -8.750  -0.5388   0.12052   0.11390   0.0193   0.9988   0.2153
  -9.000  -0.5673   0.12674   0.12015   0.0168   0.9988   0.2037
  -9.250  -0.5441   0.12747   0.12075   0.0212   0.9988   0.1990
  -9.500  -0.5642   0.13259   0.12590   0.0199   0.9988   0.1900
  -9.750  -0.5560   0.13525   0.12846   0.0226   0.9988   0.1863
 -10.000  -0.5575   0.13823   0.13141   0.0241   0.9988   0.1789
 -10.250  -0.5808   0.14495   0.13814   0.0226   0.9988   0.1737
 -10.500  -0.5658   0.14568   0.13878   0.0265   0.9988   0.1696
 -10.750  -0.5731   0.14931   0.14239   0.0273   0.9988   0.1631
 -11.000  -0.5939   0.15612   0.14921   0.0263   0.9988   0.1589
 -11.250  -0.5816   0.15666   0.14967   0.0301   0.9988   0.1555
 -11.500  -0.5867   0.15991   0.15290   0.0314   0.9988   0.1498
 -11.750  -0.6171   0.16890   0.16195   0.0291   0.9988   0.1445
 -12.000  -0.6037   0.16857   0.16153   0.0333   0.9988   0.1430
 -12.250  -0.6031   0.17054   0.16346   0.0357   0.9988   0.1380
 -12.500  -0.6161   0.17510   0.16803   0.0359   0.9988   0.1323
 -12.750  -0.6301   0.18132   0.17423   0.0363   0.9988   0.1294
 -13.000  -0.6243   0.18155   0.17440   0.0398   0.9988   0.1266
 -13.250  -0.6300   0.18447   0.17730   0.0416   0.9988   0.1219
 -13.500  -0.6429   0.18922   0.18206   0.0420   0.9988   0.1178
 -13.750  -0.6636   0.19792   0.19076   0.0415   0.9988   0.1154
 -14.000  -0.6575   0.19707   0.18985   0.0454   0.9988   0.1142
 -14.250  -0.6597   0.19853   0.19128   0.0482   0.9988   0.1111
 -14.500  -0.6673   0.20168   0.19444   0.0500   0.9988   0.1075
 -14.750  -0.6784   0.20588   0.19865   0.0510   0.9988   0.1042
 -15.000  -0.7066   0.21865   0.21146   0.0492   0.9988   0.1013
 -15.250  -0.7019   0.21691   0.20966   0.0531   0.9988   0.1008
 -15.500  -0.7023   0.21662   0.20932   0.0567   0.9988   0.0992
 -15.750  -0.7085   0.21877   0.21145   0.0593   0.9988   0.0963
 -16.000  -0.7172   0.22195   0.21462   0.0612   0.9988   0.0931
 -16.250  -0.7281   0.22608   0.21876   0.0624   0.9988   0.0901
 -16.500  -0.7538   0.24018   0.23289   0.0605   0.9988   0.0873
 -16.750  -0.7514   0.23745   0.23010   0.0646   0.9988   0.0868
 -17.000  -0.7540   0.23672   0.22934   0.0684   0.9988   0.0855
 -17.250  -0.7612   0.23867   0.23131   0.0713   0.9988   0.0830
 -17.500  -0.7700   0.24169   0.23432   0.0735   0.9988   0.0805
 -17.750  -0.7796   0.24507   0.23770   0.0753   0.9988   0.0783
 -18.000  -0.7901   0.24915   0.24179   0.0768   0.9988   0.0763
 -18.250  -0.8053   0.25752   0.25019   0.0767   0.9988   0.0744
 -18.500  -0.8184   0.26562   0.25826   0.0777   0.9988   0.0736
 -18.750  -0.8210   0.26356   0.25617   0.0817   0.9988   0.0732
 -19.000  -0.8265   0.26318   0.25577   0.0854   0.9988   0.0723
 -19.250  -0.8344   0.26486   0.25744   0.0885   0.9988   0.0707
 -19.500  -0.8433   0.26755   0.26012   0.0910   0.9988   0.0688
 -19.750  -0.8526   0.27057   0.26315   0.0933   0.9988   0.0670
 -20.000  -0.8621   0.27380   0.26642   0.0954   0.9988   0.0652
