  
       XFOIL         Version 6.99
  
 Calculated polar for: S4095 (designed for the E-flite UMX ASK-21 scale
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2010   0.02214   0.01188  -0.0449   0.9990   1.0010
   0.250   0.2207   0.02352   0.01318  -0.0457   0.9990   1.0010
   0.500   0.2395   0.02502   0.01462  -0.0467   0.9990   1.0010
   0.750   0.2827   0.02566   0.01518  -0.0519   0.9884   1.0010
   1.000   0.3514   0.02526   0.01471  -0.0609   0.9670   1.0010
   1.250   0.4212   0.02464   0.01406  -0.0697   0.9455   1.0010
   1.500   0.4821   0.02418   0.01359  -0.0761   0.9213   1.0010
   1.750   0.5301   0.02406   0.01348  -0.0794   0.8945   1.0010
   2.000   0.5647   0.02434   0.01373  -0.0797   0.8663   1.0010
   2.250   0.5915   0.02486   0.01422  -0.0786   0.8375   1.0010
   2.500   0.6159   0.02545   0.01479  -0.0769   0.8093   1.0010
   2.750   0.6395   0.02607   0.01541  -0.0752   0.7821   1.0010
   3.000   0.6630   0.02667   0.01599  -0.0733   0.7563   1.0010
   3.250   0.6864   0.02724   0.01652  -0.0713   0.7317   1.0010
   3.500   0.7105   0.02790   0.01721  -0.0699   0.7053   1.0010
   3.750   0.7347   0.02852   0.01782  -0.0684   0.6806   1.0010
   4.000   0.7588   0.02909   0.01836  -0.0666   0.6568   1.0010
   4.250   0.7839   0.02978   0.01907  -0.0656   0.6311   1.0010
   4.500   0.8087   0.03038   0.01968  -0.0642   0.6076   1.0010
   4.750   0.8339   0.03101   0.02033  -0.0630   0.5831   1.0010
   5.000   0.8594   0.03172   0.02108  -0.0621   0.5583   1.0010
   5.250   0.8847   0.03227   0.02157  -0.0607   0.5361   1.0010
   5.500   0.9105   0.03306   0.02249  -0.0601   0.5106   1.0010
   5.750   0.9362   0.03372   0.02314  -0.0591   0.4880   1.0010
   6.000   0.9620   0.03446   0.02393  -0.0583   0.4642   1.0010
   6.250   0.9877   0.03531   0.02488  -0.0576   0.4410   1.0010
   6.500   1.0135   0.03606   0.02562  -0.0567   0.4189   1.0010
   6.750   1.0389   0.03713   0.02680  -0.0562   0.3958   1.0010
   7.000   1.0646   0.03803   0.02770  -0.0554   0.3746   1.0010
   7.250   1.0895   0.03932   0.02915  -0.0550   0.3527   1.0010
   7.500   1.1146   0.04054   0.03045  -0.0544   0.3322   1.0010
   7.750   1.1399   0.04167   0.03153  -0.0536   0.3131   1.0010
   8.000   1.1629   0.04370   0.03390  -0.0534   0.2933   1.0010
   8.250   1.1864   0.04530   0.03566  -0.0529   0.2749   1.0010
   8.500   1.2097   0.04714   0.03761  -0.0523   0.2585   1.0010
   8.750   1.2327   0.04888   0.03943  -0.0517   0.2424   1.0010
   9.000   1.2534   0.05137   0.04218  -0.0512   0.2281   1.0010
   9.250   1.2723   0.05390   0.04497  -0.0506   0.2141   1.0010
   9.500   1.2829   0.05812   0.04979  -0.0501   0.2031   1.0010
   9.750   1.2934   0.06205   0.05407  -0.0494   0.1933   1.0010
  10.000   1.3109   0.06453   0.05664  -0.0484   0.1824   1.0010
  10.250   1.2939   0.07200   0.06483  -0.0476   0.1789   1.0010
  10.500   1.2646   0.08019   0.07346  -0.0472   0.1783   1.0010
  10.750   1.2192   0.08959   0.08308  -0.0475   0.1809   1.0010
  11.000   1.1777   0.09881   0.09233  -0.0490   0.1830   1.0010
  11.000   1.1777   0.09881   0.09233  -0.0490   0.1830   1.0010
  11.100   1.1638   0.10289   0.09639  -0.0505   0.1837   1.0010
  11.750   0.9631   0.16973   0.16249  -0.0996   0.3281   1.0010
  12.000   0.9428   0.17196   0.16467  -0.1019   0.3203   1.0010
  12.250   0.9566   0.17703   0.16981  -0.1023   0.3119   1.0010
  12.500   0.9795   0.18265   0.17556  -0.1018   0.2989   1.0010
  12.750   0.9582   0.18404   0.17686  -0.1049   0.2923   1.0010
  13.000   0.9884   0.19142   0.18440  -0.1042   0.2843   1.0010
  13.250   0.9689   0.19217   0.18508  -0.1076   0.2775   1.0010
  13.500   0.9847   0.19762   0.19061  -0.1078   0.2685   1.0010
  13.750   0.9885   0.20065   0.19368  -0.1092   0.2580   1.0010
  14.000   0.9930   0.20516   0.19823  -0.1111   0.2532   1.0010
  14.250   1.0190   0.21275   0.20596  -0.1101   0.2410   1.0010
  14.500   1.0014   0.21215   0.20527  -0.1147   0.2358   1.0010
  14.750   1.0254   0.21995   0.21319  -0.1138   0.2263   1.0010
  15.000   1.0149   0.22004   0.21322  -0.1181   0.2196   1.0010
  15.250   1.0290   0.22577   0.21901  -0.1185   0.2109   1.0010
  15.500   1.0323   0.22834   0.22159  -0.1210   0.2018   1.0010
  15.750   1.0396   0.23291   0.22616  -0.1229   0.1956   1.0010
  16.000   1.0661   0.24242   0.23578  -0.1210   0.1841   1.0010
  16.250   1.0540   0.24071   0.23399  -0.1270   0.1811   1.0010
  16.500   1.0747   0.24809   0.24149  -0.1258   0.1706   1.0010
  16.750   1.0709   0.24903   0.24236  -0.1307   0.1679   1.0010
  17.000   1.0764   0.25180   0.24513  -0.1336   0.1612   1.0010
  17.250   1.0959   0.26035   0.25374  -0.1327   0.1558   1.0010
  17.500   1.0921   0.25967   0.25300  -0.1383   0.1516   1.0010
  17.750   1.1039   0.26402   0.25740  -0.1394   0.1450   1.0010
  18.000   1.1199   0.27234   0.26575  -0.1395   0.1422   1.0010
  18.250   1.1176   0.27137   0.26473  -0.1452   0.1391   1.0010
  18.500   1.1258   0.27465   0.26803  -0.1477   0.1340   1.0010
  18.750   1.1517   0.28803   0.28150  -0.1446   0.1291   1.0010
  19.000   1.1464   0.28437   0.27777  -0.1511   0.1278   1.0010
  19.250   1.1507   0.28568   0.27907  -0.1553   0.1231   1.0010
  19.500   1.1615   0.28981   0.28326  -0.1569   0.1186   1.0010
  19.750   1.1839   0.30345   0.29697  -0.1545   0.1158   1.0010
  20.000   1.1813   0.29976   0.29323  -0.1608   0.1148   1.0010
   0.000   0.2010   0.02214   0.01188  -0.0449   0.9990   1.0010
  -0.250   0.1808   0.02093   0.01077  -0.0444   0.9990   1.0010
  -0.500   0.1594   0.01995   0.00990  -0.0441   0.9990   1.0010
  -0.750   0.1363   0.01922   0.00928  -0.0438   0.9990   1.0010
  -1.000   0.1115   0.01870   0.00890  -0.0435   0.9990   1.0010
  -1.250   0.0851   0.01835   0.00873  -0.0431   0.9990   1.0010
  -1.500   0.0577   0.01810   0.00870  -0.0426   0.9990   1.0010
  -1.750   0.0295   0.01793   0.00881  -0.0421   0.9990   1.0010
