  
       XFOIL         Version 6.99
  
 Calculated polar for: S7055 (10.5%) Flat-Bottomed                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0813   0.02893   0.01948  -0.0473   0.9456   1.0000
   0.250   0.1163   0.02986   0.02011  -0.0497   0.9331   1.0000
   0.500   0.1511   0.03081   0.02081  -0.0521   0.9205   1.0000
   0.750   0.1852   0.03175   0.02151  -0.0542   0.9080   1.0000
   1.000   0.2194   0.03268   0.02226  -0.0563   0.8953   1.0000
   1.250   0.2543   0.03362   0.02303  -0.0584   0.8829   1.0000
   1.250   0.2543   0.03362   0.02303  -0.0584   0.8829   1.0000
   1.350   0.2609   0.03392   0.02328  -0.0581   0.8771   1.0000
   1.450   0.2786   0.03431   0.02361  -0.0595   0.8724   1.0000
   1.750   0.3173   0.03539   0.02456  -0.0613   0.8571   1.0000
   2.000   0.3434   0.03627   0.02535  -0.0619   0.8440   1.0000
   2.250   0.3695   0.03716   0.02618  -0.0624   0.8307   1.0000
   2.500   0.3954   0.03808   0.02704  -0.0629   0.8177   1.0000
   2.750   0.4218   0.03899   0.02790  -0.0633   0.8044   1.0000
   3.000   0.4480   0.03991   0.02880  -0.0637   0.7913   1.0000
   3.250   0.4745   0.04082   0.02971  -0.0641   0.7782   1.0000
   3.500   0.5015   0.04171   0.03060  -0.0645   0.7651   1.0000
   3.750   0.5287   0.04259   0.03149  -0.0648   0.7519   1.0000
   4.000   0.5569   0.04343   0.03235  -0.0652   0.7389   1.0000
   4.250   0.5875   0.04418   0.03316  -0.0657   0.7260   1.0000
   4.500   0.6193   0.04482   0.03386  -0.0663   0.7132   1.0000
   4.750   0.6407   0.04577   0.03486  -0.0657   0.6993   1.0000
   5.000   0.6625   0.04670   0.03589  -0.0651   0.6854   1.0000
   5.250   0.6834   0.04770   0.03696  -0.0645   0.6716   1.0000
   5.500   0.7051   0.04863   0.03798  -0.0638   0.6576   1.0000
   5.750   0.7277   0.04951   0.03895  -0.0631   0.6435   1.0000
   6.000   0.7503   0.05036   0.03990  -0.0624   0.6293   1.0000
   6.250   0.7732   0.05116   0.04085  -0.0616   0.6150   1.0000
   6.500   0.7965   0.05191   0.04173  -0.0607   0.6007   1.0000
   6.750   0.8206   0.05254   0.04250  -0.0598   0.5863   1.0000
   7.000   0.8452   0.05309   0.04319  -0.0588   0.5719   1.0000
   7.250   0.8739   0.05317   0.04349  -0.0576   0.5574   1.0000
   7.500   0.9066   0.05280   0.04332  -0.0565   0.5430   1.0000
   7.750   0.9553   0.05092   0.04172  -0.0556   0.5284   1.0000
   8.000   1.0005   0.04919   0.04030  -0.0546   0.5124   1.0000
   8.250   0.9774   0.05332   0.04443  -0.0513   0.4954   1.0000
   8.500   1.0055   0.05288   0.04422  -0.0494   0.4780   1.0000
   8.750   1.1257   0.04428   0.03614  -0.0506   0.4534   1.0000
   9.000   1.1802   0.04152   0.03352  -0.0499   0.4264   1.0000
   9.250   1.2144   0.04043   0.03247  -0.0483   0.3983   1.0000
   9.500   1.2379   0.04012   0.03224  -0.0460   0.3694   1.0000
   9.750   1.2546   0.04029   0.03242  -0.0432   0.3398   1.0000
  10.000   1.2661   0.04071   0.03282  -0.0401   0.3093   1.0000
  10.250   1.2746   0.04134   0.03336  -0.0367   0.2782   1.0000
  10.500   1.2813   0.04221   0.03403  -0.0333   0.2468   1.0000
  10.750   1.2820   0.04361   0.03526  -0.0297   0.2186   1.0000
  11.000   1.2781   0.04556   0.03715  -0.0259   0.1946   1.0000
  11.250   1.2767   0.04759   0.03899  -0.0225   0.1715   1.0000
  11.500   1.2702   0.04998   0.04138  -0.0190   0.1538   1.0000
  11.750   1.2760   0.05259   0.04371  -0.0169   0.1334   1.0000
  12.000   1.2742   0.05542   0.04661  -0.0145   0.1203   1.0000
  12.250   1.2624   0.05872   0.05026  -0.0118   0.1129   1.0000
  12.500   1.2594   0.06217   0.05382  -0.0101   0.1046   1.0000
  12.750   1.2658   0.06563   0.05720  -0.0089   0.0947   1.0000
  13.000   1.2477   0.06975   0.06172  -0.0074   0.0934   1.0000
  13.250   1.2276   0.07438   0.06670  -0.0066   0.0923   1.0000
  13.500   1.2063   0.07949   0.07211  -0.0066   0.0917   1.0000
  13.750   1.1829   0.08532   0.07820  -0.0076   0.0921   1.0000
  14.000   1.1570   0.09182   0.08493  -0.0095   0.0928   1.0000
  14.250   1.1321   0.09902   0.09231  -0.0122   0.0939   1.0000
  14.500   1.1076   0.10673   0.10014  -0.0156   0.0949   1.0000
  14.500   1.1003   0.10774   0.10121  -0.0167   0.0965   1.0000
  14.600   1.0965   0.11023   0.10371  -0.0175   0.0959   1.0000
  15.500   0.6735   0.17397   0.16732  -0.0601   0.2789   1.0000
  15.750   0.6811   0.17782   0.17125  -0.0607   0.2695   1.0000
  16.000   0.6944   0.18257   0.17611  -0.0610   0.2572   1.0000
  16.250   0.6832   0.18320   0.17676  -0.0629   0.2504   1.0000
  16.500   0.6940   0.18797   0.18161  -0.0634   0.2425   1.0000
  16.750   0.7077   0.19307   0.18677  -0.0636   0.2296   1.0000
  17.000   0.6932   0.19299   0.18670  -0.0661   0.2249   1.0000
  17.250   0.7105   0.19920   0.19298  -0.0660   0.2156   1.0000
  17.500   0.6992   0.19946   0.19325  -0.0684   0.2088   1.0000
  17.750   0.7109   0.20459   0.19843  -0.0688   0.2011   1.0000
  18.000   0.7060   0.20619   0.20005  -0.0708   0.1943   1.0000
  18.250   0.7174   0.21143   0.20532  -0.0712   0.1874   1.0000
  18.500   0.7133   0.21297   0.20688  -0.0732   0.1798   1.0000
  18.750   0.7279   0.21926   0.21321  -0.0733   0.1743   1.0000
  19.000   0.7198   0.22004   0.21400  -0.0759   0.1704   1.0000
  19.250   0.7416   0.22802   0.22207  -0.0751   0.1611   1.0000
  19.500   0.7298   0.22767   0.22172  -0.0781   0.1592   1.0000
  19.750   0.7308   0.23031   0.22438  -0.0798   0.1525   1.0000
  19.750   0.7308   0.23031   0.22438  -0.0798   0.1525   1.0000
  19.850   0.7347   0.23205   0.22614  -0.0800   0.1503   1.0000
  19.950   0.7430   0.23519   0.22931  -0.0797   0.1484   1.0000
   0.000   0.0813   0.02893   0.01948  -0.0473   0.9456   1.0000
  -0.250   0.0451   0.02800   0.01892  -0.0446   0.9580   1.0000
  -0.500   0.0071   0.02706   0.01842  -0.0415   0.9703   1.0000
  -0.750  -0.0369   0.02596   0.01802  -0.0376   0.9822   1.0000
  -1.000  -0.1006   0.02923   0.01870  -0.0327   0.9896   0.2445
  -1.250  -0.1507   0.02971   0.01915  -0.0286   0.9993   0.2041
  -1.500  -0.1734   0.03028   0.01981  -0.0290   1.0000   0.1832
  -1.750  -0.1962   0.03121   0.02094  -0.0296   1.0000   0.1732
  -2.000  -0.2174   0.03222   0.02213  -0.0301   1.0000   0.1604
  -2.250  -0.2395   0.03344   0.02370  -0.0308   1.0000   0.1531
  -2.500  -0.2608   0.03505   0.02554  -0.0314   1.0000   0.1472
  -2.750  -0.2837   0.03677   0.02785  -0.0319   1.0000   0.1421
  -3.000  -0.3070   0.03924   0.03084  -0.0321   1.0000   0.1445
  -3.250  -0.3289   0.04192   0.03393  -0.0322   1.0000   0.1470
  -3.500  -0.3522   0.04492   0.03752  -0.0319   1.0000   0.1518
  -3.500  -0.3541   0.04529   0.03805  -0.0314   1.0000   0.1547
  -3.600  -0.3633   0.04697   0.03995  -0.0310   1.0000   0.1599
  -3.700  -0.3711   0.04831   0.04132  -0.0312   1.0000   0.1646
  -4.500  -0.4484   0.07314   0.06834   0.0176   1.0000   0.4512
  -4.750  -0.4440   0.07512   0.07025   0.0130   1.0000   0.4210
  -5.000  -0.4499   0.07785   0.07292   0.0082   1.0000   0.3959
  -5.250  -0.4320   0.07901   0.07398   0.0052   1.0000   0.3739
  -5.500  -0.4419   0.08220   0.07714   0.0005   1.0000   0.3524
  -5.750  -0.4284   0.08373   0.07858  -0.0023   1.0000   0.3370
  -6.000  -0.4166   0.08540   0.08016  -0.0055   1.0000   0.3220
  -6.250  -0.4067   0.08720   0.08186  -0.0088   1.0000   0.3074
  -6.500  -0.3786   0.08743   0.08193  -0.0121   1.0000   0.3000
  -6.750  -0.3975   0.09152   0.08600  -0.0157   1.0000   0.2793
  -7.000  -0.3611   0.09111   0.08539  -0.0193   1.0000   0.2776
  -7.250  -0.3600   0.09353   0.08772  -0.0224   1.0000   0.2641
  -7.500  -0.3305   0.09336   0.08733  -0.0250   1.0000   0.2588
  -7.750  -0.3298   0.09588   0.08975  -0.0269   1.0000   0.2471
  -8.000  -0.3414   0.09969   0.09351  -0.0288   1.0000   0.2352
  -8.250  -0.3236   0.10024   0.09388  -0.0291   1.0000   0.2268
  -8.500  -0.3274   0.10348   0.09704  -0.0298   1.0000   0.2189
  -8.750  -0.3521   0.10901   0.10259  -0.0318   1.0000   0.2070
  -9.000  -0.3259   0.10847   0.10185  -0.0299   1.0000   0.2023
  -9.250  -0.3520   0.11451   0.10791  -0.0318   1.0000   0.1924
  -9.500  -0.3307   0.11422   0.10745  -0.0294   1.0000   0.1877
