  
       XFOIL         Version 6.99
  
 Calculated polar for: S7075 (9%)                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0610   0.02132   0.01173  -0.0399   1.0000   1.0000
   0.250   0.0815   0.02185   0.01206  -0.0397   1.0000   1.0000
   0.500   0.1016   0.02243   0.01247  -0.0396   1.0000   1.0000
   0.750   0.1212   0.02306   0.01295  -0.0395   1.0000   1.0000
   1.000   0.1403   0.02376   0.01350  -0.0394   1.0000   1.0000
   1.250   0.1590   0.02451   0.01415  -0.0394   1.0000   1.0000
   1.500   0.1771   0.02533   0.01488  -0.0394   1.0000   1.0000
   1.750   0.1987   0.02630   0.01578  -0.0402   0.9979   1.0000
   2.000   0.2532   0.02797   0.01736  -0.0470   0.9787   1.0000
   2.250   0.3050   0.02942   0.01877  -0.0528   0.9592   1.0000
   2.500   0.3530   0.03067   0.02001  -0.0578   0.9390   1.0000
   2.750   0.3971   0.03170   0.02105  -0.0617   0.9180   1.0000
   3.000   0.4488   0.03266   0.02208  -0.0665   0.8984   1.0000
   3.250   0.4838   0.03334   0.02282  -0.0684   0.8758   1.0000
   3.500   0.5339   0.03386   0.02344  -0.0722   0.8557   1.0000
   3.750   0.5688   0.03430   0.02398  -0.0736   0.8326   1.0000
   4.000   0.6217   0.03425   0.02411  -0.0768   0.8123   1.0000
   4.250   0.6567   0.03432   0.02433  -0.0774   0.7882   1.0000
   4.500   0.7174   0.03329   0.02358  -0.0805   0.7683   1.0000
   4.750   0.7577   0.03267   0.02315  -0.0807   0.7436   1.0000
   5.000   0.8071   0.03131   0.02203  -0.0812   0.7201   1.0000
   5.250   0.8687   0.02896   0.01997  -0.0822   0.6962   1.0000
   5.500   0.9079   0.02781   0.01898  -0.0809   0.6641   1.0000
   5.750   0.9467   0.02675   0.01804  -0.0795   0.6272   1.0000
   6.000   0.9786   0.02626   0.01753  -0.0775   0.5854   1.0000
   6.250   1.0058   0.02618   0.01734  -0.0751   0.5397   1.0000
   6.500   1.0300   0.02642   0.01733  -0.0727   0.4912   1.0000
   6.750   1.0470   0.02713   0.01792  -0.0697   0.4408   1.0000
   7.000   1.0647   0.02800   0.01846  -0.0670   0.3899   1.0000
   7.250   1.0792   0.02925   0.01946  -0.0642   0.3400   1.0000
   7.500   1.0946   0.03077   0.02071  -0.0618   0.2941   1.0000
   7.750   1.1118   0.03255   0.02225  -0.0598   0.2546   1.0000
   8.000   1.1291   0.03446   0.02405  -0.0580   0.2225   1.0000
   8.250   1.1514   0.03674   0.02618  -0.0570   0.1986   1.0000
   8.500   1.1698   0.03897   0.02856  -0.0556   0.1798   1.0000
   8.750   1.1904   0.04162   0.03137  -0.0545   0.1665   1.0000
   8.750   1.1904   0.04162   0.03137  -0.0545   0.1666   1.0000
   8.850   1.1997   0.04271   0.03249  -0.0542   0.1623   1.0000
   8.950   1.2115   0.04400   0.03370  -0.0543   0.1584   1.0000
   9.250   1.2265   0.04741   0.03770  -0.0519   0.1488   1.0000
   9.500   1.2396   0.05061   0.04117  -0.0504   0.1423   1.0000
   9.750   1.2438   0.05436   0.04547  -0.0479   0.1390   1.0000
  10.000   1.2462   0.05834   0.04991  -0.0456   0.1369   1.0000
  10.250   1.2442   0.06258   0.05455  -0.0433   0.1356   1.0000
  10.500   1.2347   0.06708   0.05944  -0.0407   0.1352   1.0000
  10.750   1.2131   0.07196   0.06470  -0.0379   0.1359   1.0000
  11.000   1.1787   0.07704   0.07005  -0.0350   0.1378   1.0000
  11.250   1.1403   0.08282   0.07602  -0.0338   0.1399   1.0000
  11.500   1.1053   0.08967   0.08298  -0.0349   0.1419   1.0000
  11.750   1.0796   0.09718   0.09053  -0.0373   0.1437   1.0000
  12.000   0.9684   0.12310   0.11620  -0.0576   0.1618   1.0000
  12.000   0.9854   0.11936   0.11252  -0.0540   0.1571   1.0000
  12.100   0.9857   0.12196   0.11513  -0.0547   0.1579   1.0000
