  
       XFOIL         Version 6.99
  
 Calculated polar for: S8035 for RC aerobatic  14% thick               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.03021   0.02119  -0.0000   1.0000   1.0000
   0.250   0.0841   0.03006   0.02104  -0.0137   0.9736   1.0000
   0.500   0.1555   0.02971   0.02072  -0.0243   0.9480   1.0000
   0.750   0.2326   0.02917   0.02024  -0.0349   0.9245   1.0000
   1.000   0.3037   0.02849   0.01963  -0.0437   0.8996   1.0000
   1.250   0.3829   0.02743   0.01866  -0.0529   0.8770   1.0000
   1.500   0.4227   0.02698   0.01827  -0.0552   0.8489   1.0000
   1.750   0.4573   0.02658   0.01789  -0.0562   0.8217   1.0000
   2.000   0.4865   0.02621   0.01753  -0.0557   0.7957   1.0000
   2.250   0.5019   0.02624   0.01757  -0.0534   0.7684   1.0000
   2.500   0.5237   0.02600   0.01729  -0.0514   0.7445   1.0000
   2.750   0.5348   0.02620   0.01749  -0.0484   0.7182   1.0000
   3.000   0.5537   0.02605   0.01731  -0.0458   0.6955   1.0000
   3.250   0.5646   0.02634   0.01760  -0.0428   0.6703   1.0000
   3.500   0.5817   0.02635   0.01755  -0.0400   0.6478   1.0000
   3.750   0.5947   0.02664   0.01783  -0.0371   0.6243   1.0000
   4.000   0.6099   0.02683   0.01799  -0.0343   0.6011   1.0000
   4.250   0.6276   0.02695   0.01802  -0.0316   0.5793   1.0000
   4.500   0.6395   0.02743   0.01851  -0.0287   0.5557   1.0000
   4.750   0.6572   0.02765   0.01866  -0.0261   0.5338   1.0000
   5.000   0.6723   0.02809   0.01906  -0.0234   0.5116   1.0000
   5.250   0.6866   0.02865   0.01961  -0.0207   0.4894   1.0000
   5.500   0.7051   0.02902   0.01989  -0.0184   0.4683   1.0000
   5.750   0.7212   0.02965   0.02049  -0.0159   0.4476   1.0000
