  
       XFOIL         Version 6.99
  
 Calculated polar for: S8038 (13%)                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0684   0.02721   0.01774   0.0038   1.0000   1.0000
   0.250  -0.0395   0.02754   0.01803   0.0004   0.9900   1.0000
   0.500   0.0100   0.02814   0.01856  -0.0061   0.9735   1.0000
   0.750   0.0551   0.02866   0.01903  -0.0116   0.9573   1.0000
   1.000   0.0908   0.02905   0.01939  -0.0152   0.9403   1.0000
   1.250   0.1263   0.02946   0.01977  -0.0184   0.9231   1.0000
   1.500   0.1620   0.02989   0.02018  -0.0213   0.9058   1.0000
   1.750   0.1984   0.03031   0.02061  -0.0240   0.8883   1.0000
   2.000   0.2376   0.03072   0.02103  -0.0269   0.8706   1.0000
   2.250   0.2809   0.03106   0.02141  -0.0301   0.8528   1.0000
   2.500   0.3337   0.03125   0.02167  -0.0344   0.8349   1.0000
   2.750   0.3774   0.03138   0.02187  -0.0369   0.8156   1.0000
   3.000   0.4118   0.03153   0.02210  -0.0378   0.7947   1.0000
   3.250   0.4688   0.03101   0.02172  -0.0412   0.7735   1.0000
   3.500   0.5250   0.03020   0.02105  -0.0437   0.7518   1.0000
   3.750   0.5478   0.03014   0.02105  -0.0417   0.7280   1.0000
   4.000   0.5992   0.02901   0.02002  -0.0426   0.7049   1.0000
   4.250   0.6164   0.02899   0.02004  -0.0395   0.6791   1.0000
   4.500   0.6462   0.02843   0.01950  -0.0376   0.6527   1.0000
   4.750   0.6791   0.02763   0.01870  -0.0358   0.6248   1.0000
   5.000   0.7039   0.02716   0.01819  -0.0331   0.5943   1.0000
   5.250   0.7251   0.02688   0.01783  -0.0302   0.5614   1.0000
   5.500   0.7422   0.02680   0.01768  -0.0268   0.5253   1.0000
   5.750   0.7623   0.02672   0.01744  -0.0239   0.4878   1.0000
   6.000   0.7815   0.02685   0.01732  -0.0211   0.4502   1.0000
   6.250   0.7969   0.02741   0.01771  -0.0181   0.4140   1.0000
   6.500   0.8139   0.02812   0.01824  -0.0156   0.3814   1.0000
   6.750   0.8317   0.02907   0.01901  -0.0135   0.3530   1.0000
   7.000   0.8529   0.03006   0.01973  -0.0119   0.3281   1.0000
   7.250   0.8686   0.03145   0.02118  -0.0099   0.3077   1.0000
   7.500   0.8864   0.03287   0.02262  -0.0083   0.2897   1.0000
   7.750   0.9042   0.03434   0.02410  -0.0067   0.2737   1.0000
   8.000   0.9227   0.03608   0.02588  -0.0053   0.2611   1.0000
   8.250   0.9437   0.03782   0.02759  -0.0043   0.2495   1.0000
   8.500   0.9562   0.03967   0.02968  -0.0023   0.2388   1.0000
   8.750   0.9665   0.04197   0.03221  -0.0002   0.2305   1.0000
   9.000   0.9831   0.04409   0.03444   0.0011   0.2228   1.0000
   9.250   0.9867   0.04686   0.03751   0.0036   0.2169   1.0000
   9.500   0.9867   0.04961   0.04057   0.0063   0.2110   1.0000
   9.750   1.0065   0.05199   0.04292   0.0070   0.2043   1.0000
  10.000   0.9894   0.05586   0.04725   0.0105   0.2026   1.0000
  10.250   0.9657   0.06014   0.05183   0.0139   0.2015   1.0000
  10.500   0.9331   0.06494   0.05685   0.0169   0.2018   1.0000
  10.750   0.8931   0.07037   0.06237   0.0193   0.2031   1.0000
  11.000   0.8552   0.07717   0.06921   0.0189   0.2046   1.0000
  11.000   0.8552   0.07717   0.06921   0.0189   0.2046   1.0000
  11.100   0.8424   0.08020   0.07224   0.0181   0.2051   1.0000
  12.250   0.5963   0.14118   0.13274  -0.0225   0.3451   1.0000
  12.500   0.5894   0.14381   0.13535  -0.0234   0.3382   1.0000
  12.750   0.6171   0.14934   0.14096  -0.0234   0.3274   1.0000
  13.000   0.6028   0.15025   0.14184  -0.0244   0.3176   1.0000
  13.250   0.6252   0.15593   0.14757  -0.0248   0.3117   1.0000
  13.500   0.6139   0.15697   0.14859  -0.0259   0.3025   1.0000
  13.750   0.6305   0.16190   0.15358  -0.0264   0.2956   1.0000
  14.000   0.6299   0.16381   0.15549  -0.0273   0.2852   1.0000
  14.250   0.6369   0.16770   0.15939  -0.0282   0.2790   1.0000
  14.500   0.6409   0.17030   0.16201  -0.0292   0.2704   1.0000
  14.750   0.6603   0.17614   0.16790  -0.0296   0.2655   1.0000
  15.000   0.6516   0.17670   0.16843  -0.0314   0.2566   1.0000
  15.250   0.6742   0.18292   0.17474  -0.0314   0.2502   1.0000
  15.500   0.6641   0.18307   0.17485  -0.0336   0.2426   1.0000
  15.750   0.6878   0.18920   0.18107  -0.0334   0.2364   1.0000
  16.000   0.6805   0.19039   0.18221  -0.0358   0.2326   1.0000
  16.250   0.6864   0.19299   0.18482  -0.0371   0.2248   1.0000
  16.500   0.7069   0.19958   0.19148  -0.0372   0.2198   1.0000
  16.750   0.6981   0.19915   0.19101  -0.0400   0.2133   1.0000
  17.000   0.7143   0.20384   0.19576  -0.0402   0.2071   1.0000
  17.250   0.7226   0.20828   0.20023  -0.0416   0.2042   1.0000
  17.500   0.7191   0.20869   0.20062  -0.0442   0.1981   1.0000
  17.750   0.7345   0.21331   0.20530  -0.0446   0.1921   1.0000
  18.000   0.7417   0.21737   0.20936  -0.0461   0.1890   1.0000
  18.250   0.7408   0.21803   0.21000  -0.0487   0.1826   1.0000
  18.500   0.7542   0.22238   0.21441  -0.0493   0.1776   1.0000
  18.750   0.7708   0.22961   0.22169  -0.0498   0.1749   1.0000
  19.000   0.7630   0.22776   0.21979  -0.0534   0.1708   1.0000
  19.250   0.7722   0.23090   0.22296  -0.0546   0.1643   1.0000
  19.500   0.7970   0.24126   0.23342  -0.0539   0.1604   1.0000
  19.750   0.7873   0.23797   0.23007  -0.0579   0.1581   1.0000
  20.000   0.7917   0.23985   0.23196  -0.0602   0.1528   1.0000
   0.000  -0.0684   0.02721   0.01774   0.0038   1.0000   1.0000
  -0.250  -0.0545   0.02740   0.01795   0.0001   1.0000   1.0000
  -0.500  -0.0412   0.02750   0.01807  -0.0036   1.0000   1.0000
  -0.750  -0.0282   0.02754   0.01812  -0.0071   1.0000   1.0000
  -1.000  -0.0150   0.02750   0.01808  -0.0108   1.0000   1.0000
  -1.250  -0.0014   0.02741   0.01799  -0.0145   1.0000   1.0000
  -1.500  -0.0198   0.02760   0.01823  -0.0128   1.0000   0.9928
  -1.750  -0.0904   0.02819   0.01899  -0.0026   1.0000   0.9716
  -2.000  -0.1538   0.02858   0.01956   0.0058   1.0000   0.9488
  -2.250  -0.2388   0.02885   0.02010   0.0171   1.0000   0.9253
  -2.500  -0.3133   0.02876   0.02031   0.0258   1.0000   0.8977
  -2.750  -0.4066   0.02808   0.02004   0.0362   1.0000   0.8671
  -3.000  -0.4703   0.02723   0.01952   0.0404   1.0000   0.8335
  -3.250  -0.5070   0.02657   0.01905   0.0396   1.0000   0.7993
  -3.500  -0.5293   0.02606   0.01866   0.0362   1.0000   0.7654
  -3.750  -0.5415   0.02578   0.01848   0.0317   1.0000   0.7294
  -4.000  -0.5543   0.02532   0.01808   0.0268   1.0000   0.6912
  -4.250  -0.5679   0.02461   0.01736   0.0216   1.0000   0.6507
  -4.500  -0.5796   0.02395   0.01664   0.0162   1.0000   0.6040
  -4.750  -0.5888   0.02342   0.01601   0.0109   1.0000   0.5465
  -5.000  -0.5971   0.02310   0.01533   0.0054   1.0000   0.4760
  -5.250  -0.6025   0.02364   0.01527   0.0003   1.0000   0.3908
  -5.500  -0.6073   0.02502   0.01591  -0.0041   1.0000   0.3078
  -5.750  -0.6150   0.02678   0.01707  -0.0078   1.0000   0.2419
  -6.000  -0.6274   0.02854   0.01840  -0.0105   1.0000   0.1972
  -6.250  -0.6437   0.03035   0.01996  -0.0127   1.0000   0.1671
  -6.500  -0.6613   0.03220   0.02193  -0.0148   1.0000   0.1479
  -6.750  -0.6807   0.03428   0.02399  -0.0164   1.0000   0.1355
  -7.000  -0.6981   0.03626   0.02612  -0.0183   1.0000   0.1260
  -7.250  -0.7134   0.03875   0.02886  -0.0203   1.0000   0.1202
  -7.500  -0.7255   0.04146   0.03199  -0.0228   1.0000   0.1170
  -7.750  -0.7358   0.04425   0.03512  -0.0251   1.0000   0.1144
  -8.000  -0.7479   0.04689   0.03787  -0.0271   1.0000   0.1112
  -8.250  -0.7585   0.05027   0.04129  -0.0288   1.0000   0.1088
  -8.500  -0.7573   0.05351   0.04496  -0.0317   1.0000   0.1082
  -8.750  -0.7561   0.05709   0.04883  -0.0343   1.0000   0.1083
  -9.000  -0.7572   0.06104   0.05296  -0.0363   1.0000   0.1089
  -9.250  -0.7053   0.06537   0.05803  -0.0408   1.0000   0.1137
  -9.500  -0.6696   0.07018   0.06300  -0.0428   1.0000   0.1168
  -9.750  -0.6417   0.07470   0.06754  -0.0439   1.0000   0.1194
 -10.000  -0.6252   0.07967   0.07250  -0.0433   1.0000   0.1214
 -10.250  -0.5654   0.09223   0.08500  -0.0338   1.0000   0.1357
 -10.500  -0.5772   0.09615   0.08890  -0.0347   1.0000   0.1375
 -10.750  -0.4656   0.12232   0.11481  -0.0071   1.0000   0.2876
 -11.000  -0.4639   0.12536   0.11781  -0.0066   1.0000   0.2798
 -11.250  -0.4960   0.13175   0.12425  -0.0074   1.0000   0.2748
 -11.500  -0.4677   0.13228   0.12465  -0.0055   1.0000   0.2674
 -11.750  -0.4958   0.13811   0.13053  -0.0064   1.0000   0.2588
 -12.000  -0.4757   0.13902   0.13132  -0.0047   1.0000   0.2512
 -12.250  -0.5064   0.14543   0.13778  -0.0058   1.0000   0.2435
 -12.500  -0.4840   0.14573   0.13799  -0.0037   1.0000   0.2365
 -12.750  -0.5061   0.15095   0.14324  -0.0042   1.0000   0.2295
 -13.000  -0.4969   0.15312   0.14532  -0.0026   1.0000   0.2252
 -13.250  -0.5010   0.15603   0.14822  -0.0019   1.0000   0.2171
