  
       XFOIL         Version 6.99
  
 Calculated polar for: S8052 (11.88%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1176   0.02376   0.01424   0.0035   1.0000   1.0000
   0.250  -0.1052   0.02403   0.01436   0.0044   1.0000   1.0000
   0.500  -0.0874   0.02448   0.01467   0.0042   0.9986   1.0000
   0.750  -0.0391   0.02574   0.01578  -0.0015   0.9853   1.0000
   1.000   0.0078   0.02698   0.01690  -0.0067   0.9713   1.0000
   1.250   0.0524   0.02813   0.01796  -0.0114   0.9567   1.0000
   1.500   0.0962   0.02925   0.01901  -0.0157   0.9412   1.0000
   1.750   0.1346   0.03021   0.01992  -0.0189   0.9247   1.0000
   2.000   0.1712   0.03113   0.02081  -0.0216   0.9072   1.0000
   2.250   0.2084   0.03204   0.02172  -0.0243   0.8888   1.0000
   2.500   0.2493   0.03293   0.02263  -0.0272   0.8696   1.0000
   2.750   0.2987   0.03378   0.02352  -0.0311   0.8503   1.0000
   3.000   0.3270   0.03446   0.02424  -0.0317   0.8290   1.0000
   3.250   0.3689   0.03501   0.02486  -0.0338   0.8076   1.0000
   3.500   0.4184   0.03532   0.02529  -0.0366   0.7863   1.0000
   3.750   0.4504   0.03564   0.02570  -0.0368   0.7627   1.0000
   4.000   0.5145   0.03502   0.02526  -0.0402   0.7418   1.0000
   4.250   0.5390   0.03514   0.02549  -0.0387   0.7168   1.0000
   4.500   0.5927   0.03388   0.02440  -0.0393   0.6960   1.0000
   4.750   0.6200   0.03347   0.02409  -0.0374   0.6702   1.0000
   5.000   0.6711   0.03151   0.02230  -0.0366   0.6489   1.0000
   5.250   0.6994   0.03067   0.02155  -0.0343   0.6210   1.0000
   5.500   0.7325   0.02946   0.02042  -0.0321   0.5924   1.0000
   5.750   0.7671   0.02815   0.01911  -0.0299   0.5616   1.0000
   6.000   0.8006   0.02716   0.01800  -0.0279   0.5285   1.0000
   6.250   0.8232   0.02727   0.01803  -0.0257   0.4924   1.0000
   6.500   0.8477   0.02754   0.01813  -0.0238   0.4581   1.0000
   6.750   0.8709   0.02817   0.01858  -0.0222   0.4263   1.0000
   7.000   0.8924   0.02905   0.01936  -0.0206   0.3969   1.0000
   7.250   0.9135   0.03014   0.02036  -0.0193   0.3705   1.0000
   7.500   0.9379   0.03119   0.02119  -0.0182   0.3460   1.0000
   7.750   0.9547   0.03268   0.02281  -0.0167   0.3238   1.0000
   8.000   0.9773   0.03399   0.02403  -0.0157   0.3027   1.0000
   8.250   0.9968   0.03565   0.02570  -0.0145   0.2840   1.0000
   8.500   1.0128   0.03743   0.02762  -0.0130   0.2663   1.0000
   8.750   1.0297   0.03938   0.02969  -0.0117   0.2508   1.0000
   8.750   1.0297   0.03938   0.02969  -0.0117   0.2508   1.0000
   8.850   1.0374   0.04005   0.03037  -0.0113   0.2444   1.0000
   8.950   1.0454   0.04085   0.03114  -0.0109   0.2387   1.0000
   9.250   1.0628   0.04355   0.03406  -0.0093   0.2236   1.0000
   9.500   1.0816   0.04567   0.03621  -0.0083   0.2116   1.0000
   9.750   1.0780   0.04881   0.03989  -0.0057   0.2037   1.0000
  10.000   1.0961   0.05138   0.04246  -0.0049   0.1951   1.0000
  10.250   1.0827   0.05537   0.04698  -0.0021   0.1913   1.0000
  10.500   1.0755   0.05898   0.05088  -0.0001   0.1867   1.0000
  10.750   1.0870   0.06187   0.05380   0.0009   0.1800   1.0000
  11.000   1.0586   0.06661   0.05886   0.0033   0.1794   1.0000
  11.250   1.0242   0.07165   0.06407   0.0053   0.1799   1.0000
  11.500   0.9897   0.07778   0.07029   0.0053   0.1809   1.0000
  11.500   0.9776   0.07867   0.07121   0.0049   0.1827   1.0000
  11.600   0.9689   0.08111   0.07367   0.0044   0.1822   1.0000
  11.700   0.9612   0.08368   0.07625   0.0039   0.1818   1.0000
  12.750   0.5489   0.14475   0.13735  -0.0322   0.3297   1.0000
  13.000   0.5476   0.14637   0.13902  -0.0326   0.3186   1.0000
  13.250   0.5450   0.14871   0.14140  -0.0334   0.3128   1.0000
  13.500   0.5553   0.15197   0.14474  -0.0339   0.3028   1.0000
  13.750   0.5480   0.15336   0.14616  -0.0349   0.2958   1.0000
  14.000   0.5732   0.15942   0.15228  -0.0351   0.2855   1.0000
  14.250   0.5551   0.15834   0.15123  -0.0365   0.2776   1.0000
  14.250   0.5551   0.15834   0.15123  -0.0365   0.2776   1.0000
  14.350   0.5606   0.15984   0.15276  -0.0367   0.2744   1.0000
  14.450   0.5732   0.16281   0.15576  -0.0367   0.2719   1.0000
  14.750   0.5624   0.16382   0.15680  -0.0386   0.2651   1.0000
  15.000   0.5838   0.16929   0.16235  -0.0387   0.2565   1.0000
  15.250   0.5711   0.16929   0.16235  -0.0406   0.2509   1.0000
  15.500   0.5880   0.17389   0.16705  -0.0408   0.2420   1.0000
  15.750   0.5832   0.17551   0.16867  -0.0426   0.2384   1.0000
  16.000   0.5844   0.17740   0.17062  -0.0438   0.2309   1.0000
  16.250   0.6083   0.18481   0.17809  -0.0439   0.2257   1.0000
  16.500   0.5916   0.18302   0.17631  -0.0464   0.2204   1.0000
  16.750   0.6065   0.18753   0.18090  -0.0467   0.2125   1.0000
  17.000   0.6057   0.18989   0.18327  -0.0484   0.2092   1.0000
  17.250   0.6047   0.19145   0.18487  -0.0501   0.2028   1.0000
  17.500   0.6230   0.19742   0.19094  -0.0503   0.1971   1.0000
  17.750   0.6168   0.19833   0.19185  -0.0525   0.1940   1.0000
  18.000   0.6187   0.20038   0.19396  -0.0540   0.1866   1.0000
  18.250   0.6423   0.20895   0.20260  -0.0538   0.1816   1.0000
  18.500   0.6282   0.20704   0.20069  -0.0567   0.1787   1.0000
  18.750   0.6312   0.20952   0.20322  -0.0582   0.1725   1.0000
  19.000   0.6521   0.21769   0.21145  -0.0581   0.1670   1.0000
  19.250   0.6404   0.21622   0.20999  -0.0610   0.1638   1.0000
  19.500   0.6442   0.21903   0.21285  -0.0625   0.1579   1.0000
  19.750   0.6657   0.22798   0.22187  -0.0622   0.1528   1.0000
  20.000   0.6540   0.22621   0.22012  -0.0653   0.1503   1.0000
   0.000  -0.1176   0.02376   0.01424   0.0035   1.0000   1.0000
  -0.250  -0.1263   0.02363   0.01426   0.0020   1.0000   1.0000
  -0.500  -0.1291   0.02369   0.01445  -0.0003   1.0000   1.0000
  -0.750  -0.1265   0.02390   0.01477  -0.0033   1.0000   1.0000
  -1.000  -0.1204   0.02420   0.01516  -0.0068   1.0000   1.0000
  -1.250  -0.1134   0.02450   0.01554  -0.0104   1.0000   1.0000
  -1.500  -0.1064   0.02479   0.01590  -0.0139   1.0000   1.0000
  -1.750  -0.0993   0.02506   0.01624  -0.0173   1.0000   1.0000
  -2.000  -0.0919   0.02532   0.01658  -0.0206   1.0000   1.0000
  -2.250  -0.0838   0.02558   0.01692  -0.0238   1.0000   1.0000
  -2.500  -0.1386   0.02618   0.01785  -0.0160   1.0000   0.9836
  -2.750  -0.4150   0.02354   0.01678   0.0219   1.0000   0.8748
  -3.000  -0.4357   0.02264   0.01603   0.0161   1.0000   0.8027
  -3.250  -0.4379   0.02203   0.01544   0.0080   1.0000   0.7267
  -3.500  -0.4376   0.02140   0.01453  -0.0006   1.0000   0.6006
  -3.750  -0.4360   0.02295   0.01418  -0.0082   1.0000   0.3491
  -4.000  -0.4500   0.02551   0.01563  -0.0104   1.0000   0.2195
  -4.250  -0.4684   0.02720   0.01693  -0.0122   1.0000   0.1720
  -4.500  -0.4891   0.02873   0.01845  -0.0138   1.0000   0.1471
  -4.750  -0.5093   0.03030   0.02006  -0.0153   1.0000   0.1325
  -5.000  -0.5290   0.03213   0.02194  -0.0167   1.0000   0.1239
  -5.250  -0.5477   0.03402   0.02422  -0.0184   1.0000   0.1183
  -5.500  -0.5644   0.03597   0.02617  -0.0198   1.0000   0.1127
  -5.750  -0.5783   0.03829   0.02890  -0.0217   1.0000   0.1100
  -6.000  -0.5899   0.04076   0.03183  -0.0239   1.0000   0.1092
  -6.250  -0.5989   0.04349   0.03492  -0.0262   1.0000   0.1095
  -6.500  -0.6054   0.04633   0.03805  -0.0285   1.0000   0.1104
  -6.750  -0.6112   0.04942   0.04131  -0.0309   1.0000   0.1115
  -7.000  -0.5959   0.05269   0.04548  -0.0348   1.0000   0.1173
  -7.250  -0.5881   0.05623   0.04927  -0.0375   1.0000   0.1212
  -7.500  -0.5871   0.05979   0.05291  -0.0395   1.0000   0.1242
  -7.500  -0.5871   0.05979   0.05291  -0.0395   1.0000   0.1242
  -7.600  -0.5900   0.06132   0.05441  -0.0401   1.0000   0.1252
  -7.700  -0.5975   0.06303   0.05607  -0.0405   1.0000   0.1262
  -8.000  -0.5365   0.07110   0.06475  -0.0386   1.0000   0.1471
  -8.250  -0.4939   0.08285   0.07652  -0.0292   1.0000   0.2023
  -8.500  -0.4122   0.09591   0.08925  -0.0089   1.0000   0.3279
  -8.500  -0.4122   0.09591   0.08925  -0.0089   1.0000   0.3279
  -8.600  -0.4158   0.09741   0.09074  -0.0088   1.0000   0.3265
  -8.700  -0.4321   0.09990   0.09328  -0.0092   1.0000   0.3237
  -9.000  -0.4252   0.10303   0.09629  -0.0086   1.0000   0.3101
  -9.250  -0.4205   0.10596   0.09913  -0.0079   1.0000   0.3005
  -9.250  -0.4205   0.10596   0.09913  -0.0079   1.0000   0.3005
  -9.350  -0.4252   0.10741   0.10058  -0.0079   1.0000   0.2966
  -9.450  -0.4378   0.10963   0.10282  -0.0083   1.0000   0.2936
  -9.600  -0.4301   0.11115   0.10426  -0.0075   1.0000   0.2888
  -9.700  -0.4283   0.11207   0.10515  -0.0072   1.0000   0.2834
 -10.000  -0.4408   0.11696   0.11001  -0.0069   1.0000   0.2745
 -10.000  -0.4407   0.11696   0.11001  -0.0069   1.0000   0.2745
 -10.100  -0.4350   0.11749   0.11050  -0.0063   1.0000   0.2693
 -10.200  -0.4424   0.11917   0.11218  -0.0065   1.0000   0.2649
 -10.500  -0.4426   0.12298   0.11592  -0.0054   1.0000   0.2549
 -10.750  -0.4670   0.12839   0.12134  -0.0062   1.0000   0.2455
 -11.000  -0.4542   0.12972   0.12259  -0.0043   1.0000   0.2362
 -11.250  -0.4644   0.13394   0.12678  -0.0040   1.0000   0.2286
 -11.500  -0.4698   0.13692   0.12975  -0.0033   1.0000   0.2186
 -11.750  -0.4730   0.14058   0.13336  -0.0022   1.0000   0.2129
 -12.000  -0.4772   0.14348   0.13624  -0.0013   1.0000   0.2045
 -12.250  -0.4955   0.14918   0.14194  -0.0013   1.0000   0.1998
 -12.500  -0.4840   0.15004   0.14272   0.0012   1.0000   0.1930
 -12.750  -0.5091   0.15607   0.14879   0.0005   1.0000   0.1863
 -13.000  -0.5006   0.15782   0.15045   0.0030   1.0000   0.1830
 -13.250  -0.5022   0.16015   0.15275   0.0046   1.0000   0.1764
 -13.500  -0.5379   0.16927   0.16194   0.0031   1.0000   0.1704
 -13.750  -0.5186   0.16790   0.16045   0.0067   1.0000   0.1680
 -14.000  -0.5206   0.17013   0.16266   0.0085   1.0000   0.1620
 -14.250  -0.5573   0.18024   0.17283   0.0068   1.0000   0.1555
 -14.500  -0.5414   0.17863   0.17113   0.0104   1.0000   0.1540
 -14.750  -0.5407   0.18001   0.17246   0.0127   1.0000   0.1484
 -15.000  -0.5570   0.18493   0.17740   0.0129   1.0000   0.1425
 -15.250  -0.5680   0.19005   0.18250   0.0140   1.0000   0.1400
 -15.500  -0.5632   0.19001   0.18240   0.0171   1.0000   0.1364
 -15.750  -0.5709   0.19298   0.18536   0.0186   1.0000   0.1313
