  
       XFOIL         Version 6.99
  
 Calculated polar for: S8065 (11% version of S8064)                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1047   0.02232   0.01167   0.0030   1.0000   1.0000
   0.250  -0.0952   0.02241   0.01165   0.0050   1.0000   1.0000
   0.500  -0.0835   0.02259   0.01172   0.0066   1.0000   1.0000
   0.750  -0.0700   0.02283   0.01186   0.0079   1.0000   1.0000
   1.000  -0.0555   0.02314   0.01209   0.0089   1.0000   1.0000
   1.250  -0.0402   0.02351   0.01239   0.0099   1.0000   1.0000
   1.500  -0.0243   0.02392   0.01274   0.0106   1.0000   1.0000
   1.750  -0.0082   0.02439   0.01317   0.0113   1.0000   1.0000
   2.000   0.0081   0.02490   0.01365   0.0119   1.0000   1.0000
   2.250   0.0245   0.02547   0.01419   0.0124   1.0000   1.0000
   2.500   0.0409   0.02608   0.01480   0.0128   1.0000   1.0000
   2.750   0.0573   0.02675   0.01547   0.0131   1.0000   1.0000
   3.000   0.0734   0.02747   0.01623   0.0134   1.0000   1.0000
   3.250   0.1077   0.02882   0.01764   0.0100   0.9918   1.0000
   3.500   0.1629   0.03081   0.01975   0.0029   0.9720   1.0000
   3.750   0.2085   0.03233   0.02145  -0.0022   0.9507   1.0000
   4.000   0.2609   0.03401   0.02330  -0.0081   0.9287   1.0000
   4.250   0.3007   0.03514   0.02462  -0.0115   0.9050   1.0000
   4.500   0.3441   0.03622   0.02595  -0.0150   0.8795   1.0000
   4.750   0.3901   0.03708   0.02707  -0.0184   0.8527   1.0000
   5.000   0.4386   0.03752   0.02781  -0.0215   0.8232   1.0000
   5.250   0.4998   0.03710   0.02785  -0.0250   0.7899   1.0000
   5.500   0.5637   0.03534   0.02659  -0.0270   0.7510   1.0000
   5.750   0.6684   0.02928   0.02143  -0.0290   0.7007   1.0000
   6.000   0.7254   0.02442   0.01704  -0.0246   0.6237   1.0000
   6.250   0.7440   0.02339   0.01478  -0.0164   0.4145   1.0000
   6.500   0.7467   0.02588   0.01599  -0.0117   0.2981   1.0000
   6.750   0.7718   0.02832   0.01784  -0.0108   0.2341   1.0000
   7.000   0.8041   0.03065   0.01997  -0.0109   0.1962   1.0000
   7.250   0.8348   0.03307   0.02230  -0.0109   0.1715   1.0000
   7.500   0.8624   0.03573   0.02519  -0.0104   0.1552   1.0000
   7.750   0.8839   0.03837   0.02804  -0.0092   0.1411   1.0000
   8.000   0.9062   0.04157   0.03137  -0.0082   0.1314   1.0000
   8.250   0.9196   0.04431   0.03457  -0.0060   0.1231   1.0000
   8.500   0.9333   0.04792   0.03845  -0.0043   0.1173   1.0000
   8.750   0.9376   0.05154   0.04266  -0.0013   0.1152   1.0000
   9.000   0.9387   0.05509   0.04667   0.0015   0.1124   1.0000
   9.250   0.9387   0.05873   0.05066   0.0040   0.1103   1.0000
   9.500   0.9350   0.06260   0.05485   0.0065   0.1094   1.0000
   9.750   0.9173   0.06697   0.05962   0.0094   0.1117   1.0000
  10.000   0.8982   0.07138   0.06428   0.0118   0.1137   1.0000
  10.250   0.8787   0.07559   0.06863   0.0139   0.1156   1.0000
  10.500   0.8656   0.08023   0.07335   0.0149   0.1175   1.0000
  10.750   0.8395   0.08521   0.07846   0.0148   0.1209   1.0000
  11.000   0.7899   0.09396   0.08724   0.0102   0.1311   1.0000
  11.250   0.7464   0.10886   0.10206  -0.0011   0.1599   1.0000
  11.500   0.6582   0.13225   0.12508  -0.0275   0.3188   1.0000
  11.750   0.6532   0.13574   0.12853  -0.0284   0.3077   1.0000
  12.000   0.6562   0.13966   0.13244  -0.0288   0.2964   1.0000
  12.250   0.6618   0.14359   0.13637  -0.0291   0.2834   1.0000
  12.500   0.6838   0.14950   0.14234  -0.0288   0.2734   1.0000
