  
       XFOIL         Version 6.99
  
 Calculated polar for: S9033 (7.5%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.01432   0.00439   0.0000   1.0000   1.0000
   0.250   0.0197   0.01434   0.00442   0.0012   1.0000   1.0000
   0.500   0.0392   0.01438   0.00449   0.0024   1.0000   1.0000
   0.750   0.0586   0.01445   0.00462   0.0036   1.0000   1.0000
   1.000   0.0775   0.01456   0.00481   0.0048   1.0000   1.0000
   1.250   0.0955   0.01474   0.00508   0.0059   1.0000   1.0000
   1.500   0.1117   0.01500   0.00545   0.0071   1.0000   1.0000
   1.750   0.1253   0.01541   0.00597   0.0082   1.0000   1.0000
   2.000   0.1352   0.01605   0.00670   0.0091   1.0000   1.0000
   2.250   0.2529   0.01678   0.00804  -0.0094   0.9333   1.0000
   2.500   0.3418   0.01651   0.00808  -0.0167   0.8188   1.0000
   2.750   0.3628   0.01693   0.00823  -0.0121   0.7269   1.0000
   3.000   0.3793   0.01759   0.00855  -0.0077   0.6430   1.0000
   3.250   0.3977   0.01838   0.00895  -0.0042   0.5652   1.0000
   3.500   0.4181   0.01928   0.00951  -0.0016   0.4942   1.0000
   3.750   0.4397   0.02028   0.01016   0.0004   0.4324   1.0000
   4.000   0.4625   0.02137   0.01106   0.0020   0.3778   1.0000
   4.250   0.4857   0.02255   0.01204   0.0033   0.3326   1.0000
   4.500   0.5098   0.02394   0.01334   0.0044   0.2963   1.0000
   4.750   0.5336   0.02530   0.01467   0.0055   0.2639   1.0000
   5.000   0.5582   0.02704   0.01641   0.0064   0.2406   1.0000
   5.250   0.5818   0.02863   0.01812   0.0073   0.2170   1.0000
   5.500   0.6058   0.03070   0.02026   0.0082   0.2004   1.0000
   5.750   0.6282   0.03286   0.02273   0.0089   0.1832   1.0000
   6.000   0.6512   0.03537   0.02537   0.0097   0.1717   1.0000
   6.250   0.6710   0.03822   0.02878   0.0103   0.1601   1.0000
   6.500   0.6891   0.04200   0.03302   0.0106   0.1542   1.0000
   6.750   0.7030   0.04691   0.03861   0.0103   0.1524   1.0000
   7.000   0.7133   0.05208   0.04428   0.0095   0.1506   1.0000
   7.250   0.7197   0.05767   0.05025   0.0080   0.1498   1.0000
   7.500   0.7206   0.06422   0.05710   0.0053   0.1530   1.0000
   7.750   0.7289   0.06989   0.06288   0.0040   0.1582   1.0000
   8.000   0.6250   0.09524   0.08817  -0.0342   0.3463   1.0000
   8.250   0.6205   0.09842   0.09128  -0.0349   0.3356   1.0000
   8.500   0.6243   0.10212   0.09495  -0.0350   0.3238   1.0000
   8.750   0.6308   0.10587   0.09869  -0.0350   0.3111   1.0000
   9.000   0.6374   0.10957   0.10237  -0.0349   0.2975   1.0000
   9.250   0.6570   0.11467   0.10752  -0.0339   0.2857   1.0000
   9.500   0.6448   0.11661   0.10937  -0.0356   0.2753   1.0000
   9.750   0.6475   0.12055   0.11328  -0.0364   0.2683   1.0000
  10.000   0.6639   0.12523   0.11801  -0.0359   0.2583   1.0000
  10.250   0.6522   0.12764   0.12033  -0.0381   0.2514   1.0000
  10.500   0.6707   0.13301   0.12574  -0.0374   0.2420   1.0000
  10.750   0.6651   0.13520   0.12788  -0.0390   0.2319   1.0000
  11.000   0.6677   0.13905   0.13173  -0.0400   0.2250   1.0000
  11.250   0.6843   0.14394   0.13668  -0.0395   0.2153   1.0000
  11.500   0.6777   0.14671   0.13938  -0.0418   0.2114   1.0000
  11.750   0.6827   0.15013   0.14281  -0.0427   0.2032   1.0000
  12.000   0.6941   0.15544   0.14812  -0.0431   0.1988   1.0000
  12.250   0.6880   0.15723   0.14986  -0.0455   0.1925   1.0000
  12.500   0.7128   0.16460   0.15729  -0.0444   0.1853   1.0000
  12.750   0.6990   0.16484   0.15746  -0.0478   0.1810   1.0000
  13.000   0.7291   0.17337   0.16606  -0.0459   0.1713   1.0000
  13.250   0.7137   0.17288   0.16548  -0.0498   0.1691   1.0000
  13.500   0.7158   0.17552   0.16811  -0.0516   0.1627   1.0000
  13.750   0.7446   0.18492   0.17761  -0.0500   0.1571   1.0000
  14.000   0.7316   0.18397   0.17659  -0.0539   0.1552   1.0000
  14.250   0.7336   0.18633   0.17893  -0.0561   0.1498   1.0000
  14.500   0.7647   0.19705   0.18973  -0.0540   0.1432   1.0000
  14.750   0.7530   0.19546   0.18807  -0.0580   0.1418   1.0000
  15.000   0.7534   0.19695   0.18952  -0.0607   0.1365   1.0000
  15.250   0.7743   0.20454   0.19718  -0.0597   0.1299   1.0000
  15.500   0.7768   0.20737   0.19996  -0.0621   0.1285   1.0000
  15.750   0.7754   0.20783   0.20038  -0.0654   0.1253   1.0000
  16.000   0.7825   0.21095   0.20350  -0.0672   0.1210   1.0000
  16.250   0.7965   0.21653   0.20911  -0.0674   0.1169   1.0000
  16.500   0.8089   0.22313   0.21571  -0.0683   0.1150   1.0000
  16.750   0.8067   0.22227   0.21480  -0.0721   0.1130   1.0000
  17.000   0.8124   0.22462   0.21714  -0.0745   0.1089   1.0000
  17.250   0.8231   0.22882   0.22140  -0.0754   0.1043   1.0000
  17.500   0.8427   0.23920   0.23181  -0.0747   0.1015   1.0000
  17.750   0.8405   0.23731   0.22986  -0.0787   0.1006   1.0000
  18.000   0.8444   0.23841   0.23094  -0.0817   0.0980   1.0000
  18.250   0.8519   0.24133   0.23386  -0.0838   0.0948   1.0000
  18.500   0.8612   0.24497   0.23751  -0.0853   0.0918   1.0000
  18.750   0.8744   0.25119   0.24377  -0.0857   0.0893   1.0000
  19.000   0.8888   0.26014   0.25272  -0.0862   0.0880   1.0000
  19.250   0.8891   0.25816   0.25069  -0.0900   0.0874   1.0000
  19.500   0.8934   0.25854   0.25106  -0.0933   0.0856   1.0000
  19.750   0.9006   0.26098   0.25350  -0.0957   0.0830   1.0000
  20.000   0.9091   0.26413   0.25665  -0.0977   0.0801   1.0000
   0.000  -0.0000   0.00334  -0.00591   0.0000   1.0000   1.0000
  -0.250  -0.0164   0.00333  -0.00590  -0.0015   1.0000   1.0000
  -0.500  -0.0328   0.00330  -0.00590  -0.0029   1.0000   1.0000
  -0.750  -0.0484   0.00325  -0.00588  -0.0043   1.0000   1.0000
  -1.000  -0.0624   0.00321  -0.00584  -0.0057   1.0000   1.0000
  -1.250  -0.0741   0.00320  -0.00577  -0.0071   1.0000   1.0000
  -1.500  -0.0826   0.00327  -0.00562  -0.0082   1.0000   1.0000
  -1.750  -0.0982   0.00355  -0.00522  -0.0070   1.0000   0.9948
  -2.000  -0.2432   0.00400  -0.00418   0.0143   1.0000   0.9142
  -2.250  -0.3078   0.00421  -0.00379   0.0177   1.0000   0.8293
  -2.500  -0.3295   0.00468  -0.00350   0.0136   1.0000   0.7537
  -2.750  -0.3456   0.00531  -0.00315   0.0091   1.0000   0.6806
  -3.000  -0.3630   0.00601  -0.00273   0.0053   1.0000   0.6089
  -3.250  -0.3823   0.00680  -0.00226   0.0024   1.0000   0.5399
  -3.500  -0.4024   0.00765  -0.00172  -0.0000   1.0000   0.4774
  -3.750  -0.4242   0.00857  -0.00106  -0.0018   1.0000   0.4199
