  
       XFOIL         Version 6.99
  
 Calculated polar for: SA7026                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0769   0.02448   0.01525  -0.0506   1.0000   1.0000
   0.250   0.0969   0.02513   0.01559  -0.0505   1.0000   1.0000
   0.500   0.1165   0.02583   0.01602  -0.0503   1.0000   1.0000
   0.750   0.1357   0.02657   0.01654  -0.0502   1.0000   1.0000
   1.000   0.1543   0.02737   0.01711  -0.0501   1.0000   1.0000
   1.250   0.1807   0.02843   0.01797  -0.0516   0.9962   1.0000
   1.500   0.2290   0.03008   0.01940  -0.0571   0.9812   1.0000
   1.750   0.2713   0.03147   0.02063  -0.0613   0.9658   1.0000
   2.000   0.3118   0.03279   0.02181  -0.0651   0.9501   1.0000
   2.250   0.3519   0.03405   0.02298  -0.0686   0.9340   1.0000
   2.500   0.3925   0.03527   0.02413  -0.0719   0.9179   1.0000
   2.750   0.4342   0.03645   0.02527  -0.0753   0.9019   1.0000
   3.000   0.4639   0.03737   0.02619  -0.0767   0.8845   1.0000
   3.250   0.4964   0.03832   0.02715  -0.0784   0.8674   1.0000
   3.500   0.5320   0.03922   0.02811  -0.0804   0.8506   1.0000
   3.750   0.5704   0.04005   0.02898  -0.0826   0.8342   1.0000
   4.000   0.6050   0.04079   0.02980  -0.0840   0.8171   1.0000
   4.250   0.6314   0.04156   0.03065  -0.0843   0.7986   1.0000
   4.500   0.6671   0.04210   0.03135  -0.0855   0.7811   1.0000
   4.750   0.7093   0.04234   0.03174  -0.0872   0.7643   1.0000
   5.000   0.7340   0.04297   0.03249  -0.0868   0.7450   1.0000
   5.250   0.7687   0.04315   0.03285  -0.0873   0.7264   1.0000
   5.500   0.8146   0.04267   0.03266  -0.0884   0.7094   1.0000
   5.750   0.8426   0.04286   0.03305  -0.0877   0.6896   1.0000
   6.000   0.8827   0.04220   0.03264  -0.0876   0.6709   1.0000
   6.250   0.9444   0.03977   0.03065  -0.0886   0.6541   1.0000
   6.500   0.9804   0.03880   0.02996  -0.0874   0.6323   1.0000
   6.750   1.0543   0.03481   0.02645  -0.0882   0.6107   1.0000
   7.000   1.0974   0.03309   0.02499  -0.0870   0.5819   1.0000
   7.250   1.1276   0.03239   0.02448  -0.0849   0.5489   1.0000
   7.500   1.1643   0.03129   0.02344  -0.0830   0.5104   1.0000
   7.750   1.1890   0.03108   0.02327  -0.0804   0.4681   1.0000
   8.000   1.2065   0.03138   0.02352  -0.0771   0.4232   1.0000
   8.250   1.2209   0.03198   0.02394  -0.0737   0.3756   1.0000
   8.500   1.2290   0.03304   0.02480  -0.0699   0.3265   1.0000
   8.750   1.2332   0.03443   0.02578  -0.0658   0.2751   1.0000
   9.000   1.2301   0.03632   0.02746  -0.0612   0.2276   1.0000
   9.250   1.2275   0.03862   0.02939  -0.0569   0.1828   1.0000
   9.500   1.2248   0.04123   0.03173  -0.0530   0.1456   1.0000
   9.750   1.2241   0.04384   0.03414  -0.0495   0.1178   1.0000
  10.000   1.2369   0.04715   0.03733  -0.0478   0.0960   1.0000
  10.250   1.2646   0.05151   0.04189  -0.0474   0.0837   1.0000
  10.250   1.2646   0.05151   0.04189  -0.0474   0.0837   1.0000
  10.350   1.2705   0.05298   0.04361  -0.0467   0.0810   1.0000
  10.450   1.2778   0.05434   0.04499  -0.0464   0.0777   1.0000
  10.750   1.2888   0.05927   0.05030  -0.0444   0.0729   1.0000
  11.000   1.2847   0.06288   0.05440  -0.0413   0.0711   1.0000
  11.250   1.2767   0.06663   0.05855  -0.0384   0.0702   1.0000
  11.500   1.2644   0.07052   0.06279  -0.0357   0.0698   1.0000
  11.750   1.2480   0.07466   0.06726  -0.0334   0.0699   1.0000
  12.000   1.2283   0.07915   0.07204  -0.0319   0.0702   1.0000
  12.250   1.2069   0.08406   0.07721  -0.0313   0.0708   1.0000
  12.500   1.1839   0.08945   0.08283  -0.0318   0.0714   1.0000
  12.750   1.1603   0.09547   0.08905  -0.0333   0.0722   1.0000
  13.000   1.1388   0.10199   0.09570  -0.0356   0.0731   1.0000
  13.250   1.1181   0.10909   0.10292  -0.0388   0.0739   1.0000
  13.500   1.1020   0.11639   0.11028  -0.0421   0.0746   1.0000
  13.500   1.1020   0.11639   0.11028  -0.0421   0.0746   1.0000
  13.600   1.0977   0.11920   0.11311  -0.0433   0.0749   1.0000
  14.000   1.0020   0.15318   0.14694  -0.0691   0.0984   1.0000
  14.250   1.0053   0.15930   0.15306  -0.0707   0.0997   1.0000
  14.250   1.0030   0.15990   0.15367  -0.0715   0.1006   1.0000
  15.000   0.9536   0.19615   0.18960  -0.0987   0.2102   1.0000
  15.250   0.9604   0.20094   0.19437  -0.1001   0.2040   1.0000
  15.500   0.9649   0.20450   0.19794  -0.1017   0.1961   1.0000
  15.750   0.9852   0.21216   0.20565  -0.1015   0.1925   1.0000
  16.000   0.9731   0.21276   0.20617  -0.1058   0.1886   1.0000
  16.250   0.9816   0.21682   0.21024  -0.1072   0.1824   1.0000
  16.500   0.9948   0.22283   0.21626  -0.1078   0.1783   1.0000
  16.750   0.9908   0.22421   0.21760  -0.1114   0.1726   1.0000
  17.000   1.0138   0.23215   0.22560  -0.1102   0.1654   1.0000
  17.250   1.0052   0.23207   0.22545  -0.1148   0.1619   1.0000
  17.500   1.0146   0.23590   0.22930  -0.1160   0.1552   1.0000
  17.750   1.0326   0.24371   0.23714  -0.1158   0.1520   1.0000
  18.000   1.0258   0.24322   0.23659  -0.1205   0.1487   1.0000
  18.250   1.0328   0.24654   0.23991  -0.1224   0.1435   1.0000
  18.500   1.0559   0.25600   0.24947  -0.1210   0.1393   1.0000
  18.750   1.0513   0.25567   0.24905  -0.1255   0.1377   1.0000
  19.000   1.0532   0.25723   0.25059  -0.1288   0.1330   1.0000
  19.250   1.0633   0.26131   0.25474  -0.1300   0.1286   1.0000
  19.500   1.0830   0.27101   0.26450  -0.1292   0.1257   1.0000
  19.750   1.0776   0.26887   0.26229  -0.1343   0.1238   1.0000
  20.000   1.0826   0.27109   0.26450  -0.1371   0.1190   1.0000
   0.000   0.0769   0.02448   0.01525  -0.0506   1.0000   1.0000
  -0.250   0.0564   0.02388   0.01503  -0.0508   1.0000   1.0000
  -0.500   0.0354   0.02332   0.01491  -0.0510   1.0000   1.0000
  -0.750   0.0135   0.02280   0.01497  -0.0511   1.0000   1.0000
  -1.000  -0.0073   0.02632   0.01606  -0.0545   1.0000   0.2450
  -1.250  -0.0383   0.02782   0.01710  -0.0540   1.0000   0.1479
  -1.500  -0.0632   0.02877   0.01818  -0.0546   1.0000   0.1242
  -1.750  -0.0875   0.02997   0.01949  -0.0553   1.0000   0.1148
  -2.000  -0.1140   0.03135   0.02131  -0.0557   1.0000   0.1112
  -2.250  -0.1415   0.03312   0.02354  -0.0559   1.0000   0.1106
  -2.500  -0.1696   0.03527   0.02619  -0.0556   1.0000   0.1120
  -2.750  -0.1982   0.03778   0.02920  -0.0549   1.0000   0.1134
  -3.000  -0.2256   0.04061   0.03242  -0.0540   1.0000   0.1153
  -3.250  -0.3111   0.05213   0.04608  -0.0378   1.0000   0.2339
  -3.250  -0.2598   0.04475   0.03731  -0.0515   1.0000   0.1289
  -3.750  -0.4208   0.06846   0.06349   0.0054   1.0000   0.4053
  -4.000  -0.4225   0.07089   0.06590   0.0023   1.0000   0.3770
  -4.250  -0.4236   0.07341   0.06837  -0.0001   1.0000   0.3528
  -4.500  -0.4266   0.07595   0.07086  -0.0031   1.0000   0.3321
  -4.500  -0.4266   0.07595   0.07085  -0.0031   1.0000   0.3321
  -4.600  -0.4245   0.07687   0.07175  -0.0028   1.0000   0.3235
  -4.700  -0.4275   0.07795   0.07281  -0.0046   1.0000   0.3176
  -5.000  -0.4270   0.08121   0.07599  -0.0066   1.0000   0.2991
  -5.250  -0.4245   0.08357   0.07829  -0.0078   1.0000   0.2843
  -5.500  -0.4280   0.08661   0.08128  -0.0110   1.0000   0.2718
  -5.750  -0.4263   0.08894   0.08357  -0.0126   1.0000   0.2588
  -6.000  -0.4071   0.08992   0.08442  -0.0117   1.0000   0.2498
  -6.250  -0.4071   0.09277   0.08720  -0.0140   1.0000   0.2419
  -6.500  -0.4078   0.09533   0.08971  -0.0166   1.0000   0.2309
  -6.750  -0.3874   0.09631   0.09053  -0.0178   1.0000   0.2269
  -7.000  -0.3713   0.09711   0.09121  -0.0208   1.0000   0.2204
