  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7034                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1946   0.02995   0.02104  -0.0733   0.9049   1.0000
   0.250   0.2295   0.03084   0.02165  -0.0754   0.8921   1.0000
   0.500   0.2662   0.03173   0.02229  -0.0776   0.8792   1.0000
   0.750   0.3064   0.03261   0.02295  -0.0802   0.8666   1.0000
   1.000   0.3356   0.03342   0.02359  -0.0811   0.8528   1.0000
   1.250   0.3628   0.03426   0.02430  -0.0817   0.8390   1.0000
   1.500   0.3905   0.03512   0.02504  -0.0823   0.8252   1.0000
   1.750   0.4195   0.03598   0.02580  -0.0830   0.8115   1.0000
   2.000   0.4496   0.03682   0.02655  -0.0838   0.7979   1.0000
   2.250   0.4817   0.03761   0.02727  -0.0847   0.7846   1.0000
   2.500   0.5186   0.03825   0.02785  -0.0860   0.7715   1.0000
   2.750   0.5512   0.03891   0.02848  -0.0867   0.7580   1.0000
   3.000   0.5743   0.03979   0.02933  -0.0863   0.7435   1.0000
   3.250   0.5978   0.04067   0.03020  -0.0860   0.7291   1.0000
   3.500   0.6212   0.04157   0.03109  -0.0856   0.7148   1.0000
   3.750   0.6458   0.04241   0.03194  -0.0852   0.7004   1.0000
   4.000   0.6700   0.04328   0.03282  -0.0848   0.6863   1.0000
   4.250   0.6957   0.04405   0.03363  -0.0844   0.6722   1.0000
   4.500   0.7224   0.04477   0.03438  -0.0840   0.6583   1.0000
   4.750   0.7538   0.04517   0.03483  -0.0838   0.6450   1.0000
   5.000   0.8008   0.04439   0.03415  -0.0839   0.6341   1.0000
   5.250   0.8213   0.04524   0.03506  -0.0828   0.6194   1.0000
   5.500   0.8403   0.04624   0.03613  -0.0817   0.6048   1.0000
   5.750   0.8604   0.04713   0.03711  -0.0805   0.5903   1.0000
   6.000   0.8785   0.04824   0.03829  -0.0793   0.5759   1.0000
   6.250   0.8978   0.04921   0.03934  -0.0781   0.5616   1.0000
   6.250   0.8978   0.04921   0.03934  -0.0781   0.5616   1.0000
   6.350   0.9295   0.04743   0.03763  -0.0779   0.5586   1.0000
   6.750   0.9367   0.05112   0.04145  -0.0755   0.5336   1.0000
   7.000   0.9639   0.05131   0.04176  -0.0743   0.5204   1.0000
   7.250   1.0464   0.04612   0.03676  -0.0736   0.5110   1.0000
   7.500   1.0667   0.04682   0.03758  -0.0721   0.4962   1.0000
   7.750   1.0899   0.04722   0.03810  -0.0706   0.4813   1.0000
   8.000   1.1129   0.04767   0.03869  -0.0691   0.4665   1.0000
   8.250   1.1437   0.04731   0.03845  -0.0677   0.4512   1.0000
   8.500   1.1793   0.04655   0.03778  -0.0664   0.4354   1.0000
   8.750   1.2112   0.04613   0.03746  -0.0651   0.4187   1.0000
   9.000   1.2263   0.04725   0.03872  -0.0633   0.4024   1.0000
   9.250   1.2412   0.04834   0.03994  -0.0615   0.3858   1.0000
   9.500   1.2566   0.04933   0.04105  -0.0596   0.3689   1.0000
   9.750   1.2761   0.04993   0.04178  -0.0578   0.3512   1.0000
  10.000   1.3293   0.04761   0.03930  -0.0571   0.3274   1.0000
  10.000   1.3293   0.04761   0.03930  -0.0571   0.3274   1.0000
  10.100   1.3155   0.04967   0.04155  -0.0556   0.3235   1.0000
  10.200   1.3435   0.04822   0.03995  -0.0557   0.3121   1.0000
  10.500   1.3451   0.05078   0.04273  -0.0527   0.2932   1.0000
  10.750   1.3585   0.05190   0.04393  -0.0506   0.2750   1.0000
  11.000   1.3923   0.05173   0.04356  -0.0496   0.2527   1.0000
  11.250   1.3974   0.05367   0.04559  -0.0473   0.2375   1.0000
  11.500   1.4039   0.05568   0.04767  -0.0452   0.2230   1.0000
  11.750   1.3753   0.05994   0.05230  -0.0417   0.2182   1.0000
  12.000   1.3789   0.06206   0.05446  -0.0396   0.2063   1.0000
  12.250   1.3418   0.06738   0.06004  -0.0372   0.2051   1.0000
  12.500   1.2935   0.07504   0.06790  -0.0371   0.2068   1.0000
  12.750   1.2402   0.08530   0.07827  -0.0398   0.2092   1.0000
  12.750   1.2402   0.08530   0.07827  -0.0398   0.2092   1.0000
  12.850   1.2183   0.09019   0.08317  -0.0416   0.2099   1.0000
  13.100   1.3106   0.08071   0.07368  -0.0346   0.1817   1.0000
  13.750   0.8973   0.17405   0.16612  -0.0961   0.3396   1.0000
  14.000   0.9197   0.17939   0.17158  -0.0961   0.3278   1.0000
  14.250   0.9079   0.18117   0.17335  -0.0983   0.3199   1.0000
  14.500   0.9238   0.18629   0.17856  -0.0989   0.3119   1.0000
  14.750   0.9376   0.19030   0.18268  -0.0992   0.2992   1.0000
  15.000   0.9295   0.19283   0.18519  -0.1019   0.2947   1.0000
  15.250   0.9590   0.19992   0.19242  -0.1012   0.2834   1.0000
  15.500   0.9410   0.19988   0.19232  -0.1048   0.2775   1.0000
  15.750   0.9699   0.20740   0.19998  -0.1040   0.2684   1.0000
  16.000   0.9548   0.20733   0.19986  -0.1077   0.2631   1.0000
  16.250   0.9814   0.21466   0.20731  -0.1069   0.2535   1.0000
  16.500   0.9687   0.21445   0.20706  -0.1107   0.2473   1.0000
  16.750   0.9944   0.22182   0.21458  -0.1099   0.2394   1.0000
  17.000   0.9841   0.22218   0.21487  -0.1138   0.2353   1.0000
  17.250   1.0025   0.22752   0.22032  -0.1138   0.2255   1.0000
  17.500   1.0008   0.22987   0.22264  -0.1169   0.2220   1.0000
  17.750   1.0061   0.23258   0.22538  -0.1188   0.2145   1.0000
  18.000   1.0237   0.23936   0.23224  -0.1189   0.2093   1.0000
  18.250   1.0192   0.23950   0.23235  -0.1227   0.2026   1.0000
  18.500   1.0397   0.24640   0.23936  -0.1221   0.1963   1.0000
  18.750   1.0377   0.24791   0.24083  -0.1257   0.1935   1.0000
  19.000   1.0426   0.25013   0.24307  -0.1280   0.1860   1.0000
  19.250   1.0634   0.25859   0.25163  -0.1274   0.1810   1.0000
  19.500   1.0569   0.25732   0.25032  -0.1321   0.1772   1.0000
  19.750   1.0658   0.26068   0.25372  -0.1337   0.1711   1.0000
  20.000   1.0837   0.26875   0.26185  -0.1335   0.1669   1.0000
   0.000   0.1946   0.02995   0.02104  -0.0733   0.9049   1.0000
  -0.250   0.1602   0.02908   0.02050  -0.0713   0.9177   1.0000
  -0.500   0.1250   0.02823   0.02007  -0.0690   0.9307   1.0000
  -0.750   0.0884   0.02741   0.01984  -0.0665   0.9436   1.0000
  -1.000   0.0485   0.02959   0.02021  -0.0665   0.9530   0.3970
  -1.250   0.0061   0.03041   0.02048  -0.0637   0.9630   0.2913
  -1.500  -0.0345   0.03099   0.02095  -0.0612   0.9734   0.2414
  -1.750  -0.0767   0.03168   0.02178  -0.0582   0.9838   0.2068
  -2.000  -0.1233   0.03255   0.02286  -0.0543   0.9934   0.1819
  -2.250  -0.1658   0.03390   0.02465  -0.0511   1.0000   0.1676
  -2.500  -0.1893   0.03539   0.02641  -0.0508   1.0000   0.1599
  -2.750  -0.2161   0.03741   0.02899  -0.0500   1.0000   0.1561
  -3.000  -0.2432   0.03988   0.03200  -0.0487   1.0000   0.1543
  -3.250  -0.2707   0.04292   0.03557  -0.0468   1.0000   0.1544
  -3.500  -0.3008   0.04715   0.04033  -0.0439   1.0000   0.1659
  -3.500  -0.2964   0.04671   0.03967  -0.0450   1.0000   0.1617
  -4.000  -0.4260   0.07253   0.06779   0.0134   1.0000   0.4205
  -4.250  -0.4204   0.07430   0.06950   0.0107   1.0000   0.3921
  -4.500  -0.4228   0.07664   0.07178   0.0065   1.0000   0.3718
  -4.750  -0.4234   0.07914   0.07422   0.0031   1.0000   0.3545
  -5.000  -0.4211   0.08140   0.07642   0.0004   1.0000   0.3382
  -5.000  -0.4211   0.08140   0.07642   0.0004   1.0000   0.3382
  -5.100  -0.4036   0.08106   0.07602   0.0023   1.0000   0.3309
  -5.200  -0.4060   0.08201   0.07696   0.0006   1.0000   0.3251
