  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7080 (9.2%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0353   0.01988   0.01021  -0.0263   1.0000   1.0000
   0.250   0.0538   0.02043   0.01060  -0.0261   1.0000   1.0000
   0.500   0.0718   0.02103   0.01107  -0.0259   1.0000   1.0000
   0.750   0.0894   0.02171   0.01162  -0.0258   1.0000   1.0000
   1.000   0.1105   0.02254   0.01234  -0.0266   0.9980   1.0000
   1.250   0.1707   0.02401   0.01369  -0.0344   0.9768   1.0000
   1.500   0.2290   0.02529   0.01488  -0.0413   0.9554   1.0000
   1.750   0.2810   0.02625   0.01580  -0.0468   0.9325   1.0000
   2.000   0.3316   0.02704   0.01659  -0.0516   0.9100   1.0000
   2.250   0.3823   0.02762   0.01720  -0.0560   0.8873   1.0000
   2.500   0.4265   0.02804   0.01768  -0.0590   0.8637   1.0000
   2.750   0.4823   0.02811   0.01784  -0.0632   0.8422   1.0000
   3.000   0.5236   0.02819   0.01801  -0.0650   0.8181   1.0000
   3.250   0.5814   0.02761   0.01759  -0.0683   0.7980   1.0000
   3.500   0.6165   0.02746   0.01754  -0.0683   0.7732   1.0000
   3.750   0.6581   0.02694   0.01713  -0.0686   0.7501   1.0000
   4.000   0.6998   0.02625   0.01658  -0.0684   0.7269   1.0000
   4.250   0.7320   0.02598   0.01640  -0.0673   0.7005   1.0000
   4.500   0.7639   0.02574   0.01621  -0.0660   0.6738   1.0000
   4.750   0.7942   0.02562   0.01615  -0.0645   0.6461   1.0000
   5.000   0.8224   0.02568   0.01622  -0.0629   0.6176   1.0000
   5.250   0.8489   0.02592   0.01645  -0.0612   0.5885   1.0000
   5.500   0.8742   0.02630   0.01682  -0.0595   0.5592   1.0000
   5.750   0.8986   0.02681   0.01734  -0.0579   0.5300   1.0000
   6.000   0.9223   0.02742   0.01794  -0.0562   0.5011   1.0000
   6.250   0.9456   0.02812   0.01862  -0.0546   0.4723   1.0000
   6.500   0.9688   0.02891   0.01937  -0.0531   0.4445   1.0000
   6.750   0.9919   0.02974   0.02018  -0.0515   0.4170   1.0000
   7.000   1.0132   0.03073   0.02120  -0.0500   0.3898   1.0000
   7.250   1.0329   0.03193   0.02248  -0.0484   0.3635   1.0000
   7.500   1.0528   0.03315   0.02376  -0.0468   0.3380   1.0000
   7.750   1.0744   0.03436   0.02496  -0.0453   0.3136   1.0000
   8.000   1.0933   0.03572   0.02639  -0.0437   0.2896   1.0000
   8.250   1.1104   0.03736   0.02817  -0.0420   0.2671   1.0000
   8.500   1.1315   0.03874   0.02946  -0.0406   0.2448   1.0000
   8.750   1.1443   0.04079   0.03177  -0.0386   0.2247   1.0000
   9.000   1.1598   0.04285   0.03401  -0.0368   0.2059   1.0000
   9.250   1.1789   0.04471   0.03575  -0.0354   0.1867   1.0000
   9.500   1.1882   0.04745   0.03879  -0.0332   0.1716   1.0000
   9.750   1.1957   0.05017   0.04176  -0.0310   0.1571   1.0000
  10.000   1.2018   0.05295   0.04474  -0.0288   0.1433   1.0000
  10.250   1.2074   0.05570   0.04761  -0.0267   0.1304   1.0000
  10.500   1.2139   0.05834   0.05029  -0.0248   0.1180   1.0000
  10.750   1.1953   0.06287   0.05540  -0.0218   0.1159   1.0000
  11.000   1.1746   0.06744   0.06036  -0.0194   0.1147   1.0000
  11.250   1.1493   0.07202   0.06519  -0.0172   0.1148   1.0000
  11.500   1.1231   0.07716   0.07052  -0.0164   0.1158   1.0000
  11.750   1.0965   0.08309   0.07659  -0.0172   0.1169   1.0000
  12.000   1.0725   0.08981   0.08338  -0.0194   0.1180   1.0000
  12.000   1.0672   0.09037   0.08399  -0.0200   0.1196   1.0000
  12.100   1.0610   0.09297   0.08661  -0.0209   0.1192   1.0000
  12.200   1.0540   0.09581   0.08945  -0.0219   0.1188   1.0000
  13.000   0.8357   0.16287   0.15565  -0.0765   0.2914   1.0000
  13.250   0.8386   0.16684   0.15965  -0.0776   0.2814   1.0000
  13.500   0.8515   0.17195   0.16482  -0.0779   0.2708   1.0000
  13.750   0.8690   0.17777   0.17076  -0.0778   0.2578   1.0000
