  
       XFOIL         Version 6.99
  
 Calculated polar for: SD8020-010-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.01801   0.00792   0.0000   1.0000   1.0000
   0.250  -0.0007   0.01806   0.00796   0.0038   1.0000   1.0000
   0.500  -0.0002   0.01820   0.00808   0.0073   1.0000   1.0000
   0.750   0.0020   0.01843   0.00828   0.0104   1.0000   1.0000
   1.000   0.0058   0.01874   0.00857   0.0132   1.0000   1.0000
   1.250   0.0105   0.01914   0.00895   0.0156   1.0000   1.0000
   1.500   0.0162   0.01963   0.00943   0.0176   1.0000   1.0000
   1.750   0.0228   0.02021   0.01001   0.0193   1.0000   1.0000
   2.000   0.0707   0.02127   0.01120   0.0130   0.9852   1.0000
   2.250   0.1642   0.02225   0.01248  -0.0007   0.9489   1.0000
   2.500   0.2652   0.02249   0.01312  -0.0143   0.9099   1.0000
   2.750   0.3722   0.02171   0.01284  -0.0267   0.8658   1.0000
   3.000   0.4354   0.02094   0.01234  -0.0302   0.8169   1.0000
   3.250   0.4731   0.02050   0.01198  -0.0290   0.7671   1.0000
   3.500   0.4969   0.02044   0.01190  -0.0257   0.7162   1.0000
   3.750   0.5173   0.02054   0.01189  -0.0222   0.6641   1.0000
   4.000   0.5360   0.02083   0.01203  -0.0187   0.6113   1.0000
   4.250   0.5547   0.02126   0.01224  -0.0154   0.5589   1.0000
   4.500   0.5725   0.02189   0.01270  -0.0124   0.5066   1.0000
   4.750   0.5908   0.02264   0.01322  -0.0097   0.4573   1.0000
   5.000   0.6093   0.02351   0.01386  -0.0072   0.4113   1.0000
   5.250   0.6276   0.02454   0.01475  -0.0049   0.3691   1.0000
   5.250   0.6276   0.02454   0.01475  -0.0049   0.3690   1.0000
   5.350   0.6351   0.02498   0.01510  -0.0041   0.3534   1.0000
   5.450   0.6428   0.02545   0.01552  -0.0032   0.3387   1.0000
   5.750   0.6650   0.02695   0.01697  -0.0008   0.2975   1.0000
   6.000   0.6842   0.02836   0.01834   0.0011   0.2682   1.0000
   6.250   0.7029   0.02992   0.01991   0.0029   0.2420   1.0000
   6.500   0.7220   0.03151   0.02139   0.0047   0.2181   1.0000
   6.750   0.7386   0.03341   0.02353   0.0067   0.1971   1.0000
   7.000   0.7569   0.03525   0.02537   0.0084   0.1783   1.0000
   7.250   0.7744   0.03747   0.02761   0.0100   0.1626   1.0000
   7.500   0.7853   0.04029   0.03099   0.0124   0.1521   1.0000
   7.750   0.7956   0.04345   0.03450   0.0145   0.1436   1.0000
   8.000   0.8131   0.04595   0.03690   0.0158   0.1339   1.0000
   8.250   0.8130   0.05015   0.04176   0.0182   0.1320   1.0000
   8.500   0.8089   0.05475   0.04687   0.0203   0.1311   1.0000
   8.750   0.8003   0.05956   0.05206   0.0219   0.1308   1.0000
   9.000   0.7878   0.06455   0.05732   0.0229   0.1311   1.0000
   9.250   0.7743   0.06963   0.06255   0.0234   0.1321   1.0000
   9.500   0.7589   0.07483   0.06784   0.0234   0.1330   1.0000
   9.750   0.7460   0.07992   0.07298   0.0232   0.1346   1.0000
   9.750   0.7460   0.07992   0.07298   0.0232   0.1346   1.0000
  10.250   0.4785   0.11276   0.10576  -0.0080   0.3211   1.0000
  10.500   0.4643   0.11521   0.10816  -0.0085   0.3112   1.0000
  10.750   0.5866   0.12455   0.11707  -0.0156   0.2899   1.0000
  11.000   0.6086   0.12998   0.12255  -0.0148   0.2776   1.0000
  11.250   0.5873   0.13135   0.12382  -0.0168   0.2698   1.0000
  11.500   0.6080   0.13713   0.12965  -0.0164   0.2626   1.0000
  11.750   0.5947   0.13882   0.13128  -0.0181   0.2544   1.0000
  12.000   0.6041   0.14329   0.13575  -0.0184   0.2463   1.0000
  12.250   0.6277   0.14921   0.14174  -0.0174   0.2340   1.0000
  12.500   0.6069   0.14981   0.14222  -0.0202   0.2288   1.0000
  12.750   0.6300   0.15573   0.14824  -0.0194   0.2203   1.0000
  13.000   0.6182   0.15752   0.14995  -0.0218   0.2165   1.0000
  13.250   0.6259   0.16119   0.15363  -0.0224   0.2079   1.0000
  13.500   0.6314   0.16538   0.15779  -0.0234   0.2033   1.0000
  13.750   0.6343   0.16805   0.16046  -0.0244   0.1941   1.0000
  14.000   0.6433   0.17275   0.16514  -0.0252   0.1893   1.0000
  14.250   0.6414   0.17466   0.16702  -0.0271   0.1820   1.0000
  14.500   0.6718   0.18364   0.17608  -0.0258   0.1765   1.0000
  14.750   0.6551   0.18243   0.17477  -0.0293   0.1738   1.0000
  15.000   0.6589   0.18514   0.17748  -0.0309   0.1676   1.0000
  15.250   0.6828   0.19322   0.18560  -0.0301   0.1620   1.0000
  15.500   0.6726   0.19258   0.18488  -0.0334   0.1592   1.0000
  15.750   0.6785   0.19542   0.18773  -0.0349   0.1528   1.0000
  16.000   0.6994   0.20321   0.19558  -0.0343   0.1478   1.0000
  16.250   0.6917   0.20250   0.19479  -0.0378   0.1445   1.0000
  16.500   0.6979   0.20537   0.19767  -0.0394   0.1397   1.0000
  16.750   0.7141   0.21121   0.20355  -0.0393   0.1353   1.0000
  17.000   0.7228   0.21609   0.20841  -0.0407   0.1336   1.0000
  17.250   0.7196   0.21580   0.20806  -0.0440   0.1305   1.0000
  17.500   0.7262   0.21863   0.21089  -0.0458   0.1259   1.0000
  17.750   0.7412   0.22425   0.21654  -0.0458   0.1216   1.0000
  18.000   0.7507   0.22943   0.22170  -0.0472   0.1197   1.0000
  18.250   0.7488   0.22880   0.22103  -0.0506   0.1168   1.0000
  18.500   0.7556   0.23144   0.22367  -0.0525   0.1128   1.0000
  18.750   0.7677   0.23602   0.22830  -0.0531   0.1085   1.0000
  19.000   0.7865   0.24594   0.23824  -0.0528   0.1065   1.0000
  19.250   0.7836   0.24383   0.23608  -0.0565   0.1056   1.0000
