  
       XFOIL         Version 6.99
  
 Calculated polar for: SD8040 (10%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0077   0.02187   0.01272  -0.0255   1.0000   1.0000
   0.250   0.0255   0.02253   0.01320  -0.0254   1.0000   1.0000
   0.500   0.0817   0.02395   0.01438  -0.0323   0.9833   1.0000
   0.750   0.1335   0.02514   0.01539  -0.0381   0.9642   1.0000
   1.000   0.1877   0.02631   0.01640  -0.0440   0.9456   1.0000
   1.250   0.2326   0.02720   0.01719  -0.0481   0.9253   1.0000
   1.500   0.2773   0.02799   0.01791  -0.0518   0.9049   1.0000
   1.750   0.3248   0.02868   0.01855  -0.0557   0.8851   1.0000
   2.000   0.3754   0.02922   0.01907  -0.0597   0.8661   1.0000
   2.250   0.4095   0.02970   0.01955  -0.0609   0.8443   1.0000
   2.500   0.4526   0.03000   0.01987  -0.0632   0.8237   1.0000
   2.750   0.5036   0.02998   0.01991  -0.0662   0.8046   1.0000
   3.000   0.5520   0.02975   0.01974  -0.0683   0.7859   1.0000
   3.250   0.5813   0.02993   0.01996  -0.0678   0.7633   1.0000
   3.500   0.6228   0.02953   0.01965  -0.0682   0.7435   1.0000
   3.750   0.6663   0.02886   0.01904  -0.0684   0.7246   1.0000
   4.000   0.6950   0.02883   0.01908  -0.0672   0.7017   1.0000
   4.250   0.7302   0.02838   0.01868  -0.0663   0.6800   1.0000
   4.500   0.7666   0.02780   0.01811  -0.0652   0.6587   1.0000
   4.750   0.7919   0.02793   0.01830  -0.0635   0.6335   1.0000
   5.000   0.8236   0.02765   0.01800  -0.0621   0.6101   1.0000
   5.250   0.8493   0.02782   0.01817  -0.0604   0.5843   1.0000
   5.500   0.8747   0.02808   0.01841  -0.0587   0.5586   1.0000
   5.750   0.9035   0.02814   0.01840  -0.0572   0.5335   1.0000
   6.000   0.9248   0.02880   0.01908  -0.0555   0.5066   1.0000
   6.250   0.9492   0.02931   0.01954  -0.0539   0.4811   1.0000
   6.500   0.9737   0.02986   0.02004  -0.0524   0.4558   1.0000
   6.750   0.9942   0.03075   0.02096  -0.0508   0.4302   1.0000
   7.000   1.0206   0.03135   0.02139  -0.0495   0.4066   1.0000
   7.250   1.0379   0.03257   0.02276  -0.0478   0.3823   1.0000
   7.500   1.0630   0.03339   0.02343  -0.0467   0.3599   1.0000
   7.750   1.0796   0.03483   0.02502  -0.0450   0.3380   1.0000
   8.000   1.0998   0.03607   0.02627  -0.0436   0.3172   1.0000
   8.250   1.1237   0.03721   0.02729  -0.0425   0.2976   1.0000
   8.500   1.1386   0.03894   0.02920  -0.0408   0.2793   1.0000
   8.750   1.1543   0.04076   0.03117  -0.0392   0.2624   1.0000
   9.000   1.1696   0.04260   0.03313  -0.0376   0.2462   1.0000
   9.250   1.1846   0.04463   0.03530  -0.0360   0.2319   1.0000
   9.500   1.1995   0.04667   0.03743  -0.0345   0.2182   1.0000
   9.750   1.2171   0.04872   0.03950  -0.0333   0.2054   1.0000
  10.000   1.2166   0.05183   0.04305  -0.0309   0.1962   1.0000
  10.250   1.2210   0.05504   0.04648  -0.0290   0.1882   1.0000
  10.500   1.2442   0.05697   0.04831  -0.0283   0.1770   1.0000
  10.750   1.2209   0.06177   0.05368  -0.0252   0.1748   1.0000
  11.000   1.1934   0.06691   0.05919  -0.0227   0.1736   1.0000
  11.250   1.1593   0.07227   0.06476  -0.0205   0.1739   1.0000
  11.500   1.1208   0.07879   0.07142  -0.0203   0.1753   1.0000
  11.750   1.0835   0.08677   0.07947  -0.0224   0.1767   1.0000
  11.750   1.0835   0.08677   0.07947  -0.0224   0.1767   1.0000
  11.850   1.0691   0.09042   0.08312  -0.0238   0.1771   1.0000
  12.750   0.8164   0.15875   0.15086  -0.0740   0.3165   1.0000
  13.000   0.8240   0.16345   0.15560  -0.0750   0.3106   1.0000
  13.000   0.8240   0.16345   0.15560  -0.0750   0.3106   1.0000
