  
       XFOIL         Version 6.99
  
 Calculated polar for: SG6040                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0868   0.04471   0.03531  -0.0432   0.9127   0.9959
   0.250   0.1087   0.04496   0.03550  -0.0449   0.9022   1.0000
   0.500   0.1272   0.04532   0.03579  -0.0457   0.8929   1.0000
   0.750   0.1335   0.04556   0.03600  -0.0445   0.8829   1.0000
   1.000   0.1406   0.04589   0.03629  -0.0433   0.8733   1.0000
   1.250   0.1553   0.04627   0.03662  -0.0433   0.8640   1.0000
   1.500   0.1497   0.04653   0.03687  -0.0402   0.8549   1.0000
   1.750   0.1678   0.04700   0.03728  -0.0406   0.8461   1.0000
   2.000   0.1508   0.04713   0.03741  -0.0358   0.8379   1.0000
   2.250   0.1653   0.04755   0.03779  -0.0355   0.8292   1.0000
   2.500   0.1458   0.04759   0.03782  -0.0305   0.8220   1.0000
   2.750   0.1544   0.04807   0.03825  -0.0297   0.8142   1.0000
   3.000   0.1647   0.04878   0.03891  -0.0293   0.8054   1.0000
   3.250   0.1929   0.04982   0.03989  -0.0314   0.7962   1.0000
   3.500   0.2064   0.05087   0.04090  -0.0318   0.7874   1.0000
   3.750   0.2514   0.05222   0.04221  -0.0358   0.7769   1.0000
   4.000   0.2523   0.05337   0.04334  -0.0348   0.7692   1.0000
   4.250   0.2899   0.05473   0.04467  -0.0377   0.7584   1.0000
   4.500   0.2981   0.05613   0.04605  -0.0376   0.7506   1.0000
   4.750   0.3291   0.05758   0.04749  -0.0396   0.7401   1.0000
   5.000   0.3429   0.05912   0.04902  -0.0400   0.7320   1.0000
   5.250   0.3665   0.06064   0.05055  -0.0412   0.7215   1.0000
   5.500   0.4096   0.06201   0.05193  -0.0439   0.7095   1.0000
   5.750   0.4028   0.06392   0.05385  -0.0425   0.7025   1.0000
   6.000   0.4332   0.06535   0.05530  -0.0439   0.6898   1.0000
   6.250   0.4510   0.06701   0.05699  -0.0444   0.6795   1.0000
   6.500   0.4635   0.06875   0.05876  -0.0443   0.6679   1.0000
   6.750   0.4894   0.07031   0.06037  -0.0452   0.6554   1.0000
   7.000   0.5212   0.07157   0.06169  -0.0462   0.6410   1.0000
   7.250   0.5394   0.07316   0.06334  -0.0464   0.6281   1.0000
   7.500   0.5452   0.07520   0.06544  -0.0459   0.6154   1.0000
   7.750   0.5640   0.07681   0.06711  -0.0459   0.6010   1.0000
   8.000   0.5856   0.07826   0.06864  -0.0460   0.5854   1.0000
   8.250   0.6073   0.07970   0.07017  -0.0460   0.5697   1.0000
   8.500   0.6291   0.08104   0.07160  -0.0459   0.5536   1.0000
