  
       XFOIL         Version 6.99
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1036   0.04328   0.03486  -0.0083   1.0000   1.0000
   0.250  -0.1050   0.04305   0.03459  -0.0063   1.0000   1.0000
   0.500  -0.1071   0.04281   0.03431  -0.0042   1.0000   1.0000
   0.500  -0.1071   0.04281   0.03431  -0.0042   1.0000   1.0000
   0.600  -0.1081   0.04270   0.03419  -0.0034   1.0000   1.0000
   1.000   0.0495   0.04656   0.03759  -0.0273   0.9297   1.0000
   1.250   0.0718   0.04682   0.03777  -0.0287   0.9112   1.0000
   1.500   0.0901   0.04703   0.03791  -0.0293   0.8935   1.0000
   1.750   0.1079   0.04726   0.03808  -0.0297   0.8762   1.0000
   2.000   0.1256   0.04748   0.03824  -0.0299   0.8587   1.0000
   2.250   0.1424   0.04769   0.03839  -0.0299   0.8416   1.0000
   2.500   0.1624   0.04797   0.03861  -0.0303   0.8242   1.0000
   2.750   0.1900   0.04844   0.03901  -0.0319   0.8068   1.0000
   3.000   0.2250   0.04902   0.03953  -0.0345   0.7891   1.0000
   3.250   0.2633   0.04963   0.04007  -0.0374   0.7715   1.0000
   3.500   0.3032   0.05020   0.04059  -0.0403   0.7542   1.0000
   3.750   0.3434   0.05071   0.04106  -0.0432   0.7371   1.0000
   4.000   0.3788   0.05124   0.04156  -0.0454   0.7196   1.0000
   4.250   0.4086   0.05191   0.04222  -0.0471   0.7015   1.0000
   4.250   0.4086   0.05191   0.04222  -0.0471   0.7015   1.0000
   4.350   0.4150   0.05232   0.04263  -0.0473   0.6931   1.0000
   4.450   0.4432   0.05210   0.04241  -0.0492   0.6885   1.0000
   4.750   0.4762   0.05301   0.04331  -0.0507   0.6668   1.0000
   5.000   0.5109   0.05345   0.04374  -0.0524   0.6501   1.0000
   5.250   0.5465   0.05376   0.04407  -0.0539   0.6340   1.0000
   5.500   0.5839   0.05389   0.04420  -0.0553   0.6188   1.0000
   5.750   0.6376   0.05273   0.04308  -0.0572   0.6064   1.0000
