  
       XFOIL         Version 6.99
  
 Calculated polar for: St. CYR 172 (Royer)                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0001   0.02571   0.01729   0.0000   1.0000   1.0000
   0.250   0.0765   0.02581   0.01740  -0.0137   0.9695   1.0000
   0.500   0.2014   0.02497   0.01661  -0.0323   0.9257   1.0000
   0.750   0.3130   0.02356   0.01526  -0.0468   0.8797   1.0000
   1.000   0.3703   0.02271   0.01432  -0.0511   0.8278   1.0000
   1.250   0.4007   0.02229   0.01374  -0.0507   0.7832   1.0000
   1.500   0.4228   0.02216   0.01342  -0.0490   0.7452   1.0000
   1.750   0.4431   0.02223   0.01330  -0.0471   0.7120   1.0000
   2.000   0.4639   0.02244   0.01336  -0.0454   0.6815   1.0000
   2.250   0.4816   0.02280   0.01362  -0.0434   0.6528   1.0000
   2.500   0.5012   0.02313   0.01382  -0.0416   0.6272   1.0000
   2.750   0.5188   0.02359   0.01420  -0.0396   0.6027   1.0000
   3.000   0.5362   0.02409   0.01465  -0.0376   0.5793   1.0000
   3.250   0.5545   0.02463   0.01511  -0.0356   0.5577   1.0000
   3.500   0.5732   0.02523   0.01561  -0.0337   0.5375   1.0000
   3.750   0.5915   0.02593   0.01626  -0.0318   0.5187   1.0000
   4.000   0.6090   0.02675   0.01708  -0.0299   0.5012   1.0000
   4.250   0.6254   0.02767   0.01803  -0.0280   0.4849   1.0000
   4.500   0.6412   0.02868   0.01909  -0.0260   0.4696   1.0000
   4.750   0.6572   0.02977   0.02024  -0.0241   0.4566   1.0000
   5.000   0.6775   0.03073   0.02114  -0.0225   0.4451   1.0000
   5.250   0.6878   0.03215   0.02278  -0.0201   0.4328   1.0000
   5.500   0.7025   0.03341   0.02412  -0.0181   0.4217   1.0000
   5.750   0.7227   0.03422   0.02488  -0.0163   0.4090   1.0000
   6.000   0.7339   0.03522   0.02599  -0.0136   0.3934   1.0000
   6.250   0.7518   0.03547   0.02616  -0.0112   0.3746   1.0000
   6.500   0.7708   0.03554   0.02612  -0.0088   0.3554   1.0000
   6.750   0.7857   0.03606   0.02667  -0.0063   0.3384   1.0000
   7.000   0.8005   0.03668   0.02734  -0.0038   0.3216   1.0000
   7.250   0.8204   0.03684   0.02738  -0.0016   0.3025   1.0000
   7.500   0.8295   0.03772   0.02838   0.0016   0.2819   1.0000
   7.750   0.8408   0.03849   0.02916   0.0047   0.2591   1.0000
   8.000   0.8591   0.03901   0.02947   0.0071   0.2376   1.0000
   8.250   0.8717   0.04035   0.03076   0.0097   0.2210   1.0000
   8.500   0.8741   0.04260   0.03325   0.0129   0.2088   1.0000
   8.750   0.8821   0.04476   0.03548   0.0155   0.1997   1.0000
   9.000   0.8840   0.04727   0.03819   0.0184   0.1923   1.0000
   9.250   0.8934   0.04944   0.04037   0.0205   0.1856   1.0000
   9.500   0.8718   0.05358   0.04491   0.0244   0.1828   1.0000
   9.750   0.8446   0.05810   0.04971   0.0279   0.1812   1.0000
  10.000   0.8015   0.06368   0.05546   0.0311   0.1819   1.0000
  10.250   0.7471   0.07093   0.06275   0.0320   0.1846   1.0000
  10.500   0.7015   0.08026   0.07205   0.0284   0.1867   1.0000
  10.500   0.7015   0.08026   0.07205   0.0284   0.1867   1.0000
  10.600   0.6870   0.08435   0.07613   0.0263   0.1873   1.0000
  11.000   0.5637   0.11316   0.10471   0.0069   0.2217   1.0000
  11.250   0.5826   0.11680   0.10838   0.0077   0.2195   1.0000
  11.500   0.4982   0.13167   0.12314  -0.0066   0.3096   1.0000
  11.750   0.5378   0.13807   0.12964  -0.0059   0.3022   1.0000
  12.000   0.5113   0.13902   0.13048  -0.0075   0.2988   1.0000
  12.250   0.5121   0.14167   0.13312  -0.0081   0.2911   1.0000
  12.500   0.5498   0.14870   0.14022  -0.0075   0.2851   1.0000
  12.750   0.5216   0.14844   0.13987  -0.0094   0.2802   1.0000
  13.000   0.5332   0.15177   0.14321  -0.0095   0.2717   1.0000
  13.250   0.5575   0.15816   0.14963  -0.0096   0.2681   1.0000
  13.500   0.5365   0.15787   0.14928  -0.0115   0.2623   1.0000
  13.750   0.5475   0.16128   0.15270  -0.0118   0.2556   1.0000
  14.000   0.5714   0.16778   0.15923  -0.0118   0.2515   1.0000
  14.250   0.5540   0.16727   0.15867  -0.0139   0.2454   1.0000
  14.500   0.5673   0.17092   0.16234  -0.0141   0.2386   1.0000
  14.750   0.5930   0.17829   0.16974  -0.0141   0.2353   1.0000
  15.000   0.5742   0.17696   0.16835  -0.0166   0.2310   1.0000
  15.250   0.5811   0.17976   0.17115  -0.0176   0.2247   1.0000
  15.250   0.5811   0.17976   0.17115  -0.0176   0.2247   1.0000
  15.350   0.5885   0.18160   0.17301  -0.0175   0.2223   1.0000
  15.450   0.6004   0.18461   0.17604  -0.0172   0.2205   1.0000
  15.750   0.5970   0.18681   0.17821  -0.0195   0.2166   1.0000
  16.000   0.6000   0.18885   0.18023  -0.0209   0.2102   1.0000
  16.250   0.6150   0.19320   0.18462  -0.0212   0.2056   1.0000
  16.500   0.6347   0.20034   0.19178  -0.0214   0.2030   1.0000
  16.750   0.6218   0.19854   0.18992  -0.0244   0.1992   1.0000
  17.000   0.6286   0.20109   0.19248  -0.0257   0.1934   1.0000
  17.250   0.6479   0.20679   0.19823  -0.0255   0.1888   1.0000
  17.500   0.6571   0.21151   0.20294  -0.0267   0.1870   1.0000
  17.750   0.6503   0.21052   0.20191  -0.0297   0.1832   1.0000
  18.000   0.6573   0.21312   0.20451  -0.0311   0.1782   1.0000
  18.250   0.6723   0.21780   0.20923  -0.0313   0.1739   1.0000
  18.500   0.6880   0.22468   0.21612  -0.0319   0.1716   1.0000
  18.750   0.6805   0.22262   0.21402  -0.0352   0.1685   1.0000
  19.000   0.6865   0.22493   0.21633  -0.0369   0.1640   1.0000
  19.250   0.6973   0.22848   0.21991  -0.0378   0.1602   1.0000
  19.500   0.7247   0.23989   0.23141  -0.0368   0.1570   1.0000
  19.750   0.7156   0.23642   0.22785  -0.0404   0.1557   1.0000
  20.000   0.7168   0.23678   0.22819  -0.0431   0.1514   1.0000
   0.000  -0.0001   0.02571   0.01729   0.0000   1.0000   1.0000
  -0.250  -0.0767   0.02581   0.01740   0.0137   1.0000   0.9695
