  
       XFOIL         Version 6.99
  
 Calculated polar for: St. CYR 234 (Bartel 17-IC)                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3925   0.05650   0.04796  -0.0684   0.7186   1.0000
   0.250   0.4258   0.05697   0.04816  -0.0694   0.6998   1.0000
   0.500   0.4565   0.05737   0.04838  -0.0697   0.6811   1.0000
   0.750   0.4859   0.05774   0.04861  -0.0696   0.6626   1.0000
   0.750   0.4859   0.05774   0.04861  -0.0696   0.6626   1.0000
   0.850   0.5139   0.05726   0.04805  -0.0709   0.6583   1.0000
   0.950   0.5091   0.05800   0.04878  -0.0695   0.6480   1.0000
   1.250   0.5472   0.05803   0.04869  -0.0693   0.6259   1.0000
   1.250   0.5472   0.05803   0.04869  -0.0693   0.6259   1.0000
   1.350   0.5690   0.05753   0.04816  -0.0698   0.6206   1.0000
   1.450   0.5989   0.05659   0.04716  -0.0709   0.6174   1.0000
   1.750   0.6370   0.05626   0.04677  -0.0703   0.5973   1.0000
   2.000   0.6583   0.05658   0.04704  -0.0691   0.5788   1.0000
   2.250   0.6786   0.05699   0.04741  -0.0679   0.5609   1.0000
   2.250   0.6786   0.05699   0.04741  -0.0679   0.5609   1.0000
   2.350   0.7082   0.05548   0.04588  -0.0685   0.5586   1.0000
   2.750   0.7680   0.05371   0.04403  -0.0677   0.5386   1.0000
   2.750   0.7680   0.05371   0.04403  -0.0677   0.5386   1.0000
   3.000   0.7737   0.05550   0.04580  -0.0659   0.5216   1.0000
   3.100   0.8048   0.05345   0.04373  -0.0663   0.5202   1.0000
   3.500   0.8266   0.05531   0.04556  -0.0641   0.4984   1.0000
   3.750   0.8423   0.05639   0.04662  -0.0629   0.4859   1.0000
   4.000   0.9893   0.04573   0.03582  -0.0683   0.4825   1.0000
   4.250   0.9344   0.05252   0.04268  -0.0627   0.4672   1.0000
   4.500   0.8535   0.06429   0.05452  -0.0593   0.4505   1.0000
   4.750   1.1159   0.04375   0.03358  -0.0707   0.4408   1.0000
   5.000   1.1914   0.04260   0.03218  -0.0761   0.4236   1.0000
   5.250   1.1450   0.04650   0.03632  -0.0679   0.4164   1.0000
   5.250   1.1450   0.04650   0.03632  -0.0679   0.4164   1.0000
   5.350   1.2391   0.04397   0.03341  -0.0775   0.4042   1.0000
   5.450   1.2185   0.04529   0.03486  -0.0736   0.4022   1.0000
   5.750   1.1782   0.04936   0.03917  -0.0657   0.3933   1.0000
   6.000   1.2207   0.04984   0.03956  -0.0673   0.3801   1.0000
   6.250   1.1540   0.05557   0.04556  -0.0589   0.3756   1.0000
   6.500   1.0889   0.06319   0.05336  -0.0534   0.3697   1.0000
   6.750   1.2975   0.05363   0.04320  -0.0671   0.3442   1.0000
   7.000   1.2244   0.05901   0.04892  -0.0576   0.3423   1.0000
   7.250   1.0361   0.07843   0.06875  -0.0488   0.3441   1.0000
   7.500   0.7977   0.11761   0.10809  -0.0572   0.3430   1.0000
   7.750   0.7694   0.12593   0.11646  -0.0594   0.3418   1.0000
   8.000   0.7584   0.13227   0.12284  -0.0611   0.3418   1.0000
   8.250   0.7570   0.13780   0.12840  -0.0625   0.3428   1.0000
   8.500   0.7707   0.14271   0.13335  -0.0635   0.3442   1.0000
   9.750   0.7117   0.16922   0.16002  -0.0742   0.3882   1.0000
  10.000   0.7360   0.17508   0.16589  -0.0751   0.3837   1.0000
  10.250   0.7181   0.17456   0.16535  -0.0757   0.3728   1.0000
  10.500   0.7498   0.17986   0.17069  -0.0760   0.3656   1.0000
  10.750   0.7395   0.18139   0.17219  -0.0771   0.3606   1.0000
  11.000   0.7442   0.18329   0.17410  -0.0778   0.3510   1.0000
  11.250   0.7798   0.18996   0.18080  -0.0781   0.3451   1.0000
  11.500   0.7595   0.18924   0.18004  -0.0795   0.3384   1.0000
  11.750   0.7705   0.19188   0.18270  -0.0802   0.3302   1.0000
  12.000   0.8032   0.19877   0.18963  -0.0805   0.3256   1.0000
  12.250   0.7847   0.19783   0.18864  -0.0822   0.3200   1.0000
  12.500   0.7937   0.20009   0.19091  -0.0830   0.3115   1.0000
  12.750   0.8228   0.20635   0.19721  -0.0831   0.3068   1.0000
  13.000   0.8133   0.20680   0.19763  -0.0849   0.3029   1.0000
  13.250   0.8151   0.20806   0.19888  -0.0862   0.2952   1.0000
  13.500   0.8328   0.21191   0.20276  -0.0867   0.2900   1.0000
  13.750   0.8657   0.22119   0.21207  -0.0869   0.2870   1.0000
  14.000   0.8393   0.21627   0.20710  -0.0895   0.2807   1.0000
  14.250   0.8495   0.21879   0.20965  -0.0905   0.2743   1.0000
  14.500   0.8685   0.22342   0.21431  -0.0909   0.2706   1.0000
  14.750   0.8946   0.23209   0.22300  -0.0914   0.2685   1.0000
  15.000   0.8717   0.22700   0.21788  -0.0943   0.2636   1.0000
  15.250   0.8791   0.22907   0.21995  -0.0956   0.2576   1.0000
  15.500   0.8949   0.23289   0.22381  -0.0962   0.2534   1.0000
  15.750   0.9222   0.24164   0.23262  -0.0963   0.2509   1.0000
  16.000   0.9089   0.23889   0.22982  -0.0991   0.2484   1.0000
  16.250   0.9092   0.23934   0.23028  -0.1010   0.2430   1.0000
  16.500   0.9186   0.24189   0.23285  -0.1022   0.2387   1.0000
  16.750   0.9337   0.24594   0.23695  -0.1029   0.2352   1.0000
  17.000   0.9606   0.25580   0.24688  -0.1030   0.2330   1.0000
  17.250   0.9475   0.25190   0.24293  -0.1060   0.2309   1.0000
  17.500   0.9473   0.25186   0.24289  -0.1082   0.2257   1.0000
  17.750   0.9559   0.25427   0.24534  -0.1096   0.2217   1.0000
  18.000   0.9683   0.25778   0.24889  -0.1105   0.2185   1.0000
  18.250   0.9884   0.26505   0.25623  -0.1108   0.2162   1.0000
  18.500   0.9923   0.26763   0.25880  -0.1127   0.2146   1.0000
  18.750   0.9851   0.26449   0.25566  -0.1158   0.2105   1.0000
  19.000   0.9916   0.26640   0.25760  -0.1174   0.2063   1.0000
  19.250   1.0018   0.26935   0.26059  -0.1186   0.2028   1.0000
  19.500   1.0174   0.27477   0.26608  -0.1192   0.2001   1.0000
  19.750   1.0358   0.28421   0.27556  -0.1199   0.1985   1.0000
  20.000   1.0224   0.27731   0.26864  -0.1236   0.1956   1.0000
   0.000   0.3925   0.05650   0.04796  -0.0684   0.7186   1.0000
  -0.250   0.3339   0.05626   0.04808  -0.0626   0.7389   0.7914
  -0.500   0.2789   0.05754   0.04813  -0.0590   0.7581   0.6330
  -0.750   0.2239   0.05811   0.04856  -0.0554   0.7795   0.5668
  -1.000   0.1747   0.05812   0.04851  -0.0534   0.8054   0.5143
  -1.250   0.1193   0.05791   0.04819  -0.0511   0.8432   0.4632
  -1.500  -0.0022   0.05685   0.04685  -0.0396   0.9478   0.3896
  -1.750  -0.0416   0.05494   0.04496  -0.0362   0.9655   0.3616
  -2.000  -0.0758   0.05346   0.04349  -0.0336   0.9798   0.3410
  -2.250  -0.1124   0.05178   0.04185  -0.0305   0.9921   0.3224
