  
       XFOIL         Version 6.99
  
 Calculated polar for: St. CYR 24 (Bartel 35-IIIC)                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2437   0.05489   0.04446  -0.0782   0.8535   0.2314
   0.250   0.2726   0.05512   0.04456  -0.0790   0.8386   0.2480
   0.500   0.3083   0.05537   0.04474  -0.0806   0.8233   0.2741
   0.750   0.3479   0.05547   0.04498  -0.0825   0.8086   0.3203
   0.750   0.3479   0.05547   0.04498  -0.0825   0.8086   0.3203
   0.850   0.3606   0.05544   0.04509  -0.0830   0.8032   0.3480
   0.950   0.3939   0.05317   0.04470  -0.0857   0.7984   1.0000
   1.250   0.4272   0.05441   0.04524  -0.0858   0.7809   1.0000
   1.500   0.4489   0.05543   0.04601  -0.0855   0.7657   1.0000
   1.750   0.4753   0.05638   0.04676  -0.0856   0.7503   1.0000
   2.000   0.5044   0.05722   0.04742  -0.0859   0.7348   1.0000
   2.250   0.5355   0.05783   0.04788  -0.0862   0.7182   1.0000
   2.500   0.5674   0.05816   0.04809  -0.0863   0.7004   1.0000
   2.750   0.6002   0.05829   0.04811  -0.0863   0.6826   1.0000
   3.000   0.6332   0.05828   0.04800  -0.0862   0.6652   1.0000
   3.250   0.6656   0.05819   0.04785  -0.0859   0.6486   1.0000
   3.500   0.6979   0.05807   0.04767  -0.0856   0.6327   1.0000
   3.750   0.7339   0.05763   0.04719  -0.0853   0.6180   1.0000
   4.000   0.7850   0.05598   0.04551  -0.0859   0.6060   1.0000
   4.250   0.8108   0.05586   0.04538  -0.0847   0.5898   1.0000
   4.500   0.8369   0.05570   0.04522  -0.0836   0.5738   1.0000
   4.500   0.8369   0.05570   0.04522  -0.0836   0.5737   1.0000
   4.600   0.8696   0.05373   0.04325  -0.0841   0.5717   1.0000
   5.000   0.9472   0.04972   0.03923  -0.0833   0.5530   1.0000
   5.250   0.9856   0.04819   0.03770  -0.0824   0.5378   1.0000
   5.500   1.0228   0.04703   0.03655  -0.0817   0.5222   1.0000
   5.750   1.0708   0.04530   0.03481  -0.0820   0.5068   1.0000
   6.000   1.1335   0.04307   0.03252  -0.0841   0.4903   1.0000
   6.250   1.1803   0.04241   0.03181  -0.0854   0.4732   1.0000
   6.500   1.2155   0.04275   0.03209  -0.0859   0.4579   1.0000
   6.750   1.2618   0.04296   0.03223  -0.0880   0.4442   1.0000
   7.000   1.2613   0.04508   0.03444  -0.0848   0.4337   1.0000
   7.250   1.2638   0.04733   0.03674  -0.0822   0.4248   1.0000
   7.500   1.2594   0.04988   0.03937  -0.0791   0.4164   1.0000
   7.750   1.2676   0.05202   0.04156  -0.0773   0.4088   1.0000
   7.750   1.2676   0.05202   0.04156  -0.0773   0.4088   1.0000
   7.950   0.9050   0.09520   0.08495  -0.0726   0.4014   1.0000
   8.250   0.9592   0.09321   0.08300  -0.0710   0.3950   1.0000
   8.500   0.9089   0.10493   0.09475  -0.0738   0.3956   1.0000
   8.500   0.9321   0.10187   0.09168  -0.0727   0.3938   1.0000
   8.600   0.9252   0.10485   0.09468  -0.0734   0.3940   1.0000
   9.000   0.8564   0.12256   0.11250  -0.0792   0.4129   1.0000
   9.000   0.8596   0.12207   0.11199  -0.0788   0.4107   1.0000
   9.100   0.8658   0.12367   0.11361  -0.0792   0.4114   1.0000
  10.750   0.6391   0.15208   0.14353  -0.0773   0.4527   1.0000
  10.850   0.6494   0.15382   0.14529  -0.0776   0.4498   1.0000
  10.950   0.6640   0.15661   0.14808  -0.0781   0.4480   1.0000
  11.250   0.6505   0.15637   0.14792  -0.0781   0.4360   1.0000
  11.500   0.6817   0.16239   0.15397  -0.0790   0.4298   1.0000
  11.750   0.6615   0.16084   0.15249  -0.0791   0.4199   1.0000
  12.000   0.6880   0.16598   0.15767  -0.0798   0.4127   1.0000
  12.250   0.6733   0.16547   0.15723  -0.0803   0.4033   1.0000
  12.500   0.6929   0.16954   0.16137  -0.0808   0.3960   1.0000
  12.750   0.6858   0.17057   0.16245  -0.0816   0.3891   1.0000
  13.000   0.6990   0.17354   0.16548  -0.0821   0.3796   1.0000
  13.250   0.7014   0.17614   0.16813  -0.0830   0.3741   1.0000
  13.500   0.7041   0.17774   0.16980  -0.0837   0.3645   1.0000
  13.750   0.7337   0.18500   0.17711  -0.0842   0.3594   1.0000
  14.000   0.7125   0.18253   0.17471  -0.0853   0.3494   1.0000
  14.250   0.7353   0.18790   0.18016  -0.0857   0.3431   1.0000
  14.500   0.7223   0.18779   0.18010  -0.0871   0.3358   1.0000
  14.750   0.7373   0.19146   0.18384  -0.0875   0.3273   1.0000
  15.000   0.7356   0.19368   0.18612  -0.0887   0.3219   1.0000
  15.250   0.7415   0.19595   0.18847  -0.0895   0.3120   1.0000
  15.500   0.7531   0.20055   0.19312  -0.0903   0.3070   1.0000
  15.750   0.7483   0.20114   0.19379  -0.0916   0.2967   1.0000
  16.000   0.7703   0.20774   0.20045  -0.0919   0.2909   1.0000
  16.250   0.7559   0.20669   0.19946  -0.0937   0.2816   1.0000
  16.250   0.7559   0.20669   0.19946  -0.0937   0.2816   1.0000
  16.350   0.7620   0.20825   0.20105  -0.0938   0.2781   1.0000
  16.450   0.7748   0.21151   0.20435  -0.0936   0.2754   1.0000
  16.750   0.7639   0.21258   0.20548  -0.0959   0.2670   1.0000
  17.000   0.7830   0.21783   0.21080  -0.0960   0.2589   1.0000
  17.250   0.7735   0.21893   0.21195  -0.0980   0.2537   1.0000
  17.500   0.7814   0.22204   0.21513  -0.0988   0.2446   1.0000
  17.750   0.7904   0.22689   0.22002  -0.0997   0.2406   1.0000
  18.000   0.7840   0.22784   0.22103  -0.1016   0.2325   1.0000
  18.250   0.8033   0.23369   0.22697  -0.1016   0.2261   1.0000
  18.500   0.7937   0.23485   0.22815  -0.1039   0.2222   1.0000
  18.750   0.7961   0.23747   0.23084  -0.1052   0.2148   1.0000
  19.000   0.8188   0.24497   0.23841  -0.1049   0.2096   1.0000
  19.250   0.8042   0.24459   0.23806  -0.1077   0.2063   1.0000
  19.500   0.8063   0.24734   0.24087  -0.1091   0.1996   1.0000
  19.750   0.8227   0.25311   0.24672  -0.1092   0.1945   1.0000
  20.000   0.8182   0.25547   0.24910  -0.1113   0.1923   1.0000
   0.000   0.2437   0.05489   0.04446  -0.0782   0.8535   0.2314
