  
       XFOIL         Version 6.99
  
 Calculated polar for: UA(2)-180 (University of Alberta/Marsden)       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1627   0.08514   0.07745  -0.0558   0.8337   0.1724
   0.250  -0.1383   0.08441   0.07612  -0.0558   0.8271   0.1563
   0.500  -0.1084   0.08438   0.07524  -0.0559   0.8169   0.1445
   0.750  -0.0701   0.08556   0.07613  -0.0580   0.8129   0.1426
   1.000  -0.0681   0.08376   0.07422  -0.0552   0.8013   0.1413
   1.250  -0.0326   0.08497   0.07510  -0.0567   0.7961   0.1387
   1.500  -0.0249   0.08433   0.07428  -0.0548   0.7865   0.1370
   1.750   0.0088   0.08552   0.07516  -0.0560   0.7793   0.1352
   2.000   0.0226   0.08592   0.07538  -0.0548   0.7720   0.1348
   2.250   0.0477   0.08680   0.07609  -0.0550   0.7630   0.1368
   2.500   0.0906   0.09002   0.07903  -0.0577   0.7592   0.1421
   2.750   0.0894   0.08898   0.07789  -0.0550   0.7480   0.1441
   3.000   0.1268   0.09141   0.08028  -0.0571   0.7428   0.1508
   3.250   0.1307   0.09134   0.08017  -0.0553   0.7332   0.1552
   3.500   0.1634   0.09352   0.08229  -0.0567   0.7264   0.1684
   3.750   0.1718   0.09408   0.08289  -0.0556   0.7177   0.1836
   4.000   0.2243   0.09482   0.08607  -0.0613   0.7096   1.0000
   4.250   0.2310   0.09578   0.08668  -0.0596   0.6999   1.0000
   4.500   0.2626   0.09876   0.08918  -0.0607   0.6921   1.0000
   4.750   0.2646   0.09933   0.08958  -0.0589   0.6813   1.0000
   5.000   0.2989   0.10295   0.09286  -0.0605   0.6750   1.0000
   5.250   0.2959   0.10309   0.09291  -0.0584   0.6637   1.0000
   5.500   0.3302   0.10693   0.09648  -0.0601   0.6580   1.0000
   5.750   0.3251   0.10697   0.09647  -0.0580   0.6465   1.0000
   6.000   0.3606   0.11107   0.10034  -0.0598   0.6408   1.0000
   6.250   0.3530   0.11099   0.10022  -0.0577   0.6291   1.0000
   6.500   0.3867   0.11500   0.10404  -0.0593   0.6237   1.0000
   6.750   0.3774   0.11509   0.10411  -0.0573   0.6137   1.0000
   7.000   0.4045   0.11833   0.10721  -0.0583   0.6074   1.0000
   7.250   0.4032   0.11958   0.10842  -0.0573   0.6000   1.0000
   7.500   0.4219   0.12189   0.11063  -0.0576   0.5919   1.0000
   7.500   0.4219   0.12189   0.11063  -0.0576   0.5919   1.0000
   7.600   0.4352   0.12358   0.11226  -0.0582   0.5900   1.0000
   7.700   0.4512   0.12586   0.11448  -0.0591   0.5887   1.0000
   8.000   0.4397   0.12580   0.11442  -0.0571   0.5778   1.0000
   8.250   0.4651   0.12917   0.11769  -0.0581   0.5729   1.0000
   8.500   0.4720   0.13155   0.12003  -0.0580   0.5693   1.0000
   8.750   0.4734   0.13238   0.12085  -0.0573   0.5607   1.0000
   9.000   0.4979   0.13571   0.12411  -0.0582   0.5558   1.0000
   9.250   0.5093   0.13865   0.12700  -0.0585   0.5525   1.0000
   9.500   0.5060   0.13899   0.12734  -0.0577   0.5446   1.0000
   9.750   0.5251   0.14181   0.13012  -0.0583   0.5398   1.0000
  10.000   0.5558   0.14688   0.13514  -0.0597   0.5369   1.0000
  10.250   0.5392   0.14598   0.13426  -0.0585   0.5311   1.0000
  10.500   0.5522   0.14808   0.13635  -0.0588   0.5247   1.0000
  10.750   0.5768   0.15197   0.14021  -0.0597   0.5209   1.0000
  11.000   0.5823   0.15431   0.14255  -0.0599   0.5181   1.0000
  11.250   0.5809   0.15466   0.14292  -0.0597   0.5107   1.0000
  11.500   0.5997   0.15761   0.14587  -0.0603   0.5057   1.0000
  11.500   0.5997   0.15761   0.14587  -0.0603   0.5057   1.0000
  11.600   0.6102   0.15941   0.14766  -0.0608   0.5044   1.0000
  11.700   0.6225   0.16176   0.15001  -0.0613   0.5034   1.0000
  12.000   0.6130   0.16178   0.15005  -0.0611   0.4978   1.0000
  12.250   0.6250   0.16387   0.15216  -0.0615   0.4916   1.0000
  12.500   0.6470   0.16775   0.15605  -0.0624   0.4880   1.0000
  12.750   0.6579   0.17103   0.15935  -0.0632   0.4858   1.0000
  13.000   0.6523   0.17069   0.15904  -0.0632   0.4795   1.0000
  13.250   0.6681   0.17340   0.16177  -0.0639   0.4743   1.0000
  13.500   0.6944   0.17872   0.16711  -0.0650   0.4714   1.0000
  13.750   0.6848   0.17813   0.16654  -0.0653   0.4676   1.0000
  14.000   0.6928   0.17984   0.16829  -0.0659   0.4622   1.0000
  14.250   0.7094   0.18297   0.17147  -0.0667   0.4584   1.0000
  14.250   0.7094   0.18297   0.17147  -0.0667   0.4584   1.0000
  14.350   0.7185   0.18487   0.17339  -0.0671   0.4573   1.0000
  14.450   0.7284   0.18720   0.17574  -0.0676   0.4565   1.0000
  14.750   0.7229   0.18721   0.17578  -0.0683   0.4523   1.0000
  15.000   0.7323   0.18904   0.17765  -0.0691   0.4467   1.0000
  15.250   0.7506   0.19259   0.18124  -0.0699   0.4429   1.0000
  15.500   0.7668   0.19696   0.18568  -0.0710   0.4409   1.0000
  15.750   0.7607   0.19606   0.18482  -0.0717   0.4366   1.0000
  16.000   0.7709   0.19814   0.18695  -0.0726   0.4319   1.0000
  16.250   0.7880   0.20167   0.19054  -0.0735   0.4284   1.0000
  16.500   0.8023   0.20575   0.19468  -0.0746   0.4261   1.0000
  16.750   0.7984   0.20493   0.19392  -0.0756   0.4208   1.0000
  17.000   0.8108   0.20740   0.19646  -0.0765   0.4160   1.0000
  17.250   0.8307   0.21209   0.20124  -0.0774   0.4129   1.0000
  17.500   0.8296   0.21253   0.20172  -0.0787   0.4096   1.0000
  17.750   0.8371   0.21395   0.20320  -0.0797   0.4031   1.0000
  18.000   0.8567   0.21834   0.20772  -0.0806   0.3988   1.0000
  18.250   0.8567   0.21905   0.20847  -0.0819   0.3948   1.0000
  18.500   0.8661   0.22085   0.21036  -0.0830   0.3878   1.0000
  18.750   0.8890   0.22680   0.21643  -0.0839   0.3838   1.0000
  19.000   0.8820   0.22537   0.21502  -0.0855   0.3779   1.0000
  19.250   0.8951   0.22818   0.21796  -0.0865   0.3721   1.0000
  19.500   0.9117   0.23326   0.22313  -0.0876   0.3689   1.0000
