  
       XFOIL         Version 6.99
  
 Calculated polar for: USNPS4 (smoothed)                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2000   0.04409   0.03350  -0.0775   0.9289   0.1733
   0.250   0.2486   0.04360   0.03277  -0.0808   0.9135   0.1845
   0.500   0.2965   0.04301   0.03210  -0.0839   0.8983   0.2045
   0.750   0.3445   0.04225   0.03151  -0.0873   0.8831   0.2442
   1.000   0.3804   0.03950   0.03096  -0.0875   0.8682   1.0000
   1.250   0.4263   0.03973   0.03034  -0.0897   0.8516   1.0000
   1.500   0.4712   0.03977   0.02999  -0.0922   0.8351   1.0000
   1.750   0.5072   0.03987   0.02984  -0.0934   0.8168   1.0000
   2.000   0.5405   0.03998   0.02976  -0.0941   0.7979   1.0000
   2.250   0.5787   0.03983   0.02945  -0.0953   0.7804   1.0000
   2.500   0.6188   0.03948   0.02895  -0.0965   0.7638   1.0000
   2.750   0.6598   0.03893   0.02829  -0.0976   0.7478   1.0000
   3.000   0.7018   0.03815   0.02740  -0.0986   0.7324   1.0000
   3.250   0.7464   0.03714   0.02630  -0.0998   0.7175   1.0000
   3.500   0.7954   0.03595   0.02504  -0.1016   0.7027   1.0000
   3.750   0.8467   0.03475   0.02376  -0.1038   0.6873   1.0000
   4.000   0.8934   0.03379   0.02273  -0.1054   0.6703   1.0000
   4.250   0.9383   0.03306   0.02193  -0.1069   0.6526   1.0000
   4.500   0.9824   0.03247   0.02124  -0.1085   0.6344   1.0000
   4.750   1.0245   0.03214   0.02080  -0.1098   0.6161   1.0000
   5.000   1.0574   0.03234   0.02090  -0.1101   0.5977   1.0000
   5.250   1.0797   0.03305   0.02158  -0.1089   0.5792   1.0000
   5.500   1.1047   0.03372   0.02224  -0.1081   0.5620   1.0000
   5.750   1.1299   0.03445   0.02292  -0.1075   0.5458   1.0000
   6.000   1.1548   0.03523   0.02366  -0.1068   0.5304   1.0000
   6.250   1.1808   0.03604   0.02443  -0.1064   0.5161   1.0000
   6.500   1.2098   0.03677   0.02512  -0.1064   0.5026   1.0000
   6.750   1.2250   0.03807   0.02651  -0.1045   0.4895   1.0000
   7.000   1.2358   0.03968   0.02823  -0.1022   0.4776   1.0000
   7.250   1.2547   0.04100   0.02963  -0.1009   0.4666   1.0000
   7.500   1.2886   0.04168   0.03022  -0.1017   0.4557   1.0000
   7.750   1.2812   0.04422   0.03305  -0.0971   0.4460   1.0000
   8.000   1.3040   0.04555   0.03441  -0.0966   0.4371   1.0000
   8.250   1.3032   0.04795   0.03701  -0.0931   0.4285   1.0000
   8.500   1.3154   0.04987   0.03905  -0.0913   0.4205   1.0000
   8.750   1.2989   0.05325   0.04266  -0.0864   0.4134   1.0000
   9.000   1.3273   0.05449   0.04393  -0.0866   0.4062   1.0000
   9.250   1.2033   0.06511   0.05483  -0.0728   0.4037   1.0000
   9.500   0.9483   0.10136   0.09102  -0.0750   0.4047   1.0000
   9.750   0.9266   0.10895   0.09865  -0.0766   0.4052   1.0000
  10.000   0.9166   0.11510   0.10486  -0.0779   0.4062   1.0000
  10.250   0.9180   0.12023   0.11004  -0.0791   0.4074   1.0000
  10.250   0.9167   0.12045   0.11027  -0.0792   0.4083   1.0000
  11.250   0.8132   0.14961   0.13963  -0.0912   0.4921   1.0000
  11.500   0.8382   0.15418   0.14429  -0.0923   0.4866   1.0000
  11.750   0.8283   0.15547   0.14560  -0.0918   0.4764   1.0000
  12.000   0.8596   0.16065   0.15087  -0.0931   0.4717   1.0000
  12.250   0.8418   0.16130   0.15152  -0.0927   0.4620   1.0000
  12.500   0.8747   0.16657   0.15688  -0.0937   0.4558   1.0000
  12.750   0.8584   0.16704   0.15735  -0.0936   0.4458   1.0000
  13.000   0.8872   0.17209   0.16253  -0.0945   0.4402   1.0000
  13.250   0.8729   0.17289   0.16333  -0.0948   0.4322   1.0000
  13.500   0.8924   0.17676   0.16729  -0.0955   0.4257   1.0000
  13.750   0.8905   0.17902   0.16958  -0.0963   0.4192   1.0000
  14.000   0.9052   0.18216   0.17281  -0.0968   0.4106   1.0000
  14.250   0.9106   0.18530   0.17599  -0.0977   0.4052   1.0000
  14.500   0.9159   0.18746   0.17822  -0.0985   0.3967   1.0000
  14.750   0.9445   0.19374   0.18466  -0.0992   0.3924   1.0000
  15.000   0.9288   0.19312   0.18403  -0.1005   0.3840   1.0000
  15.250   0.9522   0.19804   0.18908  -0.1009   0.3774   1.0000
  15.500   0.9453   0.19906   0.19011  -0.1025   0.3707   1.0000
  15.750   0.9584   0.20237   0.19353  -0.1033   0.3637   1.0000
  16.000   0.9753   0.20770   0.19898  -0.1042   0.3598   1.0000
  16.250   0.9697   0.20770   0.19902  -0.1058   0.3505   1.0000
  16.250   0.9697   0.20770   0.19902  -0.1058   0.3505   1.0000
  16.350   0.9783   0.20957   0.20095  -0.1059   0.3476   1.0000
  16.450   0.9916   0.21289   0.20435  -0.1058   0.3456   1.0000
  16.750   0.9840   0.21357   0.20505  -0.1084   0.3378   1.0000
  17.000   1.0025   0.21819   0.20981  -0.1088   0.3309   1.0000
  17.250   1.0010   0.21991   0.21158  -0.1109   0.3249   1.0000
  17.500   1.0137   0.22333   0.21513  -0.1117   0.3164   1.0000
  17.750   1.0206   0.22705   0.21894  -0.1133   0.3116   1.0000
  18.000   1.0269   0.22904   0.22102  -0.1147   0.3016   1.0000
  18.250   1.0362   0.23333   0.22540  -0.1161   0.2963   1.0000
  18.500   1.0423   0.23534   0.22750  -0.1176   0.2860   1.0000
  18.750   1.0477   0.23868   0.23092  -0.1195   0.2796   1.0000
  19.000   1.0654   0.24389   0.23631  -0.1196   0.2685   1.0000
  19.250   1.0600   0.24428   0.23670  -0.1230   0.2608   1.0000
  19.500   1.0780   0.25075   0.24331  -0.1230   0.2516   1.0000
  19.750   1.0781   0.25122   0.24383  -0.1257   0.2408   1.0000
  20.000   1.0827   0.25451   0.24717  -0.1280   0.2332   1.0000
