  
       XFOIL         Version 6.99
  
 Calculated polar for: WASP (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0776   0.02187   0.01240  -0.0369   1.0000   1.0000
   0.250   0.1202   0.02284   0.01313  -0.0416   0.9899   1.0000
   0.500   0.1816   0.02378   0.01381  -0.0493   0.9702   1.0000
   0.750   0.2399   0.02459   0.01444  -0.0561   0.9501   1.0000
   1.000   0.2942   0.02525   0.01497  -0.0619   0.9290   1.0000
   1.250   0.3488   0.02575   0.01539  -0.0673   0.9089   1.0000
   1.500   0.3930   0.02617   0.01576  -0.0706   0.8867   1.0000
   1.750   0.4467   0.02633   0.01589  -0.0750   0.8673   1.0000
   2.000   0.4908   0.02651   0.01607  -0.0776   0.8467   1.0000
   2.250   0.5309   0.02663   0.01621  -0.0792   0.8261   1.0000
   2.500   0.5750   0.02650   0.01610  -0.0809   0.8072   1.0000
   2.750   0.6100   0.02658   0.01620  -0.0812   0.7871   1.0000
   3.000   0.6413   0.02673   0.01638  -0.0808   0.7662   1.0000
   3.250   0.6766   0.02663   0.01630  -0.0806   0.7470   1.0000
   3.500   0.7066   0.02676   0.01644  -0.0798   0.7269   1.0000
   3.750   0.7326   0.02707   0.01681  -0.0785   0.7057   1.0000
   4.000   0.7631   0.02711   0.01686  -0.0775   0.6862   1.0000
   4.250   0.7888   0.02746   0.01723  -0.0762   0.6657   1.0000
   4.500   0.8131   0.02789   0.01772  -0.0747   0.6446   1.0000
   4.750   0.8413   0.02807   0.01791  -0.0734   0.6251   1.0000
   5.000   0.8642   0.02866   0.01854  -0.0719   0.6044   1.0000
   5.250   0.8877   0.02923   0.01915  -0.0704   0.5838   1.0000
   5.500   0.9143   0.02962   0.01957  -0.0691   0.5646   1.0000
   5.750   0.9364   0.03038   0.02041  -0.0676   0.5447   1.0000
   6.000   0.9577   0.03126   0.02137  -0.0661   0.5250   1.0000
   6.250   0.9816   0.03196   0.02212  -0.0648   0.5062   1.0000
   6.500   1.0065   0.03267   0.02289  -0.0635   0.4884   1.0000
   6.750   1.0268   0.03377   0.02410  -0.0620   0.4703   1.0000
   7.000   1.0453   0.03505   0.02554  -0.0605   0.4527   1.0000
   7.250   1.0647   0.03628   0.02693  -0.0590   0.4357   1.0000
   7.500   1.0841   0.03757   0.02839  -0.0575   0.4195   1.0000
   7.750   1.1034   0.03886   0.02984  -0.0560   0.4034   1.0000
   8.000   1.1224   0.04017   0.03131  -0.0544   0.3875   1.0000
   8.250   1.1433   0.04118   0.03244  -0.0528   0.3707   1.0000
   8.500   1.1694   0.04149   0.03277  -0.0513   0.3515   1.0000
   8.750   1.1806   0.04260   0.03412  -0.0487   0.3304   1.0000
   9.000   1.2043   0.04190   0.03335  -0.0465   0.3032   1.0000
   9.250   1.2234   0.04147   0.03284  -0.0440   0.2740   1.0000
   9.500   1.2358   0.04159   0.03289  -0.0409   0.2421   1.0000
   9.750   1.2489   0.04178   0.03266  -0.0378   0.2051   1.0000
  10.000   1.2527   0.04351   0.03429  -0.0343   0.1758   1.0000
  10.250   1.2546   0.04593   0.03686  -0.0310   0.1550   1.0000
  10.500   1.2624   0.04829   0.03919  -0.0286   0.1389   1.0000
  10.750   1.2663   0.05136   0.04247  -0.0261   0.1283   1.0000
  11.000   1.2727   0.05418   0.04536  -0.0240   0.1192   1.0000
  11.250   1.2701   0.05757   0.04909  -0.0214   0.1137   1.0000
  11.500   1.2809   0.06108   0.05258  -0.0201   0.1082   1.0000
  11.750   1.2625   0.06509   0.05703  -0.0169   0.1071   1.0000
  12.000   1.2404   0.06927   0.06153  -0.0142   0.1066   1.0000
  12.250   1.2155   0.07402   0.06655  -0.0128   0.1066   1.0000
  12.500   1.1888   0.07953   0.07228  -0.0129   0.1071   1.0000
  12.750   1.1614   0.08587   0.07879  -0.0143   0.1079   1.0000
  13.000   1.1348   0.09303   0.08607  -0.0170   0.1087   1.0000
  13.000   1.1348   0.09303   0.08607  -0.0170   0.1087   1.0000
  13.500   0.9193   0.15292   0.14556  -0.0593   0.1655   1.0000
  13.750   0.9184   0.15884   0.15148  -0.0612   0.1646   1.0000
  13.500   0.9193   0.15292   0.14556  -0.0593   0.1655   1.0000
  13.600   0.9187   0.15532   0.14796  -0.0601   0.1651   1.0000
  13.700   0.9184   0.15768   0.15032  -0.0609   0.1648   1.0000
  14.000   0.9233   0.16438   0.15705  -0.0623   0.1636   1.0000
  14.500   0.6434   0.16162   0.15453  -0.0519   0.2694   1.0000
  14.750   0.6483   0.16507   0.15801  -0.0522   0.2606   1.0000
  15.000   0.6679   0.17099   0.16403  -0.0519   0.2486   1.0000
  14.750   0.6483   0.16506   0.15800  -0.0522   0.2606   1.0000
  14.850   0.6451   0.16541   0.15835  -0.0525   0.2561   1.0000
  14.950   0.6642   0.16938   0.16242  -0.0518   0.2494   1.0000
  15.250   0.6488   0.17022   0.16323  -0.0533   0.2448   1.0000
  15.500   0.6678   0.17612   0.16921  -0.0529   0.2340   1.0000
  15.750   0.6515   0.17552   0.16859  -0.0545   0.2291   1.0000
  16.000   0.6764   0.18293   0.17608  -0.0539   0.2198   1.0000
  16.250   0.6584   0.18180   0.17492  -0.0557   0.2173   1.0000
  16.500   0.6599   0.18407   0.17722  -0.0563   0.2093   1.0000
  16.750   0.6679   0.18844   0.18162  -0.0567   0.2043   1.0000
  17.000   0.6620   0.18936   0.18255  -0.0580   0.1977   1.0000
  17.250   0.6811   0.19583   0.18909  -0.0576   0.1917   1.0000
  17.500   0.6725   0.19656   0.18980  -0.0592   0.1897   1.0000
  17.750   0.6690   0.19793   0.19118  -0.0606   0.1839   1.0000
  18.000   0.6919   0.20592   0.19925  -0.0597   0.1770   1.0000
  18.250   0.6779   0.20460   0.19791  -0.0619   0.1750   1.0000
  18.500   0.6772   0.20647   0.19980  -0.0631   0.1690   1.0000
  18.750   0.6880   0.21103   0.20441  -0.0632   0.1644   1.0000
  19.000   0.6926   0.21522   0.20861  -0.0640   0.1625   1.0000
  19.250   0.6856   0.21549   0.20888  -0.0659   0.1590   1.0000
  19.500   0.6889   0.21823   0.21165  -0.0667   0.1536   1.0000
  19.750   0.7072   0.22608   0.21955  -0.0662   0.1491   1.0000
  20.000   0.6966   0.22501   0.21846  -0.0684   0.1473   1.0000
   0.000   0.0776   0.02187   0.01240  -0.0369   1.0000   1.0000
  -0.250   0.0600   0.02113   0.01185  -0.0370   1.0000   1.0000
  -0.500   0.0418   0.02047   0.01144  -0.0371   1.0000   1.0000
  -0.750   0.0230   0.01988   0.01114  -0.0373   1.0000   1.0000
  -1.000   0.0034   0.01937   0.01098  -0.0375   1.0000   1.0000
  -1.250  -0.0174   0.01893   0.01102  -0.0377   1.0000   1.0000
  -1.500  -0.0498   0.02124   0.01190  -0.0383   1.0000   0.4580
  -1.750  -0.0796   0.02289   0.01260  -0.0381   1.0000   0.3032
  -2.000  -0.1087   0.02400   0.01348  -0.0378   1.0000   0.2454
  -2.250  -0.1335   0.02504   0.01453  -0.0383   1.0000   0.2129
  -2.500  -0.1593   0.02615   0.01578  -0.0386   1.0000   0.1895
  -2.750  -0.1850   0.02759   0.01745  -0.0390   1.0000   0.1755
  -3.000  -0.2091   0.02912   0.01925  -0.0395   1.0000   0.1632
  -3.250  -0.2323   0.03091   0.02118  -0.0401   1.0000   0.1559
  -3.500  -0.2563   0.03327   0.02406  -0.0405   1.0000   0.1520
  -3.750  -0.2789   0.03581   0.02718  -0.0408   1.0000   0.1479
  -4.000  -0.3005   0.03909   0.03094  -0.0409   1.0000   0.1503
  -4.250  -0.3196   0.04250   0.03458  -0.0413   1.0000   0.1537
  -4.500  -0.3404   0.04758   0.04035  -0.0395   1.0000   0.1678
  -5.250  -0.3944   0.07252   0.06668  -0.0007   1.0000   0.4001
  -5.500  -0.3850   0.07395   0.06797  -0.0022   1.0000   0.3734
  -5.600  -0.3876   0.07532   0.06930  -0.0033   1.0000   0.3662
  -5.700  -0.3884   0.07616   0.07012  -0.0042   1.0000   0.3570
  -6.000  -0.3995   0.08042   0.07430  -0.0073   1.0000   0.3375
  -6.250  -0.3960   0.08272   0.07649  -0.0080   1.0000   0.3210
  -6.500  -0.3994   0.08569   0.07937  -0.0094   1.0000   0.3059
  -6.250  -0.3960   0.08272   0.07649  -0.0080   1.0000   0.3210
  -6.350  -0.3888   0.08299   0.07669  -0.0078   1.0000   0.3132
  -6.450  -0.4115   0.08623   0.07999  -0.0110   1.0000   0.3073
  -6.750  -0.4046   0.08882   0.08244  -0.0108   1.0000   0.2910
  -7.000  -0.4103   0.09204   0.08558  -0.0121   1.0000   0.2760
  -7.250  -0.4189   0.09557   0.08906  -0.0137   1.0000   0.2611
  -7.500  -0.3903   0.09549   0.08875  -0.0123   1.0000   0.2541
  -7.750  -0.3987   0.09910   0.09231  -0.0131   1.0000   0.2433
  -8.000  -0.4251   0.10478   0.09804  -0.0152   1.0000   0.2305
  -8.250  -0.3978   0.10436   0.09742  -0.0128   1.0000   0.2246
  -8.500  -0.4260   0.11062   0.10373  -0.0150   1.0000   0.2151
  -8.750  -0.4040   0.11048   0.10341  -0.0122   1.0000   0.2093
  -9.000  -0.4356   0.11753   0.11052  -0.0148   1.0000   0.2000
  -9.250  -0.4129   0.11700   0.10983  -0.0115   1.0000   0.1960
  -9.500  -0.4209   0.12034   0.11314  -0.0115   1.0000   0.1878
  -9.750  -0.4281   0.12452   0.11727  -0.0112   1.0000   0.1833
 -10.000  -0.4232   0.12610   0.11877  -0.0095   1.0000   0.1763
 -10.250  -0.4459   0.13259   0.12529  -0.0112   1.0000   0.1692
 -10.500  -0.4327   0.13276   0.12535  -0.0083   1.0000   0.1652
 -10.750  -0.4406   0.13612   0.12869  -0.0081   1.0000   0.1579
 -11.000  -0.4569   0.14217   0.13476  -0.0086   1.0000   0.1540
 -11.250  -0.4467   0.14247   0.13497  -0.0059   1.0000   0.1506
 -11.500  -0.4510   0.14534   0.13781  -0.0050   1.0000   0.1451
 -11.750  -0.4844   0.15517   0.14770  -0.0075   1.0000   0.1396
 -12.000  -0.4710   0.15442   0.14685  -0.0044   1.0000   0.1386
 -12.250  -0.4662   0.15526   0.14763  -0.0020   1.0000   0.1351
 -12.500  -0.4715   0.15822   0.15057  -0.0010   1.0000   0.1305
 -12.750  -0.4869   0.16357   0.15594  -0.0014   1.0000   0.1262
 -13.000  -0.4988   0.16941   0.16174  -0.0010   1.0000   0.1243
