  
       XFOIL         Version 6.99
  
 Calculated polar for: WB-140/35/FB 14%                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0065   0.04817   0.03830  -0.0659   1.0000   0.4537
   0.250   0.0138   0.04904   0.03912  -0.0661   1.0000   0.4734
   0.500   0.0350   0.04996   0.03996  -0.0667   1.0000   0.4861
   0.750   0.0565   0.05097   0.04086  -0.0673   1.0000   0.4981
   1.000   0.0780   0.05202   0.04189  -0.0680   1.0000   0.5137
   1.250   0.0999   0.05310   0.04304  -0.0688   1.0000   0.5350
   1.500   0.1233   0.05421   0.04438  -0.0698   1.0000   0.5692
   1.750   0.1407   0.05434   0.04572  -0.0681   1.0000   0.8080
   2.000   0.1633   0.05564   0.04664  -0.0702   0.9926   1.0000
   2.250   0.2063   0.05861   0.04915  -0.0753   0.9811   1.0000
   2.500   0.2426   0.06114   0.05140  -0.0791   0.9670   1.0000
   2.750   0.2753   0.06344   0.05349  -0.0822   0.9516   1.0000
   3.000   0.3018   0.06524   0.05513  -0.0840   0.9345   1.0000
   3.250   0.3270   0.06680   0.05657  -0.0854   0.9136   1.0000
   3.500   0.3577   0.06880   0.05846  -0.0876   0.8945   1.0000
   3.750   0.3867   0.07083   0.06038  -0.0895   0.8771   1.0000
   4.000   0.4422   0.07301   0.06240  -0.0940   0.8409   1.0000
   4.250   0.5234   0.07040   0.05954  -0.0965   0.7584   1.0000
   4.500   0.5475   0.07148   0.06059  -0.0966   0.7413   1.0000
   4.750   0.5755   0.07253   0.06161  -0.0970   0.7239   1.0000
   5.000   0.6061   0.07349   0.06255  -0.0976   0.7069   1.0000
   5.250   0.6374   0.07435   0.06339  -0.0981   0.6907   1.0000
   5.500   0.6690   0.07498   0.06404  -0.0984   0.6747   1.0000
   5.750   0.6928   0.07572   0.06478  -0.0980   0.6587   1.0000
   6.000   0.7039   0.07700   0.06609  -0.0968   0.6422   1.0000
   6.250   0.7257   0.07797   0.06709  -0.0964   0.6277   1.0000
   6.500   0.7626   0.07819   0.06736  -0.0971   0.6157   1.0000
   6.750   0.7762   0.07958   0.06880  -0.0961   0.6009   1.0000
   7.000   0.7868   0.08128   0.07054  -0.0952   0.5863   1.0000
   7.250   0.7955   0.08330   0.07260  -0.0942   0.5727   1.0000
   7.500   0.8084   0.08509   0.07445  -0.0936   0.5602   1.0000
   7.500   0.8084   0.08509   0.07445  -0.0936   0.5602   1.0000
   7.600   0.8209   0.08519   0.07460  -0.0935   0.5557   1.0000
   7.700   0.8455   0.08431   0.07375  -0.0939   0.5527   1.0000
   8.000   0.8568   0.08672   0.07622  -0.0928   0.5378   1.0000
   8.000   0.8568   0.08672   0.07622  -0.0928   0.5378   1.0000
   8.100   0.8530   0.08827   0.07779  -0.0923   0.5327   1.0000
   8.200   0.8476   0.08992   0.07947  -0.0918   0.5270   1.0000
   8.500   0.8635   0.09213   0.08175  -0.0911   0.5136   1.0000
