  
       XFOIL         Version 6.99
  
 Calculated polar for: YS-915                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0919   0.02035   0.00884  -0.0088   1.0000   1.0000
   0.250  -0.0715   0.02053   0.00889  -0.0080   1.0000   1.0000
   0.500  -0.0510   0.02074   0.00898  -0.0073   1.0000   1.0000
   0.750  -0.0305   0.02097   0.00913  -0.0065   1.0000   1.0000
   1.000  -0.0101   0.02123   0.00932  -0.0058   1.0000   1.0000
   1.250   0.0103   0.02150   0.00956  -0.0051   1.0000   1.0000
   1.500   0.0306   0.02181   0.00985  -0.0045   1.0000   1.0000
   1.750   0.0508   0.02214   0.01017  -0.0038   1.0000   1.0000
   2.000   0.0708   0.02250   0.01055  -0.0031   1.0000   1.0000
   2.250   0.0907   0.02289   0.01097  -0.0025   1.0000   1.0000
   2.500   0.1104   0.02331   0.01146  -0.0019   1.0000   1.0000
   2.750   0.1298   0.02377   0.01199  -0.0013   1.0000   1.0000
   3.000   0.1490   0.02427   0.01266  -0.0007   1.0000   1.0000
   3.250   0.1678   0.02480   0.01332  -0.0001   1.0000   1.0000
   3.500   0.1863   0.02539   0.01405   0.0005   1.0000   1.0000
   3.750   0.2044   0.02602   0.01484   0.0010   1.0000   1.0000
   4.000   0.2221   0.02672   0.01572   0.0015   1.0000   1.0000
   4.250   0.2392   0.02748   0.01668   0.0019   1.0000   1.0000
   4.500   0.2558   0.02831   0.01774   0.0023   1.0000   1.0000
   4.750   0.2717   0.02924   0.01902   0.0027   1.0000   1.0000
   5.000   0.2868   0.03026   0.02032   0.0030   1.0000   1.0000
   5.250   0.3010   0.03141   0.02175   0.0031   1.0000   1.0000
   5.500   0.7218   0.03542   0.02427  -0.0355   0.0855   1.0000
   5.750   0.7525   0.03886   0.02823  -0.0344   0.0877   1.0000
   6.000   0.7778   0.04263   0.03236  -0.0330   0.0915   1.0000
   6.250   0.7958   0.04566   0.03618  -0.0297   0.0990   1.0000
   6.500   0.7733   0.03718   0.02851  -0.0232   0.1064   1.0000
   6.750   0.7777   0.04085   0.03299  -0.0190   0.1179   1.0000
   7.000   0.8319   0.05763   0.04994  -0.0207   0.1393   1.0000
   0.000  -0.0919   0.02035   0.00884  -0.0088   1.0000   1.0000
   0.250  -0.0715   0.02053   0.00889  -0.0080   1.0000   1.0000
   0.500  -0.0510   0.02074   0.00898  -0.0073   1.0000   1.0000
   0.750  -0.0305   0.02097   0.00913  -0.0065   1.0000   1.0000
   1.000  -0.0101   0.02123   0.00932  -0.0058   1.0000   1.0000
   1.250   0.0103   0.02150   0.00956  -0.0051   1.0000   1.0000
   1.500   0.0306   0.02181   0.00985  -0.0045   1.0000   1.0000
   1.750   0.0508   0.02214   0.01017  -0.0038   1.0000   1.0000
   2.000   0.0708   0.02250   0.01055  -0.0031   1.0000   1.0000
   2.250   0.0907   0.02289   0.01097  -0.0025   1.0000   1.0000
   2.500   0.1104   0.02331   0.01146  -0.0019   1.0000   1.0000
   2.750   0.1298   0.02377   0.01199  -0.0013   1.0000   1.0000
   3.000   0.1490   0.02427   0.01266  -0.0007   1.0000   1.0000
   3.250   0.1678   0.02480   0.01332  -0.0001   1.0000   1.0000
   3.500   0.1863   0.02539   0.01405   0.0005   1.0000   1.0000
   3.750   0.2044   0.02602   0.01484   0.0010   1.0000   1.0000
   4.000   0.2221   0.02672   0.01572   0.0015   1.0000   1.0000
   4.250   0.2392   0.02748   0.01668   0.0019   1.0000   1.0000
   4.500   0.2558   0.02831   0.01774   0.0023   1.0000   1.0000
   4.750   0.2717   0.02924   0.01902   0.0027   1.0000   1.0000
   5.000   0.2868   0.03026   0.02032   0.0030   1.0000   1.0000
   5.250   0.3010   0.03141   0.02175   0.0031   1.0000   1.0000
   5.500   0.7218   0.03542   0.02427  -0.0355   0.0855   1.0000
   5.750   0.7525   0.03886   0.02823  -0.0344   0.0877   1.0000
   6.000   0.7778   0.04263   0.03236  -0.0330   0.0915   1.0000
   6.250   0.7958   0.04566   0.03618  -0.0297   0.0990   1.0000
   6.500   0.7733   0.03718   0.02851  -0.0232   0.1064   1.0000
   6.750   0.7777   0.04085   0.03299  -0.0190   0.1179   1.0000
   7.000   0.8319   0.05763   0.04994  -0.0207   0.1393   1.0000
   0.000  -0.0919   0.02035   0.00884  -0.0088   1.0000   1.0000
   0.250  -0.0715   0.02053   0.00889  -0.0080   1.0000   1.0000
   0.500  -0.0510   0.02074   0.00898  -0.0073   1.0000   1.0000
   0.750  -0.0305   0.02097   0.00913  -0.0065   1.0000   1.0000
   1.000  -0.0101   0.02123   0.00932  -0.0058   1.0000   1.0000
   1.250   0.0103   0.02150   0.00956  -0.0051   1.0000   1.0000
   1.500   0.0306   0.02181   0.00985  -0.0045   1.0000   1.0000
   1.750   0.0508   0.02214   0.01017  -0.0038   1.0000   1.0000
   2.000   0.0708   0.02250   0.01055  -0.0031   1.0000   1.0000
   2.250   0.0907   0.02289   0.01097  -0.0025   1.0000   1.0000
   2.500   0.1104   0.02331   0.01146  -0.0019   1.0000   1.0000
   2.750   0.1298   0.02377   0.01199  -0.0013   1.0000   1.0000
   3.000   0.1490   0.02427   0.01266  -0.0007   1.0000   1.0000
   3.250   0.1678   0.02480   0.01332  -0.0001   1.0000   1.0000
   3.500   0.1863   0.02539   0.01405   0.0005   1.0000   1.0000
   3.750   0.2044   0.02602   0.01484   0.0010   1.0000   1.0000
   4.000   0.2221   0.02672   0.01572   0.0015   1.0000   1.0000
   4.250   0.2392   0.02748   0.01668   0.0019   1.0000   1.0000
   4.500   0.2558   0.02831   0.01774   0.0023   1.0000   1.0000
   4.750   0.2717   0.02924   0.01902   0.0027   1.0000   1.0000
   5.000   0.2868   0.03026   0.02032   0.0030   1.0000   1.0000
   5.250   0.3010   0.03141   0.02175   0.0031   1.0000   1.0000
   5.500   0.7218   0.03542   0.02427  -0.0355   0.0855   1.0000
   5.750   0.7525   0.03886   0.02823  -0.0344   0.0877   1.0000
   6.000   0.7778   0.04263   0.03236  -0.0330   0.0915   1.0000
